Date,nom_ar,nom_fr,unite,valeur
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,583.4
2025-11-25 20:00:00,Température,Température,°c,15.6
2025-11-25 18:00:00,Température,Température,°c,15.2
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,583.1
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,582.7
2025-11-25 16:00:00,Température,Température,°c,14.7
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,582.4
2025-11-25 14:00:00,Température,Température,°c,14.2
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,582.3
2025-11-25 12:00:00,Température,Température,°c,14.0
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,582.4
2025-11-25 10:00:00,Température,Température,°c,14.0
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-11-25 08:00:00,Température,Température,°c,14.1
2025-11-25 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,582.7
2025-11-25 02:00:00,Température,Température,°c,14.3
2025-11-25 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-11-25 00:00:00,Température,Température,°c,14.4
2025-11-24 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,582.6
2025-11-24 22:00:00,Température,Température,°c,14.5
2025-11-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,582.8
2025-11-24 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-24 20:00:00,Température,Température,°c,14.4
2025-11-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,582.3
2025-11-24 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-11-24 18:00:00,Température,Température,°c,14.1
2025-11-24 16:00:00,Température,Température,°c,13.7
