Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,L'humidité du sol,L'humidité du sol,mV,602.1
2025-11-25 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.9
2025-11-25 21:00:00,Température,Température,°C,16.9
2025-11-25 20:00:00,Température,Température,°C,17.1
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,602.9
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.9
2025-11-25 19:00:00,Température,Température,°C,17.4
2025-11-25 19:00:00,L'humidité du sol,L'humidité du sol,mV,603.6
2025-11-25 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.0
2025-11-25 18:00:00,Température,Température,°C,17.8
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.0
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,605.0
2025-11-25 17:00:00,Température,Température,°C,18.4
2025-11-25 17:00:00,L'humidité du sol,L'humidité du sol,mV,605.8
2025-11-25 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.1
2025-11-25 16:00:00,Température,Température,°C,18.9
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.1
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,606.9
2025-11-25 15:00:00,Température,Température,°C,18.8
2025-11-25 15:00:00,L'humidité du sol,L'humidité du sol,mV,606.0
2025-11-25 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.1
2025-11-25 14:00:00,Température,Température,°C,18.3
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.0
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,604.6
2025-11-25 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.9
2025-11-25 13:00:00,L'humidité du sol,L'humidité du sol,mV,602.3
2025-11-25 13:00:00,Température,Température,°C,17.3
2025-11-25 12:00:00,Température,Température,°C,16.1
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.8
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,600.0
2025-11-25 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.8
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,598.4
2025-11-25 11:00:00,Température,Température,°C,15.2
