societe,nature_du_produit,quantite_kilos
البحر الأبيض المتوسط,رخويات مثلجة,"5,5"
البحر الأبيض المتوسط,أسماك مثلجة,"2452,2"
أزابسكا,قشريات مجمدة,24696
أزابسكا,رخويات مجمدة,11610
بن حميدة,قشريات مثلجة,321
بن حميدة,رخويات مثلجة,585
بن حميدة,أسماك مثلجة,2996
بن حميدة,تربية مائية,1000
لابلان, نصف مصبرات سمك أزرق,11348
فيشر,قشريات مثلجة,85
فيشر,رخويات مثلجة,152
فيشر,أسماك مثلجة,"1229,9"
فيشر,تربية مائية,710
ديدون ماري,قشريات مجمدة,"115,2"
ديدون ماري,قشريات حية,"15,3"
ديدون ماري,أسماك مجمدة,"12029,25"
موليس دوس,رخويات حية ذات الصدفتين,644
