Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,260.7
2025-10-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,94.8
2025-10-24 07:00:00,Température,Température,°C,16.4
2025-10-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,288.5
2025-10-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,94.6
2025-10-24 05:00:00,Température,Température,°C,16.7
2025-10-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,288.5
2025-10-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,94.2
2025-10-24 04:00:00,Température,Température,°C,17.0
2025-10-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,270.7
2025-10-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,95.6
2025-10-24 03:00:00,Température,Température,°C,17.7
