Date,nom_ar,nom_fr,unite,valeur
2025-10-24 06:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
2025-10-24 06:00:04,Température,Température,°C,21.2
2025-10-24 06:00:04,L'humidité du sol,L'humidité du sol,mV,791.7
2025-10-24 05:00:04,L'humidité du sol,L'humidité du sol,mV,791.4
2025-10-24 05:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
2025-10-24 05:00:04,Température,Température,°C,21.2
2025-10-24 04:00:04,Température,Température,°C,21.2
2025-10-24 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
2025-10-24 04:00:04,L'humidité du sol,L'humidité du sol,mV,791.2
2025-10-24 03:00:04,L'humidité du sol,L'humidité du sol,mV,791.5
2025-10-24 03:00:04,Température,Température,°C,21.2
2025-10-24 03:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
2025-10-24 02:00:04,L'humidité du sol,L'humidité du sol,mV,791.2
2025-10-24 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
2025-10-24 02:00:04,Température,Température,°C,21.3
2025-10-24 01:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
2025-10-24 01:00:04,Température,Température,°C,21.3
2025-10-24 01:00:04,L'humidité du sol,L'humidité du sol,mV,791.2
2025-10-24 00:00:04,Température,Température,°C,21.3
2025-10-24 00:00:04,L'humidité du sol,L'humidité du sol,mV,791.5
2025-10-24 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,19.1
