Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,13.5
2025-10-24 07:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,18.4
2025-10-24 06:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,16.5
2025-10-24 06:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,11.3
2025-10-24 03:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,11.9
2025-10-24 03:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,6.9
2025-10-24 02:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,7.7
2025-10-24 02:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,12.3
2025-10-24 01:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.4
2025-10-24 01:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,9.6
2025-10-24 00:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,9.3
2025-10-24 00:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.2
