date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-10-21,agneau,,,,29000,31000
2022-10-21,escaloppe,,,,16795,16795
2022-10-21,poulet (pac),,,,8395,8395
2022-10-21,bœuf avec os,,,,18000,20000
2022-10-21,bœuf sans os,,,,28000,31000
2022-10-21,ovin reforme,,,,18000,20000
2022-10-20,agneau,,,,29000,31000
2022-10-20,escaloppe,,,,16795,16795
2022-10-20,poulet (pac),,,,8395,8395
2022-10-20,bœuf avec os,,,,18000,20000
2022-10-20,bœuf sans os,,,,28000,30000
2022-10-20,ovin reforme,,,,18000,20000
2022-10-19,agneau,,,,29000,31000
2022-10-19,escaloppe,,,,16735,16795
2022-10-19,poulet (pac),,,,8375,8395
2022-10-19,bœuf avec os,,,,18000,20000
2022-10-19,bœuf sans os,,,,28000,30000
2022-10-19,ovin reforme,,,,18000,20000
2022-10-18,agneau,,,,29000,31000
2022-10-18,escaloppe,,,,16735,16795
2022-10-18,poulet (pac),,,,8375,8395
2022-10-18,bœuf avec os,,,,18000,20000
2022-10-18,bœuf sans os,,,,28000,30000
2022-10-18,ovin reforme,,,,18000,20000
2022-10-13,agneau,,,,29000,32000
2022-10-13,escaloppe,,,,16235,22750
2022-10-13,poulet (pac),,,,8030,8395
2022-10-13,bœuf avec os,,,,18000,20000
2022-10-13,bœuf sans os,,,,28000,29000
2022-10-13,ovin reforme,,,,18000,20000
2022-10-12,agneau,,,,29000,32000
2022-10-12,escaloppe,,,,16235,22750
2022-10-12,poulet (pac),,,,8030,8395
2022-10-12,bœuf avec os,,,,18000,20000
2022-10-12,bœuf sans os,,,,28000,29000
2022-10-12,ovin reforme,,,,18000,20000
2022-10-11,agneau,,,,29000,32000
2022-10-11,escaloppe,,,,16235,16675
2022-10-11,poulet (pac),,,,8030,8030
2022-10-11,bœuf avec os,,,,18000,20000
2022-10-11,bœuf sans os,,,,28000,29000
2022-10-11,ovin reforme,,,,18000,20000
2022-10-10,agneau,,,,29000,32000
2022-10-10,escaloppe,,,,16675,22675
2022-10-10,poulet (pac),,,,8030,8395
2022-10-10,bœuf avec os,,,,18000,20000
2022-10-10,bœuf sans os,,,,28000,29000
2022-10-10,ovin reforme,,,,18000,20000
2022-10-07,agneau,,,,29000,32000
2022-10-07,escaloppe,,,,16675,22675
2022-10-07,poulet (pac),,,,8030,8395
2022-10-07,bœuf avec os,,,,18000,20000
2022-10-07,bœuf sans os,,,,28000,29000
2022-10-07,ovin reforme,,,,18000,20000
2022-10-06,bœuf sans os,,,,28000,29000
2022-10-06,bœuf avec os,,,,18000,20000
2022-10-06,poulet (pac),,,,8030,8395
2022-10-06,escaloppe,,,,16675,22750
2022-10-06,agneau,,,,29000,31000
2022-10-06,ovin reforme,,,,18000,20000
2022-10-05,agneau,,,,29000,31000
2022-10-05,escaloppe,,,,16675,22750
2022-10-05,poulet (pac),,,,8030,8395
2022-10-05,bœuf avec os,,,,18000,20000
2022-10-05,bœuf sans os,,,,28000,29000
2022-10-05,ovin reforme,,,,18000,20000
2022-10-04,agneau,,,,29000,31000
2022-10-04,escaloppe,,,,16675,22750
2022-10-04,poulet (pac),,,,8030,8395
2022-10-04,bœuf avec os,,,,18000,20000
2022-10-04,bœuf sans os,,,,28000,29000
2022-10-04,ovin reforme,,,,18000,20000
2022-10-03,ovin reforme,,,,18000,20000
2022-10-03,agneau,,,,29000,31000
2022-10-03,escaloppe,,,,16675,16675
2022-10-03,poulet (pac),,,,8030,8030
2022-10-03,bœuf avec os,,,,18000,20000
2022-10-03,bœuf sans os,,,,28000,29000
2022-09-30,agneau,,,,29000,31000
2022-09-30,escaloppe,,,,16675,16675
2022-09-30,poulet (pac),,,,8030,8030
2022-09-30,bœuf avec os,,,,18000,20000
2022-09-30,bœuf sans os,,,,28000,29000
2022-09-30,ovin reforme,,,,18000,20000
2022-09-29,agneau,,,,29000,30000
2022-09-29,escaloppe,,,,16675,16675
2022-09-29,poulet (pac),,,,8030,8030
2022-09-29,bœuf avec os,,,,18000,21000
2022-09-29,bœuf sans os,,,,28000,30000
2022-09-29,ovin reforme,,,,18000,20000
2022-09-28,agneau,,,,29000,31000
2022-09-28,escaloppe,,,,16675,16675
2022-09-28,poulet (pac),,,,8030,8030
2022-09-28,bœuf avec os,,,,18000,21000
2022-09-28,bœuf sans os,,,,28000,30000
2022-09-28,ovin reforme,,,,18000,20000
2022-09-27,agneau,,,,29000,32000
2022-09-27,escaloppe,,,,17295,19900
2022-09-27,poulet (pac),,,,8295,8895
2022-09-27,bœuf avec os,,,,18000,21000
2022-09-27,bœuf sans os,,,,28000,30000
2022-09-27,ovin reforme,,,,18000,20000
2022-09-26,agneau,,,,30000,32000
2022-09-26,escaloppe,,,,17295,19900
2022-09-26,poulet (pac),,,,8295,8895
2022-09-26,bœuf avec os,,,,18000,21000
2022-09-26,bœuf sans os,,,,27000,30000
2022-09-26,ovin reforme,,,,18000,20000
2022-09-23,agneau,,,,30000,32000
2022-09-23,escaloppe,,,,17195,19900
2022-09-23,poulet (pac),,,,8195,8195
2022-09-23,bœuf avec os,,,,18000,20000
2022-09-23,bœuf sans os,,,,27000,30000
2022-09-23,ovin reforme,,,,18000,20000
2022-09-22,agneau,,,,28000,33000
2022-09-22,escaloppe,,,,17195,19900
2022-09-22,poulet (pac),,,,8195,8195
2022-09-22,bœuf avec os,,,,18000,20000
2022-09-22,bœuf sans os,,,,27000,30000
2022-09-22,ovin reforme,,,,18000,20000
2022-09-21,agneau,,,,28000,33000
2022-09-21,escaloppe,,,,17195,19900
2022-09-21,poulet (pac),,,,8195,8195
2022-09-21,bœuf avec os,,,,18000,20000
2022-09-21,bœuf sans os,,,,27000,30000
2022-09-21,ovin reforme,,,,18000,20000
2022-09-20,agneau,,,,28000,33000
2022-09-20,escaloppe,,,,17195,19900
2022-09-20,poulet (pac),,,,8195,8195
