Date,nom_ar,nom_fr,unite,valeur
2025-05-25 08:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 08:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 07:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 07:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 06:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 06:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 05:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 05:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 04:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 04:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 03:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 03:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 02:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 02:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 01:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 01:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
2025-05-25 00:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,0.0
2025-05-25 00:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.0
