Date,nom_ar,nom_fr,unite,valeur
2025-09-24 02:30:00,Direction du vent,Direction du vent,Deg,203.1
2025-09-24 02:30:00,Humidité relative,Humidité relative,%,86.4
2025-09-24 02:30:00,Température,Température,°C,20.6
2025-09-24 02:30:00,Vitesse du vent,Vitesse du vent,m/s,2.12
2025-09-24 02:30:00,Point de Rosée,Point de Rosée,°C,18.2
2025-09-24 02:30:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1008.8
2025-09-24 02:30:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-24 01:30:00,Humidité relative,Humidité relative,%,84.9
2025-09-24 01:30:00,Vitesse du vent,Vitesse du vent,m/s,1.09
2025-09-24 01:30:00,Direction du vent,Direction du vent,Deg,225.5
2025-09-24 01:30:00,Température,Température,°C,21.1
2025-09-24 01:30:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1009.1
2025-09-24 01:30:00,Point de Rosée,Point de Rosée,°C,18.4
2025-09-24 01:30:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-24 01:00:00,Humidité relative,Humidité relative,%,84.5
2025-09-24 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1008.7
2025-09-24 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-24 01:00:00,Direction du vent,Direction du vent,Deg,299.9
2025-09-24 01:00:00,Point de Rosée,Point de Rosée,°C,18.7
2025-09-24 01:00:00,Vitesse du vent,Vitesse du vent,m/s,4.4
2025-09-24 01:00:00,Température,Température,°C,21.4
2025-09-24 00:30:00,Vitesse du vent,Vitesse du vent,m/s,5.9
2025-09-24 00:30:00,Température,Température,°C,22.0
2025-09-24 00:30:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1008.3
2025-09-24 00:30:00,Humidité relative,Humidité relative,%,83.4
2025-09-24 00:30:00,Direction du vent,Direction du vent,Deg,180.0
2025-09-24 00:30:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-24 00:30:00,Point de Rosée,Point de Rosée,°C,19.0
