Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 21:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 21:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 20:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 19:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 19:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 19:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 18:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 17:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 17:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 17:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 16:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 16:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 16:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 15:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 15:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 15:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 14:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 14:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 14:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 13:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 13:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 13:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 12:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 12:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 12:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 11:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 11:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 11:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 10:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 10:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 10:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 09:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 09:00:00,Pluie Totale,Pluie Totale,mm,436.4
2025-11-25 09:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
