Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Humidité relative,Humidité relative,%,94.6
2025-10-24 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 07:00:00,Température,Température,°C,17.8
2025-10-24 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.23
2025-10-24 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,16.0
2025-10-24 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 07:00:00,Point de Rosée,Point de Rosée,°C,16.9
2025-10-24 07:00:00,Direction du vent,Direction du vent,Deg,246.7
2025-10-24 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,985.2
2025-10-24 06:00:00,Vitesse du vent,Vitesse du vent,m/s,1.19
2025-10-24 06:00:00,Humidité relative,Humidité relative,%,94.3
2025-10-24 06:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 06:00:00,Point de Rosée,Point de Rosée,°C,16.9
2025-10-24 06:00:00,Température,Température,°C,17.8
2025-10-24 06:00:00,Direction du vent,Direction du vent,Deg,275.7
2025-10-24 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.7
2025-10-24 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-10-24 05:00:00,Direction du vent,Direction du vent,Deg,304.8
2025-10-24 05:00:00,Point de Rosée,Point de Rosée,°C,16.4
2025-10-24 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.19
2025-10-24 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-10-24 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.2
2025-10-24 05:00:00,Température,Température,°C,17.9
2025-10-24 05:00:00,Humidité relative,Humidité relative,%,91.3
2025-10-24 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-10-24 04:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 04:00:00,Direction du vent,Direction du vent,Deg,303.9
2025-10-24 04:00:00,Température,Température,°C,18.6
2025-10-24 04:00:00,Point de Rosée,Point de Rosée,°C,16.2
2025-10-24 04:00:00,Humidité relative,Humidité relative,%,86.2
2025-10-24 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 04:00:00,Vitesse du vent,Vitesse du vent,m/s,1.41
2025-10-24 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.0
2025-10-24 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-10-24 03:00:00,Température,Température,°C,19.1
2025-10-24 03:00:00,Direction du vent,Direction du vent,Deg,296.2
2025-10-24 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,983.8
2025-10-24 03:00:00,Humidité relative,Humidité relative,%,88.7
2025-10-24 03:00:00,Vitesse du vent,Vitesse du vent,m/s,2.05
2025-10-24 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 03:00:00,Point de Rosée,Point de Rosée,°C,17.2
2025-10-24 02:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,983.9
2025-10-24 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-10-24 02:00:00,Vitesse du vent,Vitesse du vent,m/s,1.4
2025-10-24 02:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 02:00:00,Direction du vent,Direction du vent,Deg,306.0
2025-10-24 02:00:00,Humidité relative,Humidité relative,%,93.9
2025-10-24 02:00:00,Point de Rosée,Point de Rosée,°C,18.1
2025-10-24 02:00:00,Température,Température,°C,19.1
2025-10-24 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 01:00:00,Direction du vent,Direction du vent,Deg,333.5
2025-10-24 01:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,983.7
2025-10-24 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-10-24 01:00:00,Point de Rosée,Point de Rosée,°C,17.9
2025-10-24 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 01:00:00,Température,Température,°C,19.0
2025-10-24 01:00:00,Humidité relative,Humidité relative,%,93.3
2025-10-24 01:00:00,Vitesse du vent,Vitesse du vent,m/s,1.99
2025-10-24 00:00:00,Température,Température,°C,21.3
2025-10-24 00:00:00,Humidité relative,Humidité relative,%,75.3
2025-10-24 00:00:00,Point de Rosée,Point de Rosée,°C,16.7
2025-10-24 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-10-24 00:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-10-24 00:00:00,Vitesse du vent,Vitesse du vent,m/s,6.27
2025-10-24 00:00:00,Direction du vent,Direction du vent,Deg,284.5
2025-10-24 00:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,983.2
2025-10-24 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
