societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,550
المتوسطية,أسماك مثلجة,"2740,8"
أزباسكا,قشريات مجمدة,22464
أزباسكا,تربية مائية,1270
ديدون ماري,قشريات مجمدة,143
ديدون ماري,قشريات حية,"69,3"
ديدون ماري,رخويات مجمدة,"15969,4"
ديدون ماري,أسماك مثلجة,"267,9"
ديدون ماري,أسماك مجمدة,308
بن حميدة,قشريات مثلجة,"512,9"
بن حميدة,رخويات مثلجة,"197,1"
بن حميدة,أسماك مثلجة,"4674,5"
كامكسبور,قشريات مثلجة,70
كامكسبور,أسماك مثلجة,700
أكيمار,قشريات مجمدة,72
أكيمار,رخويات مجمدة,"2377,4"
أكيمار,أسماك مثلجة,416
أكيمار,أسماك مجمدة,3702
ماديترنيان باسكا,مصبرات سمك أزرق,16960
سليماكس,قشريات مثلجة,25
سليماكس,أسماك مثلجة,"6519,5"
أرباكس,أسماك مثلجة,401
أرباكس,تربية مائية,3100
موليس دوس,رخويات حية,2181
