Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Niveau du fluid,Niveau du fluid,m,11.26
2025-11-25 21:00:00,Pression relative,Pression relative,hPa,11040.0
2025-11-25 20:00:00,Pression relative,Pression relative,hPa,11038.0
2025-11-25 20:00:00,Niveau du fluid,Niveau du fluid,m,11.26
2025-11-25 19:00:00,Pression relative,Pression relative,hPa,11034.0
2025-11-25 19:00:00,Niveau du fluid,Niveau du fluid,m,11.25
2025-11-25 18:00:00,Niveau du fluid,Niveau du fluid,m,11.25
2025-11-25 18:00:00,Pression relative,Pression relative,hPa,11029.0
2025-11-25 17:00:00,Pression relative,Pression relative,hPa,11030.0
2025-11-25 17:00:00,Niveau du fluid,Niveau du fluid,m,11.25
2025-11-25 16:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-11-25 16:00:00,Pression relative,Pression relative,hPa,11076.0
2025-11-25 15:00:00,Pression relative,Pression relative,hPa,11075.0
2025-11-25 15:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-11-25 14:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-11-25 14:00:00,Pression relative,Pression relative,hPa,11075.0
2025-11-25 13:00:00,Pression relative,Pression relative,hPa,11071.0
2025-11-25 13:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-11-25 12:00:00,Niveau du fluid,Niveau du fluid,m,11.27
2025-11-25 12:00:00,Pression relative,Pression relative,hPa,11054.0
2025-11-25 11:00:00,Pression relative,Pression relative,hPa,11052.0
2025-11-25 11:00:00,Niveau du fluid,Niveau du fluid,m,11.27
2025-11-25 10:00:00,Niveau du fluid,Niveau du fluid,m,11.27
2025-11-25 10:00:00,Pression relative,Pression relative,hPa,11054.0
2025-11-25 09:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-11-25 09:00:00,Pression relative,Pression relative,hPa,11059.0
2025-11-25 08:00:00,Pression relative,Pression relative,hPa,11062.0
2025-11-25 08:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-11-25 07:00:00,Niveau du fluid,Niveau du fluid,m,11.27
2025-11-25 07:00:00,Pression relative,Pression relative,hPa,11054.0
2025-11-25 06:00:00,Pression relative,Pression relative,hPa,11074.0
2025-11-25 06:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-11-25 05:00:00,Pression relative,Pression relative,hPa,11056.0
2025-11-25 05:00:00,Niveau du fluid,Niveau du fluid,m,11.27
2025-11-25 04:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-11-25 04:00:00,Pression relative,Pression relative,hPa,11067.0
