Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,L'humidité du sol,L'humidité du sol,mV,824.5
2025-11-25 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.9
2025-11-25 21:00:00,Température,Température,°c,12.8
2025-11-25 20:00:00,Température,Température,°c,12.9
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,824.6
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.9
2025-11-25 19:00:00,Température,Température,°c,13.0
2025-11-25 19:00:00,L'humidité du sol,L'humidité du sol,mV,824.5
2025-11-25 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.9
2025-11-25 18:00:00,Température,Température,°c,13.0
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.8
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,823.9
2025-11-25 17:00:00,L'humidité du sol,L'humidité du sol,mV,823.6
2025-11-25 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.8
2025-11-25 17:00:00,Température,Température,°c,12.9
2025-11-25 16:00:00,Température,Température,°c,12.7
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.8
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,823.0
2025-11-25 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.7
2025-11-25 15:00:00,L'humidité du sol,L'humidité du sol,mV,822.3
2025-11-25 15:00:00,Température,Température,°c,12.3
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.6
2025-11-25 14:00:00,Température,Température,°c,11.9
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,821.5
2025-11-25 13:00:00,L'humidité du sol,L'humidité du sol,mV,820.9
2025-11-25 13:00:00,Température,Température,°c,11.5
2025-11-25 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.6
2025-11-25 12:00:00,Température,Température,°c,11.1
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,820.3
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,819.9
2025-11-25 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 11:00:00,Température,Température,°c,10.6
2025-11-25 10:00:00,Température,Température,°c,10.2
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,819.3
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.4
2025-11-25 09:00:00,Température,Température,°c,10.0
2025-11-25 09:00:00,L'humidité du sol,L'humidité du sol,mV,819.4
2025-11-25 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.4
2025-11-25 08:00:00,Température,Température,°c,9.9
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.4
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,819.6
2025-11-25 07:00:00,Température,Température,°c,10.0
2025-11-25 07:00:00,L'humidité du sol,L'humidité du sol,mV,819.9
2025-11-25 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 06:00:00,Température,Température,°c,10.2
2025-11-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,820.0
2025-11-25 05:00:00,Température,Température,°c,10.4
2025-11-25 05:00:00,L'humidité du sol,L'humidité du sol,mV,820.1
2025-11-25 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 04:00:00,Température,Température,°c,10.5
2025-11-25 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,820.1
2025-11-25 03:00:00,Température,Température,°c,10.6
2025-11-25 03:00:00,L'humidité du sol,L'humidité du sol,mV,820.5
2025-11-25 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 02:00:00,Température,Température,°c,10.7
2025-11-25 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,21.5
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,820.6
2025-11-25 01:00:00,L'humidité du sol,L'humidité du sol,mV,820.7
