Nom_fr;Nom_ar;Date_creation;Gestion;Delegation;Nbre_adherants;Capacité_mille_litres;Collecte_mensuelle_litres;Latitude_UTM_m;Longitude_UTM_m
Al Izdihar;الإزدهار;07/04/1992;SMSA;Thibar;580;7500;380 757;509 097;4 041 324
Il Baraka;البركة;01/04/1994;SMSA;Béja Sud;47;11000;111 345;516 252;4 056 138
El Amal - Zahret_medyen;الأمل - زهرة مدين;01/05/1994;SMSA;Amdoun;385;14000;104 810;506 890;4 068 261
Ksar hadid;قصر حديد;01/01/1996;Privé;Béja Sud;28;2000;80 985;508 306;4 056 787
Zaafrane;زعفران;01/03/1996;Privé;Béja Sud;240;15000;292 312;505 630;4 053 615
El Hamrounia;الحمرونية;15/10/1996;Privé;Béja Sud;370;28000;216 388;509 548;4 063 331
Khalled;خلاد ;24/04/1998;Privé;Teboursouk;196;11000;184 575;521 242;4 027 995
El Ouelja;الولجة;24/04/1999;Privé;Béja Sud;230;13000;108 984;517 820;4 053 579
El Gouassim;القواسم;25/03/2002;Privé;Béja Sud;800;5000;415 595;511 281;4 060 696
Ras Il Wad;رأس الوادي;31/03/2002;Privé;Nefza;84;5000;68 338;507 209;4 092 856
Laith;ليث;15/04/2002;SMSA;Béja Sud;320;13000;172 052;507 052;4 058 230
El Amal - Ain Sallem;الأمل - عين سلام;30/09/2002;SMSA;Amdoun;200;6000;294 866;509 100;4 072 347
Laghoual;الأغوال;13/03/2003;SMSA;Béja Sud;700;6200;422 396;520 077;4 052 247
Nour;نور;13/03/2003;SMSA;Béja Sud;135;4000;94 035;546 522;4 050 563
Mastouta;مستوتة;29/04/2003;Privé;Béja Sud;60;14500;72 008;520 086;4 050 415
Boukhmira;بوخمير;13/01/2004;SMSA;Béja Sud;600;4400;330 999;513 668;4 052 315
Ghayadha;غياضة;25/03/2004;Privé;Nefza;73;7000;66 697;519 644;4 086 755
Hammem Sayala;حمام سيالة;01/04/2004;SMSA;Béja Sud;63;12500;72 422;509 475;4 049 758
SCOLAIT-Km16;سكولي - كلم 16;13/05/2004;SMSA;Béja Nord;135;13500;46 422;519 101;4 078 661
SCOLAIT-Teboursouk;سكولي - تبرسق;13/05/2004;SMSA;Teboursouk;564;8900;724 858;522 680;4 033 429
SOTUCOLAIT;سوتيكولي;18/10/2006;SMSA;Béja Nord;35;20000;31 901;516 882;4 064 974
Al Majd - Al Wadoud;المجد - الودود;08/07/2010;Privé;Amdoun;170;19500;262 971;501 056;4 077 598
M'khachbia;المخشبية;04/11/2015;Privé;Béja Sud;600;2000;612 179;529 380;4 061 238
Jmila;الجميلة;07/03/2016;Privé;Nefza;450;5000;235 424;508 451;4 089 163
Ksar Mezouar;قصر مزوار;31/05/2016;Privé;Béja Nord;600;8000;340 123;529 227;4 071 103
El Aman;الأمان;27/11/2017;SMSA;Thibar;300;24000;196 421;509 021;4 041 907
