Date,Gouvernorat,Production;
1980,Monastir,0.7;
1980,Medenine,1.0;
1980,Sfax,1.3;
1980,Mahdia,3.5;
1980,Sousse,4.5;
1980,Gabès,13.0;
1980,Tunis,74.5;
1980,Gafsa,79.6;
1980,Sidi Bouzid,87.8;
1980,Kairouan,135.0;
1980,Nabeul,225.9;
1980,Kasserine,357.0;
1980,Zaghouan,500.4;
1980,Jendouba,915.5;
1980,Siliana,973.8;
1980,Bizerte,1024.6;
1980,Béja,1445.8;
1980,Kef,1569.4;
1981,Medenine,14.6;
1981,Monastir,16.7;
1981,Gafsa,30.9;
1981,Sousse,31.8;
1981,Mahdia,32.5;
1981,Sfax,54.5;
1981,Tunis,59.6;
1981,Gabès,77.1;
1981,Sidi Bouzid,79.4;
1981,Nabeul,139.9;
1981,Kairouan,183.0;
1981,Kasserine,227.4;
1981,Zaghouan,502.2;
1981,Bizerte,996.6;
1981,Kef,1169.1;
1981,Jendouba,1245.4;
1981,Siliana,1392.8;
1981,Béja,1790.3;
1982,Gabès,0.6;
1982,Gafsa,8.6;
1982,Sfax,9.0;
1982,Monastir,10.9;
1982,Mahdia,13.0;
1982,Sidi Bouzid,16.0;
1982,Sousse,18.6;
1982,Tunis,77.3;
1982,Nabeul,120.7;
1982,Kairouan,239.8;
1982,Kasserine,288.0;
1982,Zaghouan,603.1;
1982,Bizerte,822.5;
1982,Jendouba,992.0;
1982,Siliana,1172.3;
1982,Béja,1414.8;
1982,Kef,1721.4;
1983,Medenine,7.7;
1983,Kébili,8.1;
1983,Gafsa,10.8;
1983,Tatouine,27.5;
1983,Tunis,34.3;
1983,Monastir,38.5;
1983,Gabès,39.5;
1983,Kasserine,48.1;
1983,Sfax,70.3;
1983,Mahdia,84.8;
1983,Nabeul,99.1;
1983,Sidi Bouzid,154.3;
1983,Sousse,157.1;
1983,Zaghouan,307.8;
1983,Kairouan,394.0;
1983,Jendouba,553.0;
1983,Bizerte,561.7;
1983,Siliana,618.6;
1983,Béja,835.8;
1983,Kef,1043.9;
1984,Tatouine,0.5;
1984,Gabès,1.2;
1984,Medenine,3.4;
1984,Monastir,9.2;
1984,Sfax,16.8;
1984,Gafsa,16.8;
1984,Sousse,30.2;
1984,Mahdia,43.3;
1984,Tunis,64.9;
1984,Sidi Bouzid,69.6;
1984,Nabeul,133.8;
1984,Kasserine,207.2;
1984,Kairouan,311.1;
1984,Zaghouan,462.4;
1984,Siliana,613.3;
1984,Jendouba,650.0;
1984,Bizerte,892.3;
1984,Béja,1155.1;
1984,Kef,1161.7;
1985,Tozeur,5.2;
1985,Tunis,11.1;
1985,Tatouine,13.6;
1985,Medenine,14.4;
1985,Ben Arous,29.7;
1985,Gabès,63.6;
1985,Sfax,74.0;
1985,Monastir,83.6;
1985,Nabeul,134.6;
1985,Mahdia,235.6;
