Date,Gouvernorat,Superficies
1994,Medenine,50.0
1994,Sousse,160.0
1994,Ben Arous,300.0
1994,Zaghouan,330.0
1994,Kef,360.0
1994,Kairouan,400.0
1994,Sidi Bouzid,520.0
1994,Monastir,570.0
1994,Kasserine,600.0
1994,Ariana,710.0
1994,Nabeul,1000.0
1994,Bizerte,1250.0
1994,Siliana,1500.0
1994,Béja,1980.0
1994,Jendouba,2180.0
1996,Medenine,10.0
1996,Mahdia,20.0
1996,Sfax,50.0
1996,Tunis,90.0
1996,Tatouine,110.0
1996,Zaghouan,200.0
1996,Sousse,210.0
1996,Kasserine,210.0
1996,Ben Arous,300.0
1996,Gafsa,360.0
1996,Kef,380.0
1996,Monastir,600.0
1996,Ariana,780.0
1996,Kairouan,1000.0
1996,Bizerte,1310.0
1996,Nabeul,1500.0
1996,Siliana,1850.0
1996,Béja,2180.0
1996,Jendouba,2560.0
1996,Sidi Bouzid,2580.0
1997,Medenine,10.0
1997,Mahdia,30.0
1997,Sfax,50.0
1997,Tunis,100.0
1997,Tatouine,140.0
1997,Sousse,180.0
1997,Zaghouan,250.0
1997,Ben Arous,350.0
1997,Gafsa,380.0
1997,Kasserine,450.0
1997,Sidi Bouzid,550.0
1997,Monastir,600.0
1997,Kairouan,730.0
1997,Ariana,780.0
1997,Kef,800.0
1997,Bizerte,1150.0
1997,Nabeul,1570.0
1997,Siliana,1920.0
1997,Béja,2430.0
1997,Jendouba,3750.0
1998,Medenine,10.0
1998,Sfax,50.0
1998,Tunis,100.0
1998,Tatouine,120.0
1998,Mahdia,130.0
1998,Sousse,170.0
1998,Zaghouan,220.0
1998,Gabès,230.0
1998,Ben Arous,320.0
1998,Gafsa,400.0
1998,Kef,500.0
1998,Kasserine,500.0
1998,Sidi Bouzid,550.0
1998,Monastir,620.0
1998,Kairouan,650.0
1998,Ariana,920.0
1998,Nabeul,1000.0
1998,Bizerte,1140.0
1998,Siliana,1920.0
1998,Béja,2330.0
1998,Jendouba,3750.0
1999,Medenine,20.0
1999,Mahdia,50.0
1999,Sfax,60.0
1999,Gabès,60.0
1999,Tatouine,60.0
1999,Tunis,100.0
1999,Sousse,160.0
1999,Zaghouan,300.0
1999,Ben Arous,320.0
1999,Gafsa,400.0
1999,Kasserine,480.0
1999,Bizerte,490.0
1999,Sidi Bouzid,570.0
1999,Kef,610.0
1999,Monastir,620.0
1999,Kairouan,680.0
1999,Ariana,1020.0
1999,Nabeul,1180.0
1999,Siliana,1920.0
1999,Béja,2460.0
1999,Jendouba,3980.0
2000,Medenine,20.0
2000,Mahdia,50.0
2000,Tatouine,50.0
2000,Sfax,80.0
2000,Tunis,100.0
2000,Sousse,170.0
2000,Ben Arous,320.0
2000,Zaghouan,340.0
2000,Bizerte,370.0
2000,Gafsa,480.0
2000,Sidi Bouzid,570.0
2000,Monastir,620.0
2000,Kasserine,620.0
2000,Kef,730.0
2000,Kairouan,840.0
2000,Ariana,1040.0
2000,Nabeul,1180.0
2000,Siliana,2000.0
2000,Béja,2510.0
2000,Jendouba,4050.0
2001,Medenine,20.0
2001,Tatouine,50.0
2001,Mahdia,70.0
2001,Ariana,80.0
2001,Sfax,80.0
2001,Tunis,110.0
2001,Sousse,170.0
2001,Ben Arous,320.0
2001,Bizerte,460.0
2001,Gafsa,500.0
2001,Zaghouan,550.0
2001,Sidi Bouzid,570.0
2001,Kasserine,600.0
2001,Monastir,620.0
2001,Kef,770.0
2001,Manouba,910.0
2001,Kairouan,1020.0
2001,Nabeul,1180.0
2001,Siliana,2000.0
2001,Béja,2560.0
2001,Jendouba,4380.0
2002,Medenine,30.0
2002,Tatouine,50.0
2002,Mahdia,80.0
2002,Sfax,80.0
2002,Ariana,90.0
2002,Tunis,110.0
2002,Sousse,200.0
2002,Ben Arous,320.0
2002,Bizerte,440.0
2002,Zaghouan,570.0
2002,Sidi Bouzid,570.0
2002,Gafsa,580.0
2002,Monastir,690.0
2002,Kef,800.0
2002,Kasserine,800.0
2002,Manouba,980.0
2002,Kairouan,1090.0
2002,Nabeul,1180.0
2002,Siliana,2000.0
2002,Béja,2650.0
2002,Jendouba,4490.0
2003,Medenine,30.0
2003,Tatouine,50.0
2003,Mahdia,80.0
2003,Tunis,110.0
2003,Ariana,120.0
2003,Sfax,120.0
2003,Sousse,170.0
2003,Ben Arous,320.0
2003,Bizerte,440.0
2003,Gafsa,520.0
2003,Zaghouan,550.0
2003,Sidi Bouzid,570.0
2003,Monastir,700.0
2003,Kef,830.0
2003,Kasserine,850.0
2003,Manouba,1010.0
2003,Kairouan,1170.0
2003,Nabeul,1180.0
2003,Siliana,2000.0
2003,Béja,2680.0
2003,Jendouba,4500.0
2004,Medenine,30.0
2004,Tatouine,60.0
2004,Mahdia,80.0
2004,Tunis,110.0
2004,Sfax,130.0
2004,Ariana,150.0
2004,Gabès,250.0
2004,Ben Arous,320.0
2004,Sousse,330.0
2004,Bizerte,440.0
2004,Sidi Bouzid,580.0
2004,Zaghouan,590.0
2004,Monastir,710.0
2004,Gafsa,800.0
2004,Kef,850.0
2004,Kasserine,860.0
2004,Manouba,1030.0
2004,Kairouan,1190.0
2004,Nabeul,1200.0
2004,Siliana,2000.0
2004,Béja,2680.0
2004,Jendouba,4510.0
2005,Medenine,30.0
2005,Tatouine,40.0
2005,Tunis,110.0
2005,Sfax,140.0
2005,Ariana,150.0
2005,Mahdia,150.0
2005,Gabès,250.0
2005,Sousse,280.0
2005,Ben Arous,320.0
2005,Bizerte,440.0
2005,Sidi Bouzid,580.0
2005,Zaghouan,600.0
2005,Monastir,720.0
2005,Gafsa,830.0
2005,Kef,860.0
2005,Kasserine,870.0
2005,Manouba,1040.0
2005,Nabeul,1180.0
2005,Kairouan,1190.0
2005,Siliana,2000.0
2005,Béja,2730.0
2005,Jendouba,4550.0
2006,Medenine,30.0
2006,Tatouine,40.0
2006,Tunis,140.0
2006,Sfax,140.0
2006,Ariana,170.0
2006,Mahdia,170.0
2006,Gabès,250.0
2006,Ben Arous,320.0
2006,Sousse,400.0
2006,Bizerte,430.0
2006,Zaghouan,510.0
2006,Sidi Bouzid,580.0
2006,Monastir,740.0
2006,Gafsa,800.0
2006,Kasserine,870.0
2006,Kef,900.0
2006,Manouba,1070.0
2006,Nabeul,1180.0
2006,Kairouan,1200.0
2006,Siliana,2010.0
2006,Béja,2900.0
2006,Jendouba,4600.0
2007,Medenine,30.0
2007,Tunis,120.0
2007,Sfax,120.0
2007,Mahdia,170.0
2007,Ariana,180.0
2007,Gabès,250.0
2007,Ben Arous,320.0
2007,Bizerte,430.0
2007,Sousse,500.0
2007,Zaghouan,530.0
2007,Sidi Bouzid,620.0
2007,Monastir,740.0
2007,Gafsa,800.0
2007,Kasserine,870.0
2007,Kef,1080.0
2007,Manouba,1100.0
2007,Nabeul,1200.0
2007,Kairouan,1200.0
2007,Siliana,2020.0
2007,Béja,2950.0
2007,Jendouba,4600.0
2008,Tatouine,10.0
2008,Medenine,30.0
2008,Sfax,130.0
2008,Tunis,140.0
2008,Mahdia,180.0
2008,Ariana,190.0
2008,Gabès,250.0
2008,Ben Arous,320.0
2008,Bizerte,440.0
2008,Sousse,500.0
2008,Zaghouan,530.0
2008,Sidi Bouzid,650.0
2008,Monastir,740.0
2008,Kasserine,870.0
2008,Nabeul,940.0
2008,Gafsa,1000.0
2008,Kef,1080.0
2008,Manouba,1110.0
2008,Kairouan,1200.0
2008,Siliana,2020.0
2008,Béja,2980.0
2008,Jendouba,4070.0
2009,Medenine,30.0
2009,Sfax,40.0
2009,Tunis,140.0
2009,Ariana,180.0
2009,Mahdia,190.0
2009,Gabès,300.0
2009,Ben Arous,320.0
2009,Bizerte,460.0
2009,Kasserine,490.0
2009,Sousse,500.0
2009,Zaghouan,530.0
2009,Monastir,650.0
2009,Sidi Bouzid,730.0
2009,Nabeul,1000.0
2009,Gafsa,1000.0
2009,Kef,1080.0
2009,Manouba,1120.0
2009,Kairouan,1230.0
2009,Siliana,2400.0
2009,Béja,3180.0
2009,Jendouba,4070.0
2010,Medenine,30.0
2010,Tatouine,40.0
2010,Sfax,50.0
2010,Tunis,140.0
2010,Ariana,180.0
2010,Mahdia,200.0
2010,Gabès,300.0
2010,Ben Arous,320.0
2010,Bizerte,450.0
2010,Kasserine,480.0
2010,Sousse,500.0
2010,Zaghouan,550.0
2010,Monastir,650.0
2010,Sidi Bouzid,760.0
2010,Nabeul,1000.0
2010,Gafsa,1000.0
2010,Kef,1100.0
2010,Manouba,1120.0
2010,Kairouan,1240.0
2010,Siliana,2400.0
2010,Béja,3200.0
2010,Jendouba,4070.0
2011,Tatouine,30.0
2011,Sfax,60.0
2011,Medenine,70.0
2011,Tunis,140.0
2011,Ariana,180.0
2011,Mahdia,200.0
2011,Gabès,300.0
2011,Ben Arous,340.0
2011,Kasserine,400.0
2011,Bizerte,460.0
2011,Sousse,500.0
2011,Monastir,500.0
2011,Zaghouan,550.0
2011,Sidi Bouzid,810.0
2011,Gafsa,1000.0
2011,Manouba,1120.0
2011,Kef,1150.0
2011,Kairouan,1270.0
2011,Nabeul,1400.0
2011,Siliana,2400.0
2011,Béja,3250.0
2011,Jendouba,4070.0
2012,Tatouine,30.0
2012,Medenine,70.0
2012,Tunis,140.0
2012,Mahdia,200.0
2012,Ariana,230.0
2012,Gabès,300.0
2012,Sfax,310.0
2012,Kasserine,400.0
2012,Gafsa,400.0
2012,Ben Arous,420.0
2012,Bizerte,450.0
2012,Sousse,500.0
2012,Monastir,500.0
2012,Zaghouan,700.0
2012,Sidi Bouzid,900.0
2012,Kef,1100.0
2012,Manouba,1120.0
2012,Kairouan,1290.0
2012,Nabeul,1400.0
2012,Siliana,2400.0
2012,Béja,3250.0
2012,Jendouba,4070.0
2013,Tatouine,10.0
2013,Medenine,70.0
2013,Tunis,140.0
2013,Mahdia,200.0
2013,Ariana,230.0
2013,Kasserine,270.0
2013,Gafsa,390.0
2013,Sfax,400.0
2013,Ben Arous,500.0
2013,Sousse,500.0
2013,Monastir,500.0
2013,Bizerte,510.0
2013,Zaghouan,800.0
2013,Sidi Bouzid,950.0
2013,Nabeul,1000.0
2013,Manouba,1120.0
2013,Kairouan,1300.0
2013,Siliana,2400.0
2013,Kef,2740.0
2013,Béja,3250.0
2013,Jendouba,4000.0
2014,Tatouine,10.0
2014,Gabès,30.0
2014,Medenine,30.0
2014,Tunis,140.0
2014,Mahdia,200.0
2014,Ariana,230.0
2014,Kasserine,300.0
2014,Sfax,420.0
2014,Ben Arous,500.0
2014,Sousse,500.0
2014,Monastir,500.0
2014,Gafsa,520.0
2014,Zaghouan,850.0
2014,Sidi Bouzid,910.0
2014,Bizerte,1000.0
2014,Nabeul,1040.0
2014,Manouba,1120.0
2014,Kairouan,1290.0
2014,Siliana,2400.0
2014,Kef,2740.0
2014,Béja,3250.0
2014,Jendouba,4000.0
2015,Gabès,30.0
2015,Medenine,30.0
2015,Tunis,140.0
2015,Mahdia,200.0
2015,Ariana,240.0
2015,Ben Arous,400.0
2015,Sfax,430.0
2015,Sousse,500.0
2015,Monastir,500.0
2015,Sidi Bouzid,930.0
2015,Zaghouan,950.0
2015,Bizerte,1000.0
2015,Nabeul,1090.0
2015,Manouba,1120.0
2015,Kasserine,1200.0
2015,Kairouan,1260.0
2015,Gafsa,2200.0
2015,Siliana,2400.0
2015,Kef,2770.0
2015,Béja,3850.0
2015,Jendouba,4000.0
2016,Gabès,20.0
2016,Medenine,40.0
2016,Tunis,120.0
2016,Mahdia,210.0
2016,Ariana,240.0
2016,Sfax,450.0
2016,Ben Arous,480.0
2016,Sousse,500.0
2016,Monastir,500.0
2016,Zaghouan,980.0
2016,Sidi Bouzid,990.0
2016,Bizerte,1060.0
2016,Manouba,1120.0
2016,Nabeul,1120.0
2016,Kairouan,1280.0
2016,Kasserine,1350.0
2016,Gafsa,2210.0
2016,Siliana,2400.0
2016,Kef,2770.0
2016,Jendouba,4000.0
2016,Béja,4210.0
