societe,nature_du_produit,quantite_kilos
أزابسكا,قشريات مجمدة,44943
أزابسكا,رخويات مجمدة,15
كامكسبور,قشريات مثلجة,29
كامكسبور,رخويات مثلجة,22
كامكسبور,أسماك مثلجة,"750,2"
ديدون ماري,قشريات مجمدة,1010
ديدون ماري,قشريات حية,341
ديدون ماري,رخويات مثلجة,56
ديدون ماري,رخويات مجمدة,48
ديدون ماري,أسماك مثلجة,"866,7"
ديدون ماري,أسماك مجمدة,"7909,3"
بن حميدة,قشريات مثلجة,11
بن حميدة,رخويات مثلجة,"11,8"
بن حميدة,أسماك مثلجة,"447,8"
ماديترنيان باسكا, نصف مصبرات سمك أزرق,18098
أرباكس,تربية مائية,1000
لابلان,قشريات مجمدة,7080
موليس دوس,رخويات حية,1490
