Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Direction du vent,Direction du vent,Deg,234.8
2025-11-25 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,949.8
2025-11-25 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.28
2025-11-25 21:00:00,Point de Rosée,Point de Rosée,°C,5.5
2025-11-25 21:00:00,Humidité relative,Humidité relative,%,63.9
2025-11-25 21:00:00,Température,Température,°C,12.1
2025-11-25 21:00:00,Vitesse du vent,Vitesse du vent,m/s,1.86
2025-11-25 20:00:00,Température,Température,°C,11.7
2025-11-25 20:00:00,Point de Rosée,Point de Rosée,°C,6.2
2025-11-25 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,949.7
2025-11-25 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 20:00:00,Direction du vent,Direction du vent,Deg,315.4
2025-11-25 20:00:00,Humidité relative,Humidité relative,%,68.9
2025-11-25 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.28
2025-11-25 20:00:00,Vitesse du vent,Vitesse du vent,m/s,6.3
2025-11-25 19:00:00,Vitesse du vent,Vitesse du vent,m/s,7.4
2025-11-25 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.28
2025-11-25 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,948.5
2025-11-25 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:00,Point de Rosée,Point de Rosée,°C,5.9
2025-11-25 19:00:00,Humidité relative,Humidité relative,%,62.7
2025-11-25 19:00:00,Température,Température,°C,12.8
2025-11-25 19:00:00,Direction du vent,Direction du vent,Deg,326.4
2025-11-25 18:00:00,Direction du vent,Direction du vent,Deg,331.3
2025-11-25 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:00,Humidité relative,Humidité relative,%,61.8
