societe,nature_du_produit,quantite_kilos
المتوسطية,قشريات حية,"36,2"
المتوسطية,رخويات مثلجة,185
المتوسطية,أسماك مثلجة,"2787,5"
المتوسطية,تربية مائية,60
أزباسكا,قشريات مجمدة,23546
ديدون ماري,قشريات مثلجة,"425,7"
ديدون ماري,قشريات مجمدة,133
ديدون ماري,رخويات مثلجة,140
ديدون ماري,أسماك مثلجة,"2260,5"
ديدون ماري,أسماك مجمدة,1908
بن حميدة,أسماك مثلجة,384
أكيمار,قشريات مجمدة,1799
ماديترنيان باسكا, نصف مصبرات سمك أزرق,14822
سليماكس,رخويات مثلجة,"20,5"
سليماكس,رخويات مجمدة,1570
سليماكس,أسماك مثلجة,"3319,7"
موليس دوس,رخويات حية,654
