Date,nom_ar,nom_fr,unite,valeur
2025-09-26 23:00:00,درجة الحرارة,Température,°C,17.8
2025-09-26 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.04
2025-09-26 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-26 23:00:00,Point de Rosée,Point de Rosée,°C,14.5
2025-09-26 23:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.3
2025-09-26 23:00:00,Humidité relative,Humidité relative,%,81.1
2025-09-26 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,2.99
2025-09-26 23:00:00,اتجاه الرياح,Direction du vent,Deg,106.4
2025-09-26 23:00:00,سرعة الرياح,Vitesse du vent,m/s,2.03
2025-09-26 22:00:00,Humidité relative,Humidité relative,%,74.2
2025-09-26 22:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,2.99
2025-09-26 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-26 22:00:00,درجة الحرارة,Température,°C,18.5
2025-09-26 22:00:00,اتجاه الرياح,Direction du vent,Deg,109.9
2025-09-26 22:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.04
2025-09-26 22:00:00,سرعة الرياح,Vitesse du vent,m/s,0.72
2025-09-26 22:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.3
2025-09-26 22:00:00,Point de Rosée,Point de Rosée,°C,13.8
2025-09-26 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,2.99
2025-09-26 21:00:00,Humidité relative,Humidité relative,%,74.9
2025-09-26 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.04
2025-09-26 21:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.9
2025-09-26 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-26 21:00:00,Point de Rosée,Point de Rosée,°C,14.0
2025-09-26 21:00:00,اتجاه الرياح,Direction du vent,Deg,127.1
2025-09-26 21:00:00,درجة الحرارة,Température,°C,18.6
2025-09-26 21:00:00,سرعة الرياح,Vitesse du vent,m/s,1.38
2025-09-26 20:00:00,اتجاه الرياح,Direction du vent,Deg,133.8
2025-09-26 20:00:00,درجة الحرارة,Température,°C,18.6
2025-09-26 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-09-26 20:00:00,Humidité relative,Humidité relative,%,77.3
2025-09-26 20:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.9
2025-09-26 20:00:00,سرعة الرياح,Vitesse du vent,m/s,1.4
2025-09-26 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,2.99
2025-09-26 20:00:00,Point de Rosée,Point de Rosée,°C,14.5
2025-09-26 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.04
2025-09-26 19:00:00,Humidité relative,Humidité relative,%,79.5
2025-09-26 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.04
2025-09-26 19:00:00,اتجاه الرياح,Direction du vent,Deg,45.2
2025-09-26 19:00:00,درجة الحرارة,Température,°C,18.9
2025-09-26 19:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.4
2025-09-26 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,2.99
2025-09-26 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-09-26 19:00:00,Point de Rosée,Point de Rosée,°C,15.2
