Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,1.0
2025-10-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,424.6
2025-10-24 07:00:00,Température,Température,°C,18.8
2025-10-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,1.0
2025-10-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,424.6
2025-10-24 05:00:00,Température,Température,°C,18.9
2025-10-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,1.1
2025-10-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,427.0
2025-10-24 04:00:00,Température,Température,°C,18.9
2025-10-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,1.1
2025-10-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,427.2
2025-10-24 03:00:00,Température,Température,°C,19.0
