Date,nom_ar,nom_fr,unite,valeur
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.9
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,835.1
2025-11-25 20:00:00,Température,Température,°C,15.1
2025-11-25 18:00:00,Température,Température,°C,15.0
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,835.5
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.9
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,22.9
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,835.2
2025-11-25 16:00:00,Température,Température,°C,14.9
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.0
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,835.6
2025-11-25 14:00:00,Température,Température,°C,14.7
2025-11-25 12:00:00,Température,Température,°C,14.7
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,836.9
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.1
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,838.2
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.3
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,838.8
2025-11-25 10:00:00,Température,Température,°C,14.7
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.4
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,839.8
2025-11-25 08:00:00,Température,Température,°C,14.7
2025-11-25 06:00:00,Température,Température,°C,14.7
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,840.2
2025-11-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.4
2025-11-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,840.5
2025-11-25 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.4
2025-11-25 04:00:00,Température,Température,°C,14.8
2025-11-25 02:00:00,Température,Température,°C,14.8
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,841.0
2025-11-25 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.5
2025-11-25 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.5
2025-11-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,841.5
2025-11-25 00:00:00,Température,Température,°C,14.9
2025-11-24 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.6
2025-11-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,841.9
2025-11-24 22:00:00,Température,Température,°C,14.9
2025-11-24 20:00:00,Température,Température,°C,14.9
2025-11-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,842.2
2025-11-24 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.6
2025-11-24 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.7
2025-11-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,842.8
2025-11-24 18:00:00,Température,Température,°C,14.8
2025-11-24 16:00:00,L'humidité du sol,L'humidité du sol,mV,843.3
2025-11-24 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.7
2025-11-24 16:00:00,Température,Température,°C,14.6
2025-11-24 14:00:00,L'humidité du sol,L'humidité du sol,mV,844.7
2025-11-24 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.9
2025-11-24 14:00:00,Température,Température,°C,14.5
2025-11-24 12:00:00,L'humidité du sol,L'humidité du sol,mV,846.1
2025-11-24 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-11-24 12:00:00,Température,Température,°C,14.5
2025-11-24 10:00:00,L'humidité du sol,L'humidité du sol,mV,848.0
2025-11-24 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.2
2025-11-24 10:00:00,Température,Température,°C,14.6
2025-11-24 08:00:00,L'humidité du sol,L'humidité du sol,mV,848.0
2025-11-24 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.2
2025-11-24 08:00:00,Température,Température,°C,14.6
2025-11-24 06:00:00,Température,Température,°C,14.7
2025-11-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,848.9
2025-11-24 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.3
2025-11-24 05:00:00,Température,Température,°C,14.8
2025-11-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,848.9
2025-11-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.3
2025-11-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.3
2025-11-24 04:00:00,Température,Température,°C,14.8
2025-11-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,849.3
2025-11-24 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.5
2025-11-24 02:00:00,Température,Température,°C,14.8
2025-11-24 02:00:00,L'humidité du sol,L'humidité du sol,mV,851.3
2025-11-24 01:00:00,L'humidité du sol,L'humidité du sol,mV,852.5
2025-11-24 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.7
2025-11-24 01:00:00,Température,Température,°C,14.9
2025-11-24 00:00:00,Température,Température,°C,14.9
2025-11-24 00:00:00,L'humidité du sol,L'humidité du sol,mV,854.4
2025-11-24 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.9
2025-11-23 22:00:00,L'humidité du sol,L'humidité du sol,mV,856.8
2025-11-23 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,25.1
2025-11-23 22:00:00,Température,Température,°C,14.8
2025-11-23 20:00:00,L'humidité du sol,L'humidité du sol,mV,861.5
2025-11-23 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,25.6
2025-11-23 20:00:00,Température,Température,°C,14.8
2025-11-23 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,26.6
2025-11-23 18:00:00,Température,Température,°C,14.7
2025-11-23 18:00:00,L'humidité du sol,L'humidité du sol,mV,870.1
2025-11-23 16:00:00,Température,Température,°C,14.5
2025-11-23 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,28.9
2025-11-23 16:00:00,L'humidité du sol,L'humidité du sol,mV,890.3
2025-11-23 14:00:00,L'humidité du sol,L'humidité du sol,mV,921.9
2025-11-23 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.9
2025-11-23 14:00:00,Température,Température,°C,14.4
2025-11-23 12:00:00,L'humidité du sol,L'humidité du sol,mV,1015.6
2025-11-23 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.5
2025-11-23 12:00:00,Température,Température,°C,14.3
2025-11-23 11:00:00,L'humidité du sol,L'humidité du sol,mV,1043.3
2025-11-23 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,49.1
2025-11-23 11:00:00,Température,Température,°C,14.3
2025-11-23 10:00:00,Température,Température,°C,14.3
2025-11-23 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,55.6
2025-11-23 10:00:00,L'humidité du sol,L'humidité du sol,mV,1090.6
2025-11-23 09:00:00,L'humidité du sol,L'humidité du sol,mV,1116.2
2025-11-23 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,60.6
2025-11-23 09:00:00,Température,Température,°C,14.3
2025-11-23 08:00:00,Température,Température,°C,14.3
2025-11-23 08:00:00,L'humidité du sol,L'humidité du sol,mV,1122.0
