Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 21:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 21:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 21:00:01,Point de Rosée,Point de Rosée,°C,9.1
2025-11-25 21:00:01,Humidité relative,Humidité relative,%,84.7
2025-11-25 21:00:01,Température,Température,°C,11.6
2025-11-25 21:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 21:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 21:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 20:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 20:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 20:00:01,Point de Rosée,Point de Rosée,°C,10.3
2025-11-25 20:00:01,Température,Température,°C,11.4
2025-11-25 20:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 20:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 20:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 20:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 20:00:01,Humidité relative,Humidité relative,%,93.0
2025-11-25 19:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 19:00:01,Point de Rosée,Point de Rosée,°C,10.6
2025-11-25 19:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 19:00:01,Humidité relative,Humidité relative,%,94.1
2025-11-25 19:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-25 19:00:01,Température,Température,°C,11.5
2025-11-25 19:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 19:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 18:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 18:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 18:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 18:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 18:00:01,Point de Rosée,Point de Rosée,°C,9.1
2025-11-25 18:00:01,Humidité relative,Humidité relative,%,78.6
2025-11-25 18:00:01,Température,Température,°C,12.8
2025-11-25 18:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 17:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 17:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 17:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 17:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 17:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 17:00:01,Point de Rosée,Point de Rosée,°C,9.5
2025-11-25 17:00:01,Humidité relative,Humidité relative,%,76.3
2025-11-25 17:00:01,Température,Température,°C,13.6
2025-11-25 17:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 16:00:01,Température,Température,°C,20.4
2025-11-25 16:00:01,Point de Rosée,Point de Rosée,°C,4.2
2025-11-25 16:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 16:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 16:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 16:00:01,Humidité relative,Humidité relative,%,34.4
2025-11-25 16:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 16:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 16:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 15:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 15:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 15:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 15:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 15:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 15:00:01,Point de Rosée,Point de Rosée,°C,3.6
2025-11-25 15:00:01,Humidité relative,Humidité relative,%,31.5
2025-11-25 15:00:01,Température,Température,°C,21.2
2025-11-25 15:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 14:00:01,Température,Température,°C,21.0
2025-11-25 14:00:01,Point de Rosée,Point de Rosée,°C,2.8
2025-11-25 14:00:01,Vitesse du vent,Vitesse du vent,m/s,1.42
2025-11-25 14:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 14:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 14:00:01,Humidité relative,Humidité relative,%,30.1
2025-11-25 14:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 14:00:01,Direction du vent,Direction du vent,Deg,322.0
2025-11-25 14:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 13:00:01,Point de Rosée,Point de Rosée,°C,3.0
2025-11-25 13:00:01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 13:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,51.36
2025-11-25 13:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 13:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,3973.0
2025-11-25 13:00:01,Humidité relative,Humidité relative,%,31.0
