societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,616
المتوسطية,رخويات مجمدة,"3240,62"
المتوسطية,أسماك مثلجة,"3966,7"
المتوسطية,أسماك مجمدة,"457,34"
المتوسطية,قشريات حية,18
أزباسكا,قشريات مجمدة,84164
أزباسكا,رخويات مجمدة,4596
أزباسكا,تربية مائية,1500
ديدون ماري,قشريات حية,"10,6"
ديدون ماري,رخويات مجمدة,"446,7"
ديدون ماري,رخويات حية,"4379,2"
ديدون ماري,أسماك مثلجة,"805,6"
ديدون ماري,أسماك مجمدة,11565
بن حميدة,قشريات مثلجة,3400
بن حميدة,رخويات مثلجة,"253,7"
بن حميدة,أسماك مثلجة,2662
فيشار,قشريات مثلجة,460
فيشار,أسماك مثلجة,"9819,5"
فيشار,تربية مائية,1288
كامكسبور,قشريات مثلجة,"23,3"
كامكسبور,رخويات مثلجة,"45,8"
كامكسبور,أسماك مثلجة,"1177,6"
أكيمار,قشريات مجمدة,1541
أكيمار,أسماك مجمدة,1652
ماديترنيان باسكا,أسماك مثلجة,17657
ماديترنيان باسكا,مصبرات سمك أزرق,16938
أرباكس,تربية مائية,3700
سليماكس,قشريات مثلجة,524
سليماكس,أسماك مثلجة,1621
لابالان,قشريات مجمدة,3582
