Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Température,Température,°c,10.7
2025-11-25 21:00:00,Direction du vent,Direction du vent,Deg,293.6
2025-11-25 21:00:00,Point de Rosée,Point de Rosée,°c,6.4
2025-11-25 21:00:00,Vitesse du vent,Vitesse du vent,m/s,1.41
2025-11-25 21:00:00,Humidité relative,Humidité relative,%,75.0
2025-11-25 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,944.6
2025-11-25 20:00:00,Température,Température,°c,10.4
2025-11-25 20:00:00,Humidité relative,Humidité relative,%,78.1
2025-11-25 20:00:00,Point de Rosée,Point de Rosée,°c,6.8
2025-11-25 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,944.2
2025-11-25 20:00:00,Direction du vent,Direction du vent,Deg,333.6
2025-11-25 20:00:00,Vitesse du vent,Vitesse du vent,m/s,1.34
2025-11-25 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.9
2025-11-25 19:00:00,Point de Rosée,Point de Rosée,°c,6.9
2025-11-25 19:00:00,Humidité relative,Humidité relative,%,75.2
2025-11-25 19:00:00,Température,Température,°c,11.1
2025-11-25 19:00:00,Direction du vent,Direction du vent,Deg,4.5
2025-11-25 19:00:00,Vitesse du vent,Vitesse du vent,m/s,1.65
2025-11-25 18:00:00,Température,Température,°c,11.7
2025-11-25 18:00:00,Vitesse du vent,Vitesse du vent,m/s,2.97
2025-11-25 18:00:00,Point de Rosée,Point de Rosée,°c,6.9
2025-11-25 18:00:00,Direction du vent,Direction du vent,Deg,282.1
2025-11-25 18:00:00,Humidité relative,Humidité relative,%,72.4
2025-11-25 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.4
2025-11-25 17:00:00,Vitesse du vent,Vitesse du vent,m/s,6.87
2025-11-25 17:00:00,Point de Rosée,Point de Rosée,°c,6.8
2025-11-25 17:00:00,Humidité relative,Humidité relative,%,68.1
2025-11-25 17:00:00,Température,Température,°c,12.5
2025-11-25 17:00:00,Direction du vent,Direction du vent,Deg,352.2
2025-11-25 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,941.9
2025-11-25 16:00:00,Température,Température,°c,19.2
2025-11-25 16:00:00,Point de Rosée,Point de Rosée,°c,5.0
2025-11-25 16:00:00,Vitesse du vent,Vitesse du vent,m/s,7.97
2025-11-25 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,939.9
2025-11-25 16:00:00,Humidité relative,Humidité relative,%,39.2
2025-11-25 16:00:00,Direction du vent,Direction du vent,Deg,286.0
2025-11-25 15:00:00,Humidité relative,Humidité relative,%,38.6
2025-11-25 15:00:00,Direction du vent,Direction du vent,Deg,291.1
2025-11-25 15:00:00,Point de Rosée,Point de Rosée,°c,4.7
2025-11-25 15:00:00,Vitesse du vent,Vitesse du vent,m/s,5.74
2025-11-25 15:00:00,Température,Température,°c,19.1
2025-11-25 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,939.9
2025-11-25 14:00:00,Température,Température,°c,19.5
2025-11-25 14:00:00,Point de Rosée,Point de Rosée,°c,2.5
2025-11-25 14:00:00,Humidité relative,Humidité relative,%,32.2
2025-11-25 14:00:00,Direction du vent,Direction du vent,Deg,290.8
2025-11-25 14:00:00,Vitesse du vent,Vitesse du vent,m/s,4.75
2025-11-25 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,940.2
2025-11-25 13:00:00,Humidité relative,Humidité relative,%,29.1
2025-11-25 13:00:00,Point de Rosée,Point de Rosée,°c,1.2
2025-11-25 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,940.6
2025-11-25 13:00:00,Vitesse du vent,Vitesse du vent,m/s,4.59
2025-11-25 13:00:00,Direction du vent,Direction du vent,Deg,278.1
2025-11-25 13:00:00,Température,Température,°c,19.7
2025-11-25 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,942.0
2025-11-25 12:00:00,Point de Rosée,Point de Rosée,°c,1.0
2025-11-25 12:00:00,Humidité relative,Humidité relative,%,31.9
2025-11-25 12:00:00,Température,Température,°c,17.9
2025-11-25 12:00:00,Direction du vent,Direction du vent,Deg,304.4
2025-11-25 12:00:00,Vitesse du vent,Vitesse du vent,m/s,5.48
2025-11-25 11:00:00,Humidité relative,Humidité relative,%,28.0
2025-11-25 11:00:00,Direction du vent,Direction du vent,Deg,256.7
2025-11-25 11:00:00,Point de Rosée,Point de Rosée,°c,-1.2
2025-11-25 11:00:00,Vitesse du vent,Vitesse du vent,m/s,5.1
2025-11-25 11:00:00,Température,Température,°c,17.4
2025-11-25 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.0
2025-11-25 10:00:00,Température,Température,°c,15.5
2025-11-25 10:00:00,Humidité relative,Humidité relative,%,29.0
2025-11-25 10:00:00,Point de Rosée,Point de Rosée,°c,-2.4
2025-11-25 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.7
2025-11-25 10:00:00,Direction du vent,Direction du vent,Deg,265.5
2025-11-25 10:00:00,Vitesse du vent,Vitesse du vent,m/s,2.82
2025-11-25 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.6
2025-11-25 09:00:00,Point de Rosée,Point de Rosée,°c,-2.4
2025-11-25 09:00:00,Humidité relative,Humidité relative,%,31.9
2025-11-25 09:00:00,Température,Température,°c,14.0
2025-11-25 09:00:00,Direction du vent,Direction du vent,Deg,276.6
2025-11-25 09:00:00,Vitesse du vent,Vitesse du vent,m/s,1.88
2025-11-25 08:00:00,Température,Température,°c,9.2
2025-11-25 08:00:00,Vitesse du vent,Vitesse du vent,m/s,1.5
2025-11-25 08:00:00,Point de Rosée,Point de Rosée,°c,-2.9
2025-11-25 08:00:00,Direction du vent,Direction du vent,Deg,77.2
2025-11-25 08:00:00,Humidité relative,Humidité relative,%,42.4
2025-11-25 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.8
2025-11-25 07:00:00,Température,Température,°c,6.3
2025-11-25 07:00:00,Direction du vent,Direction du vent,Deg,65.8
2025-11-25 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.49
2025-11-25 07:00:00,Point de Rosée,Point de Rosée,°c,-3.2
2025-11-25 07:00:00,Humidité relative,Humidité relative,%,50.1
2025-11-25 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,943.7
2025-11-25 06:00:00,Température,Température,°c,5.4
2025-11-25 06:00:00,Point de Rosée,Point de Rosée,°c,-4.3
2025-11-25 06:00:00,Humidité relative,Humidité relative,%,49.3
2025-11-25 06:00:00,Direction du vent,Direction du vent,Deg,50.5
2025-11-25 06:00:00,Vitesse du vent,Vitesse du vent,m/s,1.1
2025-11-25 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,944.0
2025-11-25 05:00:00,Humidité relative,Humidité relative,%,41.1
2025-11-25 05:00:00,Direction du vent,Direction du vent,Deg,80.9
2025-11-25 05:00:00,Point de Rosée,Point de Rosée,°c,-3.7
2025-11-25 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.32
2025-11-25 05:00:00,Température,Température,°c,8.7
2025-11-25 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,944.4
2025-11-25 04:00:00,Température,Température,°c,9.8
2025-11-25 04:00:00,Point de Rosée,Point de Rosée,°c,-3.6
2025-11-25 04:00:00,Humidité relative,Humidité relative,%,38.5
2025-11-25 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,945.1
2025-11-25 04:00:00,Direction du vent,Direction du vent,Deg,96.0
2025-11-25 04:00:00,Vitesse du vent,Vitesse du vent,m/s,1.09
2025-11-25 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,945.9
2025-11-25 03:00:00,Point de Rosée,Point de Rosée,°c,-3.6
2025-11-25 03:00:00,Humidité relative,Humidité relative,%,32.8
2025-11-25 03:00:00,Température,Température,°c,12.2
2025-11-25 03:00:00,Direction du vent,Direction du vent,Deg,161.3
2025-11-25 03:00:00,Vitesse du vent,Vitesse du vent,m/s,1.51
2025-11-25 02:00:00,Température,Température,°c,12.5
2025-11-25 02:00:00,Vitesse du vent,Vitesse du vent,m/s,1.36
2025-11-25 02:00:00,Point de Rosée,Point de Rosée,°c,-3.5
2025-11-25 02:00:00,Direction du vent,Direction du vent,Deg,91.5
2025-11-25 02:00:00,Humidité relative,Humidité relative,%,32.3
2025-11-25 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,946.2
2025-11-25 01:00:00,Humidité relative,Humidité relative,%,33.5
2025-11-25 01:00:00,Point de Rosée,Point de Rosée,°c,-3.3
2025-11-25 01:00:00,Température,Température,°c,12.2
2025-11-25 01:00:00,Direction du vent,Direction du vent,Deg,72.6
2025-11-25 01:00:00,Vitesse du vent,Vitesse du vent,m/s,1.64
2025-11-25 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,946.4
2025-11-25 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,946.9
2025-11-25 00:00:00,Température,Température,°c,12.2
2025-11-25 00:00:00,Direction du vent,Direction du vent,Deg,176.7
2025-11-25 00:00:00,Humidité relative,Humidité relative,%,33.1
2025-11-25 00:00:00,Vitesse du vent,Vitesse du vent,m/s,3.05
2025-11-25 00:00:00,Point de Rosée,Point de Rosée,°c,-3.5
2025-11-24 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.3
2025-11-24 23:00:00,Point de Rosée,Point de Rosée,°c,-3.8
2025-11-24 23:00:00,Humidité relative,Humidité relative,%,34.0
2025-11-24 23:00:00,Température,Température,°c,11.4
2025-11-24 23:00:00,Direction du vent,Direction du vent,Deg,163.8
2025-11-24 23:00:00,Vitesse du vent,Vitesse du vent,m/s,4.25
2025-11-24 22:00:00,Température,Température,°c,11.5
2025-11-24 22:00:00,Vitesse du vent,Vitesse du vent,m/s,1.59
2025-11-24 22:00:00,Point de Rosée,Point de Rosée,°c,-4.1
2025-11-24 22:00:00,Direction du vent,Direction du vent,Deg,49.5
2025-11-24 22:00:00,Humidité relative,Humidité relative,%,32.9
2025-11-24 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.6
2025-11-24 21:00:00,Humidité relative,Humidité relative,%,30.1
2025-11-24 21:00:00,Point de Rosée,Point de Rosée,°c,-3.9
2025-11-24 21:00:00,Température,Température,°c,13.1
2025-11-24 21:00:00,Direction du vent,Direction du vent,Deg,174.3
2025-11-24 21:00:00,Vitesse du vent,Vitesse du vent,m/s,3.6
2025-11-24 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.6
2025-11-24 20:00:00,Humidité relative,Humidité relative,%,33.0
2025-11-24 20:00:00,Direction du vent,Direction du vent,Deg,81.3
2025-11-24 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.5
2025-11-24 20:00:00,Point de Rosée,Point de Rosée,°c,-3.7
2025-11-24 20:00:00,Vitesse du vent,Vitesse du vent,m/s,2.22
2025-11-24 20:00:00,Température,Température,°c,12.0
2025-11-24 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.4
2025-11-24 19:00:00,Point de Rosée,Point de Rosée,°c,-3.6
2025-11-24 19:00:00,Direction du vent,Direction du vent,Deg,37.6
2025-11-24 19:00:00,Humidité relative,Humidité relative,%,32.0
2025-11-24 19:00:00,Vitesse du vent,Vitesse du vent,m/s,2.54
2025-11-24 19:00:00,Température,Température,°c,12.6
2025-11-24 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.0
2025-11-24 18:00:00,Humidité relative,Humidité relative,%,29.3
2025-11-24 18:00:00,Direction du vent,Direction du vent,Deg,189.9
2025-11-24 18:00:00,Vitesse du vent,Vitesse du vent,m/s,4.61
2025-11-24 18:00:00,Température,Température,°c,14.2
2025-11-24 18:00:00,Point de Rosée,Point de Rosée,°c,-3.3
2025-11-24 17:00:00,Vitesse du vent,Vitesse du vent,m/s,1.96
2025-11-24 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,946.8
2025-11-24 17:00:00,Point de Rosée,Point de Rosée,°c,-3.7
2025-11-24 17:00:00,Humidité relative,Humidité relative,%,24.0
2025-11-24 17:00:00,Température,Température,°c,16.9
2025-11-24 17:00:00,Direction du vent,Direction du vent,Deg,214.3
2025-11-24 16:00:00,Vitesse du vent,Vitesse du vent,m/s,1.32
2025-11-24 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,946.5
2025-11-24 16:00:00,Point de Rosée,Point de Rosée,°c,-2.2
2025-11-24 16:00:00,Humidité relative,Humidité relative,%,22.7
2025-11-24 16:00:00,Température,Température,°c,19.5
2025-11-24 16:00:00,Direction du vent,Direction du vent,Deg,178.3
2025-11-24 15:00:00,Direction du vent,Direction du vent,Deg,241.0
2025-11-24 15:00:00,Point de Rosée,Point de Rosée,°c,-2.4
2025-11-24 15:00:00,Humidité relative,Humidité relative,%,22.4
2025-11-24 15:00:00,Température,Température,°c,19.5
2025-11-24 15:00:00,Vitesse du vent,Vitesse du vent,m/s,3.69
2025-11-24 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,946.9
2025-11-24 14:00:00,Point de Rosée,Point de Rosée,°c,-2.6
2025-11-24 14:00:00,Direction du vent,Direction du vent,Deg,255.8
2025-11-24 14:00:00,Humidité relative,Humidité relative,%,23.4
2025-11-24 14:00:00,Température,Température,°c,18.6
2025-11-24 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,947.7
2025-11-24 14:00:00,Vitesse du vent,Vitesse du vent,m/s,2.06
2025-11-24 13:00:00,Point de Rosée,Point de Rosée,°c,-2.2
2025-11-24 13:00:00,Vitesse du vent,Vitesse du vent,m/s,3.33
2025-11-24 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,948.6
2025-11-24 13:00:00,Direction du vent,Direction du vent,Deg,328.7
2025-11-24 13:00:00,Humidité relative,Humidité relative,%,25.8
2025-11-24 13:00:00,Température,Température,°c,17.5
2025-11-24 12:00:00,Vitesse du vent,Vitesse du vent,m/s,0.35
2025-11-24 12:00:00,Point de Rosée,Point de Rosée,°c,-2.0
2025-11-24 12:00:00,Humidité relative,Humidité relative,%,29.6
2025-11-24 12:00:00,Température,Température,°c,15.6
2025-11-24 12:00:00,Direction du vent,Direction du vent,Deg,155.8
2025-11-24 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,950.1
2025-11-24 11:00:00,Point de Rosée,Point de Rosée,°c,-3.3
2025-11-24 11:00:00,Humidité relative,Humidité relative,%,34.2
2025-11-24 11:00:00,Température,Température,°c,11.9
2025-11-24 11:00:00,Direction du vent,Direction du vent,Deg,6.6
2025-11-24 11:00:00,Vitesse du vent,Vitesse du vent,m/s,1.45
2025-11-24 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,951.7
2025-11-24 10:00:00,Vitesse du vent,Vitesse du vent,m/s,1.38
2025-11-24 10:00:00,Point de Rosée,Point de Rosée,°c,-3.6
2025-11-24 10:00:00,Direction du vent,Direction du vent,Deg,153.6
2025-11-24 10:00:00,Humidité relative,Humidité relative,%,40.0
2025-11-24 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.3
2025-11-24 10:00:00,Température,Température,°c,9.2
2025-11-24 09:00:00,Point de Rosée,Point de Rosée,°c,-3.6
2025-11-24 09:00:00,Humidité relative,Humidité relative,%,56.0
2025-11-24 09:00:00,Température,Température,°c,4.3
2025-11-24 09:00:00,Direction du vent,Direction du vent,Deg,93.1
2025-11-24 09:00:00,Vitesse du vent,Vitesse du vent,m/s,1.68
2025-11-24 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.4
2025-11-24 08:00:00,Direction du vent,Direction du vent,Deg,65.8
2025-11-24 08:00:00,Point de Rosée,Point de Rosée,°c,-4.9
2025-11-24 08:00:00,Température,Température,°c,0.9
2025-11-24 08:00:00,Vitesse du vent,Vitesse du vent,m/s,1.18
2025-11-24 08:00:00,Humidité relative,Humidité relative,%,65.0
2025-11-24 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.5
2025-11-24 07:00:00,Direction du vent,Direction du vent,Deg,111.0
2025-11-24 07:00:00,Point de Rosée,Point de Rosée,°c,-5.9
2025-11-24 07:00:00,Humidité relative,Humidité relative,%,74.5
2025-11-24 07:00:00,Température,Température,°c,-2.0
2025-11-24 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.34
2025-11-24 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.6
2025-11-24 06:00:00,Vitesse du vent,Vitesse du vent,m/s,0.9
2025-11-24 06:00:00,Point de Rosée,Point de Rosée,°c,-6.1
2025-11-24 06:00:00,Direction du vent,Direction du vent,Deg,115.0
2025-11-24 06:00:00,Humidité relative,Humidité relative,%,70.8
2025-11-24 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.8
2025-11-24 06:00:00,Température,Température,°c,-1.6
2025-11-24 05:00:00,Point de Rosée,Point de Rosée,°c,-6.0
2025-11-24 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.18
2025-11-24 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.9
2025-11-24 05:00:00,Température,Température,°c,-1.4
2025-11-24 05:00:00,Humidité relative,Humidité relative,%,70.3
2025-11-24 05:00:00,Direction du vent,Direction du vent,Deg,89.5
2025-11-24 04:00:00,Direction du vent,Direction du vent,Deg,126.4
2025-11-24 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.3
2025-11-24 04:00:00,Vitesse du vent,Vitesse du vent,m/s,2.03
2025-11-24 04:00:00,Température,Température,°c,-1.5
2025-11-24 04:00:00,Humidité relative,Humidité relative,%,74.8
