Date,PrixMoyen_PAC
2022-12-22,7051.5
2022-12-21,7180.5
2022-12-20,7147.6
2022-12-19,7230.0
2022-12-18,7230.0
2022-12-17,7227.7
2022-12-16,7251.5
2022-12-15,7299.9
2022-12-14,7267.9
2022-12-13,7283.3
2022-12-12,7224.0
2022-12-11,7237.5
2022-12-10,7239.0
2022-12-09,7288.6
2022-12-08,7290.6
2022-12-07,7275.0
2022-12-06,7282.2
2022-12-05,7288.3
2022-12-04,7318.2
2022-12-03,7350.3
2022-12-02,7321.4
2022-12-01,7134.0
2022-11-30,7068.2
2022-11-29,7068.1
2022-11-28,6900.0
2022-11-27,6713.7
2022-11-26,6713.7
2022-11-25,6338.3
2022-11-24,6091.6
2022-11-23,6160.6
2022-11-22,6054.9
2022-11-21,5961.0
2022-11-20,5995.2
2022-11-19,5995.2
2022-11-18,6002.2
2022-11-17,5947.7
2022-11-16,5996.9
2022-11-15,6229.3
2022-11-14,6143.2
2022-11-13,6127.2
2022-11-12,6127.2
2022-11-11,6185.1
2022-11-10,6246.9
2022-11-09,6533.0
2022-11-08,6364.4
2022-11-07,6290.0
2022-11-06,6219.3
2022-11-05,6205.0
2022-11-04,6257.5
2022-11-03,6318.4
2022-11-02,6389.0
2022-11-01,6482.7
2022-10-31,6549.9
2022-10-30,6552.1
2022-10-29,6552.1
2022-10-28,6586.2
2022-10-27,6679.8
2022-10-26,6839.0
2022-10-25,6988.5
2022-10-24,7205.0
2022-10-23,7273.0
2022-10-22,7273.0
2022-10-21,7342.1
2022-10-20,7366.2
2022-10-19,7379.5
2022-10-18,7378.2
2022-10-17,7382.9
2022-10-16,7395.4
2022-10-15,7395.4
2022-10-14,7261.3
2022-10-13,7370.9
2022-10-12,7450.9
2022-10-11,7407.3
2022-10-10,7445.0
2022-10-09,7438.3
2022-10-08,7383.0
2022-10-07,7431.9
2022-10-06,7406.4
2022-10-05,7434.0
2022-10-04,7433.3
2022-10-03,7420.5
2022-10-02,7422.0
2022-10-01,7430.3
2022-09-30,7422.9
2022-09-29,7440.7
2022-09-28,7439.9
2022-09-27,7447.0
2022-09-26,7407.2
2022-09-25,7510.0
2022-09-24,7510.0
2022-09-23,7475.0
2022-09-22,7473.2
2022-09-21,7447.3
2022-09-20,7447.9
2022-09-19,7432.6
2022-09-18,7454.2
2022-09-17,7454.2
2022-09-16,7438.3
2022-09-15,7425.0
2022-09-14,7468.7
2022-09-13,7491.6
2022-09-12,7502.7
2022-09-11,7480.4
2022-09-10,7470.4
2022-09-09,7468.6
2022-09-08,7467.8
2022-09-07,7498.3
2022-09-06,7424.7
2022-09-05,7455.0
2022-09-04,7455.8
2022-09-03,7455.8
2022-09-02,7483.6
2022-09-01,7524.6
2022-08-31,7481.0
2022-08-30,7759.7
2022-08-29,7807.6
2022-08-28,7910.0
2022-08-27,7825.5
2022-08-26,7656.4
2022-08-25,7726.1
2022-08-24,7654.3
2022-08-23,7615.2
2022-08-22,7617.6
2022-08-21,7586.4
2022-08-20,7586.4
2022-08-19,7595.6
2022-08-18,7616.7
2022-08-17,7585.4
2022-08-16,7571.4
2022-08-15,7544.3
2022-08-14,7429.8
2022-08-13,7413.2
2022-08-12,7310.0
2022-08-11,7323.8
2022-08-10,7200.7
2022-08-09,7081.0
2022-08-08,7046.7
2022-08-07,6850.6
2022-08-06,6840.2
2022-08-05,6798.0
2022-08-04,6916.1
2022-08-03,7168.1
2022-08-02,7225.7
2022-08-01,7192.2
2022-07-31,7182.8
2022-07-30,7182.8
2022-07-29,7181.6
2022-07-28,7146.7
2022-07-27,7202.5
2022-07-26,6974.0
2022-07-25,6919.5
2022-07-24,6866.7
2022-07-23,6758.2
2022-07-22,7035.8
2022-07-21,7117.6
2022-07-20,6943.8
2022-07-19,6847.2
2022-07-18,6872.8
2022-07-17,6766.7
2022-07-16,6731.8
2022-07-15,6722.3
2022-07-14,6846.8
2022-07-13,6846.3
2022-07-12,6741.8
2022-07-11,6383.3
2022-07-10,6537.5
2022-07-09,6537.5
2022-07-08,6562.5
2022-07-07,6651.8
2022-07-06,6809.3
2022-07-05,6771.6
2022-07-04,6573.6
2022-07-03,6299.0
2022-07-02,6299.0
2022-07-01,6141.8
2022-06-30,6134.4
2022-06-29,6136.1
2022-06-28,6090.4
2022-06-27,6230.0
2022-06-26,6153.1
2022-06-25,6181.7
2022-06-24,6117.4
2022-06-23,6123.0
2022-06-22,6312.2
2022-06-21,6340.0
2022-06-20,6266.6
2022-06-19,6221.4
2022-06-18,6221.4
2022-06-17,6271.7
2022-06-16,6302.6
2022-06-15,6418.3
2022-06-14,6455.0
2022-06-13,6278.0
2022-06-12,5922.6
2022-06-11,5922.6
2022-06-10,6013.0
2022-06-09,6000.0
2022-06-08,6035.0
2022-06-07,5998.4
2022-06-06,5860.6
2022-06-05,5491.7
2022-06-04,5489.1
2022-06-03,5540.0
2022-06-02,5561.2
2022-06-01,5463.7
2022-05-31,5639.6
2022-05-30,5581.8
2022-05-29,5325.0
2022-05-28,5241.5
2022-05-27,5052.1
2022-05-26,5041.7
