delegation_ar,Mode,Superficie_hectare,Nombre_pieds
منزل شاكر,pluvial,106195,2109785
بئر علي,pluvial,60200,1207150
عقارب,pluvial,37720,644712
المحرس,pluvial,31350,581225
الحنشة ,pluvial,35875,707639
الغريبة,pluvial,21745,385855
صفاقس ج,pluvial,1360,26200
العامرة,pluvial,18180,355200
طينة,pluvial,6480,127340
جبنيانة,pluvial,15260,395400
الصخيرة,pluvial,11480,195740
س الدائر,pluvial,3420,60200
س الزيت,pluvial,1640,49340
قرقنة,pluvial,2800,171995
منزل شاكر,irrigué,523,104600
بئر علي,irrigué,435,82600
عقارب,irrigué,884,94600
المحرس,irrigué,755,53155
الحنشة ,irrigué,550,260900
الغريبة,irrigué,15,3000
صفاقس ج,irrigué,153,44095
العامرة,irrigué,780,154300
طينة,irrigué,260,52000
جبنيانة,irrigué,276,84600
الصخيرة,irrigué,2090,416560
س الدائر,irrigué,75,14995
س الزيت,irrigué,75,11000
قرقنة,irrigué,208,52860
