Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,100.0
2025-11-25 21:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,16.7
2025-11-25 20:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,100.0
2025-11-25 20:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,100.0
2025-11-25 19:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,42.9
2025-11-25 19:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,100.0
2025-11-25 18:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,100.0
2025-11-25 18:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,52.7
2025-11-25 17:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,100.0
2025-11-25 17:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,100.0
2025-11-25 16:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,12.4
2025-11-25 16:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.6
2025-11-25 15:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 15:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-25 14:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.8
2025-11-25 14:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.5
2025-11-25 13:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 13:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.9
2025-11-25 12:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-25 12:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 11:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 11:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-25 10:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-25 10:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 09:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-11-25 09:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.5
2025-11-25 08:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.7
2025-11-25 08:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.0
2025-11-25 07:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-11-25 07:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.2
2025-11-25 06:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.9
2025-11-25 06:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.0
2025-11-25 05:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-11-25 05:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.5
2025-11-25 04:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.3
2025-11-25 04:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-11-25 03:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 03:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.2
2025-11-25 02:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.6
2025-11-25 02:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-11-25 01:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.5
2025-11-25 01:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.7
2025-11-25 00:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-11-25 00:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-24 23:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-24 23:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-11-24 22:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.1
2025-11-24 22:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.5
2025-11-24 21:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-11-24 21:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.4
2025-11-24 20:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-11-24 20:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.2
2025-11-24 19:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.2
2025-11-24 19:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-11-24 18:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.0
2025-11-24 18:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.2
2025-11-24 17:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.0
2025-11-24 17:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.5
2025-11-24 16:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.5
2025-11-24 16:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.0
2025-11-24 15:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.2
2025-11-24 15:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.6
2025-11-24 14:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.8
2025-11-24 14:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-11-24 12:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.4
2025-11-24 12:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.1
2025-11-24 11:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.9
2025-11-24 11:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.5
2025-11-24 10:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,6.8
2025-11-24 10:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.4
2025-11-24 09:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.1
2025-11-24 09:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,8.7
2025-11-24 08:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,7.6
2025-11-24 08:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,18.5
2025-11-24 07:00:02,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,31.0
2025-11-24 07:00:02,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,9.7
