Date,Gouvernorat,Superficies
1985,Gafsa,0.0
1985,Béja,2.0
1985,Bizerte,3.0
1986,Zaghouan,0.0
1986,Gafsa,0.0
1986,Bizerte,3.5
1986,Béja,3.5
1987,Gafsa,0.0
1987,Ben Arous,0.1
1987,Ariana,0.2
1987,Kef,0.4
1987,Zaghouan,0.7
1987,Jendouba,1.0
1987,Siliana,1.6
1987,Bizerte,4.7
1987,Béja,5.0
1988,Gafsa,0.0
1988,Nabeul,0.1
1988,Kef,0.2
1988,Zaghouan,0.5
1988,Siliana,0.7
1988,Jendouba,0.8
1988,Ariana,1.8
1988,Bizerte,2.4
1988,Béja,5.1
1989,Gafsa,0.0
1989,Ariana,0.7
1989,Siliana,0.7
1989,Zaghouan,0.8
1989,Jendouba,2.0
1989,Béja,5.0
1989,Bizerte,5.2
1990,Nabeul,0.0
1990,Gafsa,0.0
1990,Jendouba,0.3
1990,Zaghouan,1.0
1990,Ariana,1.2
1990,Siliana,1.2
1990,Béja,5.0
1990,Bizerte,6.9
1991,Gafsa,0.0
1991,Tunis,0.1
1991,Ben Arous,0.1
1991,Jendouba,0.3
1991,Zaghouan,0.4
1991,Nabeul,1.0
1991,Kef,1.0
1991,Siliana,1.0
1991,Ariana,2.5
1991,Béja,4.8
1991,Bizerte,5.3
1992,Gafsa,0.0
1992,Tunis,0.1
1992,Ben Arous,0.2
1992,Kef,0.4
1992,Jendouba,0.5
1992,Zaghouan,0.5
1992,Nabeul,0.8
1992,Ariana,1.5
1992,Siliana,2.0
1992,Béja,4.8
1992,Bizerte,5.0
1993,Gafsa,0.0
1993,Zaghouan,0.1
1993,Ben Arous,0.2
1993,Jendouba,0.4
1993,Nabeul,1.1
1993,Ariana,1.2
1993,Siliana,2.0
1993,Béja,3.0
1993,Bizerte,3.5
1994,Ben Arous,0.0
1994,Gafsa,0.0
1994,Zaghouan,0.2
1994,Jendouba,0.4
1994,Ariana,0.5
1994,Siliana,1.0
1994,Nabeul,1.4
1994,Béja,2.0
1994,Bizerte,3.1
1995,Ben Arous,0.0
1995,Gafsa,0.0
1995,Kef,0.15
1995,Ariana,0.2
1995,Siliana,0.2
1995,Zaghouan,0.2
1995,Jendouba,0.35
1995,Nabeul,0.85
1995,Bizerte,1.45
1995,Béja,2.4
1996,Tunis,0.0
1996,Ben Arous,0.0
1996,Gafsa,0.0
1996,Ariana,0.1
1996,Zaghouan,0.3
1996,Jendouba,0.4
1996,Nabeul,0.8
1996,Siliana,0.9
1996,Béja,1.5
1996,Bizerte,2.1
1997,Ben Arous,0.0
1997,Gafsa,0.0
1997,Kef,0.01
1997,Zaghouan,0.2
1997,Jendouba,0.34
1997,Siliana,0.5
1997,Nabeul,0.8
1997,Ariana,0.85
1997,Bizerte,1.11
1997,Béja,1.63
1998,Ben Arous,0.0
1998,Zaghouan,0.0
1998,Gafsa,0.0
1998,Kef,0.01
1998,Ariana,0.07
1998,Jendouba,0.13
1998,Béja,0.24
1998,Siliana,0.69
1998,Nabeul,0.8
1998,Bizerte,1.37
1999,Gafsa,0.0
1999,Ben Arous,0.01
1999,Siliana,0.04
1999,Jendouba,0.09
1999,Kef,0.22
1999,Ariana,0.31
1999,Zaghouan,0.36
1999,Béja,0.45
1999,Nabeul,0.5
1999,Bizerte,1.68
2000,Gafsa,0.0
2000,Tunis,0.02
2000,Kef,0.02
2000,Siliana,0.04
2000,Ben Arous,0.09
2000,Jendouba,0.11
2000,Zaghouan,0.15
2000,Ariana,0.29
2000,Béja,0.3
2000,Bizerte,0.45
2000,Nabeul,0.6
2001,Ariana,0.0
2001,Ben Arous,0.0
2001,Siliana,0.0
2001,Gafsa,0.0
2001,Tunis,0.01
2001,Kef,0.03
2001,Manouba,0.05
2001,Jendouba,0.2
2001,Béja,0.25
2001,Zaghouan,0.45
2001,Bizerte,0.5
2001,Nabeul,0.6
2002,Gafsa,0.0
2002,Tunis,0.01
2002,Kef,0.02
2002,Siliana,0.02
2002,Ben Arous,0.03
2002,Ariana,0.1
2002,Béja,0.12
2002,Jendouba,0.12
2002,Zaghouan,0.19
2002,Nabeul,0.3
2002,Bizerte,0.68
2003,Ariana,0.0
2003,Ben Arous,0.0
2003,Gafsa,0.0
2003,Siliana,0.04
2003,Kef,0.07
2003,Jendouba,0.15
2003,Zaghouan,0.21
2003,Béja,0.25
2003,Nabeul,0.4
2003,Bizerte,1.99
2004,Ariana,0.0
2004,Zaghouan,0.0
2004,Gafsa,0.0
2004,Tunis,0.01
2004,Ben Arous,0.01
2004,Siliana,0.03
2004,Kef,0.07
2004,Jendouba,0.12
2004,Béja,0.3
2004,Nabeul,1.0
2004,Bizerte,3.53
2005,Ben Arous,0.0
2005,Jendouba,0.0
2005,Gafsa,0.0
2005,Tunis,0.02
2005,Ariana,0.03
2005,Zaghouan,0.06
2005,Kef,0.07
2005,Siliana,0.07
2005,Manouba,0.1
2005,Béja,0.3
2005,Nabeul,0.8
2005,Bizerte,1.2
2006,Ariana,0.01
2006,Ben Arous,0.01
2006,Manouba,0.05
2006,Jendouba,0.06
2006,Kef,0.07
2006,Siliana,0.17
2006,Zaghouan,0.21
2006,Béja,0.25
2006,Nabeul,0.9
2006,Bizerte,1.45
2007,Ben Arous,0.03
2007,Manouba,0.05
2007,Jendouba,0.05
2007,Ariana,0.12
2007,Siliana,0.18
2007,Kef,0.21
2007,Zaghouan,0.49
2007,Béja,0.9
2007,Nabeul,1.05
2007,Bizerte,2.22
2008,Gafsa,0.0
2008,Kef,0.07
2008,Ben Arous,0.08
2008,Manouba,0.09
2008,Jendouba,0.1
2008,Siliana,0.13
2008,Ariana,0.21
2008,Zaghouan,0.58
2008,Béja,1.2
2008,Nabeul,1.7
2008,Bizerte,3.2
2009,Gafsa,0.0
2009,Ariana,0.06
2009,Kef,0.15
2009,Manouba,0.23
2009,Ben Arous,0.24
2009,Jendouba,0.6
2009,Zaghouan,0.76
2009,Siliana,0.8
2009,Béja,1.8
2009,Nabeul,2.0
2009,Bizerte,4.36
2010,Gafsa,0.0
2010,Kef,0.05
2010,Manouba,0.08
2010,Jendouba,0.1
2010,Ben Arous,0.24
2010,Ariana,0.5
2010,Siliana,0.6
2010,Zaghouan,0.76
2010,Béja,1.7
2010,Nabeul,2.5
2010,Bizerte,4.5
2011,Gafsa,0.0
2011,Tunis,0.03
2011,Ben Arous,0.12
2011,Manouba,0.22
2011,Kef,0.25
2011,Ariana,0.3
2011,Jendouba,0.65
2011,Siliana,1.0
2011,Zaghouan,1.0
2011,Béja,1.9
2011,Bizerte,2.0
2011,Nabeul,3.0
2012,Zaghouan,0.0
2012,Gafsa,0.0
2012,Tunis,0.02
2012,Kef,0.15
2012,Ben Arous,0.17
2012,Ariana,0.2
2012,Manouba,0.4
2012,Jendouba,0.5
2012,Siliana,1.0
2012,Béja,2.4
2012,Nabeul,2.9
2012,Bizerte,6.38
2013,Jendouba,0.13
2013,Ben Arous,0.25
2013,Manouba,0.3
2013,Kef,0.45
2013,Ariana,0.51
2013,Siliana,0.63
2013,Béja,2.3
2013,Nabeul,3.0
2013,Bizerte,9.28
2014,Kef,0.11
2014,Jendouba,0.14
2014,Ariana,0.3
2014,Manouba,0.3
2014,Zaghouan,0.33
2014,Ben Arous,0.34
2014,Siliana,0.7
2014,Béja,2.2
2014,Nabeul,2.48
2014,Bizerte,8.28
2015,Tunis,0.01
2015,Gafsa,0.05
2015,Ben Arous,0.23
