Date,nom_ar,nom_fr,unite,valeur
2025-11-26 08:00:00,Solar Panel,Solar Panel,mV,6799.0
2025-11-26 08:00:00,Battery,Battery,mV,6528.0
2025-11-26 07:00:00,Solar Panel,Solar Panel,mV,6764.0
2025-11-26 07:00:00,Battery,Battery,mV,6502.0
2025-11-26 06:00:00,Battery,Battery,mV,6461.0
2025-11-26 06:00:00,Solar Panel,Solar Panel,mV,66.0
2025-11-26 05:00:00,Battery,Battery,mV,6470.0
2025-11-26 05:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 04:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 04:00:00,Battery,Battery,mV,6481.0
2025-11-26 03:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 03:00:00,Battery,Battery,mV,6493.0
2025-11-26 02:00:00,Battery,Battery,mV,6497.0
2025-11-26 02:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 01:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 01:00:00,Battery,Battery,mV,6506.0
2025-11-26 00:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 00:00:00,Battery,Battery,mV,6510.0
2025-11-25 23:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 23:00:00,Battery,Battery,mV,6513.0
2025-11-25 22:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 22:00:00,Battery,Battery,mV,6515.0
2025-11-25 21:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 21:00:00,Battery,Battery,mV,6522.0
2025-11-25 20:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 20:00:00,Battery,Battery,mV,6524.0
2025-11-25 19:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 19:00:00,Battery,Battery,mV,6528.0
2025-11-25 18:00:00,Battery,Battery,mV,6533.0
2025-11-25 18:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 17:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 17:00:00,Battery,Battery,mV,6577.0
2025-11-25 16:00:00,Battery,Battery,mV,6666.0
2025-11-25 16:00:00,Solar Panel,Solar Panel,mV,1855.0
2025-11-25 15:00:00,Battery,Battery,mV,6795.0
2025-11-25 15:00:00,Solar Panel,Solar Panel,mV,7071.0
2025-11-25 14:00:00,Solar Panel,Solar Panel,mV,10518.0
2025-11-25 14:00:00,Battery,Battery,mV,6826.0
2025-11-25 13:00:00,Solar Panel,Solar Panel,mV,10569.0
2025-11-25 13:00:00,Battery,Battery,mV,6826.0
2025-11-25 12:00:00,Battery,Battery,mV,6826.0
2025-11-25 12:00:00,Solar Panel,Solar Panel,mV,10640.0
2025-11-25 11:00:00,Battery,Battery,mV,6822.0
2025-11-25 11:00:00,Solar Panel,Solar Panel,mV,10175.0
2025-11-25 10:00:00,Battery,Battery,mV,6806.0
2025-11-25 10:00:00,Solar Panel,Solar Panel,mV,8292.0
2025-11-25 09:00:00,Solar Panel,Solar Panel,mV,8005.0
2025-11-25 09:00:00,Battery,Battery,mV,6809.0
2025-11-25 08:00:00,Solar Panel,Solar Panel,mV,6965.0
2025-11-25 08:00:00,Battery,Battery,mV,6684.0
2025-11-25 07:00:00,Solar Panel,Solar Panel,mV,6752.0
2025-11-25 07:00:00,Battery,Battery,mV,6504.0
2025-11-25 06:00:00,Solar Panel,Solar Panel,mV,732.0
2025-11-25 06:00:00,Battery,Battery,mV,6475.0
2025-11-25 05:00:00,Battery,Battery,mV,6484.0
2025-11-25 05:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 04:00:00,Battery,Battery,mV,6497.0
2025-11-25 04:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 03:00:00,Battery,Battery,mV,6506.0
2025-11-25 03:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 02:00:00,Battery,Battery,mV,6510.0
2025-11-25 02:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 01:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 01:00:00,Battery,Battery,mV,6513.0
2025-11-25 00:00:00,Battery,Battery,mV,6510.0
2025-11-25 00:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 23:00:00,Battery,Battery,mV,6510.0
2025-11-24 23:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 22:00:00,Battery,Battery,mV,6513.0
2025-11-24 22:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 21:00:00,Battery,Battery,mV,6515.0
2025-11-24 21:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 20:00:00,Battery,Battery,mV,6515.0
2025-11-24 20:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 19:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 19:00:00,Battery,Battery,mV,6510.0
2025-11-24 18:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 18:00:00,Battery,Battery,mV,6550.0
2025-11-24 17:00:00,Battery,Battery,mV,6648.0
2025-11-24 17:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 16:00:00,Solar Panel,Solar Panel,mV,6992.0
2025-11-24 16:00:00,Battery,Battery,mV,6773.0
2025-11-24 15:00:00,Solar Panel,Solar Panel,mV,8194.0
2025-11-24 15:00:00,Battery,Battery,mV,6809.0
2025-11-24 14:00:00,Solar Panel,Solar Panel,mV,10203.0
2025-11-24 14:00:00,Battery,Battery,mV,6813.0
2025-11-24 13:00:00,Battery,Battery,mV,6813.0
2025-11-24 13:00:00,Solar Panel,Solar Panel,mV,9750.0
2025-11-24 12:00:00,Battery,Battery,mV,6826.0
2025-11-24 12:00:00,Solar Panel,Solar Panel,mV,10751.0
2025-11-24 11:00:00,Battery,Battery,mV,6818.0
2025-11-24 11:00:00,Solar Panel,Solar Panel,mV,10349.0
2025-11-24 10:00:00,Solar Panel,Solar Panel,mV,9143.0
2025-11-24 10:00:00,Battery,Battery,mV,6815.0
2025-11-24 09:00:00,Solar Panel,Solar Panel,mV,8198.0
2025-11-24 09:00:00,Battery,Battery,mV,6804.0
2025-11-24 08:00:00,Solar Panel,Solar Panel,mV,7032.0
2025-11-24 08:00:00,Battery,Battery,mV,6731.0
2025-11-24 07:00:00,Battery,Battery,mV,6475.0
2025-11-24 07:00:00,Solar Panel,Solar Panel,mV,6740.0
2025-11-24 06:00:00,Solar Panel,Solar Panel,mV,1910.0
2025-11-24 06:00:00,Battery,Battery,mV,6450.0
2025-11-24 05:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 05:00:00,Battery,Battery,mV,6461.0
2025-11-24 04:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 04:00:00,Battery,Battery,mV,6470.0
2025-11-24 03:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 03:00:00,Battery,Battery,mV,6486.0
2025-11-24 02:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 02:00:00,Battery,Battery,mV,6495.0
2025-11-24 01:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-24 01:00:00,Battery,Battery,mV,6504.0
2025-11-24 00:00:00,Battery,Battery,mV,6506.0
2025-11-24 00:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 23:00:00,Battery,Battery,mV,6513.0
2025-11-23 23:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 22:00:00,Battery,Battery,mV,6510.0
2025-11-23 22:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 21:00:00,Battery,Battery,mV,6510.0
2025-11-23 21:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 20:00:00,Battery,Battery,mV,6515.0
2025-11-23 20:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 19:00:00,Battery,Battery,mV,6517.0
2025-11-23 19:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 18:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 18:00:00,Battery,Battery,mV,6546.0
2025-11-23 17:00:00,Battery,Battery,mV,6631.0
2025-11-23 17:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 16:00:00,Solar Panel,Solar Panel,mV,6929.0
2025-11-23 16:00:00,Battery,Battery,mV,6751.0
2025-11-23 15:00:00,Battery,Battery,mV,6809.0
2025-11-23 15:00:00,Solar Panel,Solar Panel,mV,10053.0
2025-11-23 14:00:00,Battery,Battery,mV,6826.0
2025-11-23 14:00:00,Solar Panel,Solar Panel,mV,10971.0
2025-11-23 13:00:00,Solar Panel,Solar Panel,mV,10924.0
2025-11-23 13:00:00,Battery,Battery,mV,6822.0
2025-11-23 12:00:00,Solar Panel,Solar Panel,mV,10680.0
2025-11-23 12:00:00,Battery,Battery,mV,6822.0
2025-11-23 11:00:00,Solar Panel,Solar Panel,mV,10735.0
2025-11-23 11:00:00,Battery,Battery,mV,6822.0
2025-11-23 10:00:00,Battery,Battery,mV,6766.0
2025-11-23 10:00:00,Solar Panel,Solar Panel,mV,7047.0
2025-11-23 09:00:00,Solar Panel,Solar Panel,mV,7024.0
2025-11-23 09:00:00,Battery,Battery,mV,6737.0
2025-11-23 08:00:00,Battery,Battery,mV,6577.0
2025-11-23 08:00:00,Solar Panel,Solar Panel,mV,6850.0
2025-11-23 07:00:00,Battery,Battery,mV,6502.0
2025-11-23 07:00:00,Solar Panel,Solar Panel,mV,6760.0
2025-11-23 06:00:00,Solar Panel,Solar Panel,mV,906.0
2025-11-23 06:00:00,Battery,Battery,mV,6475.0
2025-11-23 05:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 05:00:00,Battery,Battery,mV,6486.0
2025-11-23 04:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 04:00:00,Battery,Battery,mV,6497.0
2025-11-23 03:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 03:00:00,Battery,Battery,mV,6506.0
2025-11-23 02:00:00,Battery,Battery,mV,6513.0
2025-11-23 02:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 01:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 01:00:00,Battery,Battery,mV,6517.0
2025-11-23 00:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-23 00:00:00,Battery,Battery,mV,6517.0
2025-11-22 23:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 23:00:00,Battery,Battery,mV,6519.0
2025-11-22 22:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 22:00:00,Battery,Battery,mV,6522.0
2025-11-22 21:00:00,Battery,Battery,mV,6524.0
2025-11-22 21:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 20:00:00,Battery,Battery,mV,6524.0
2025-11-22 20:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 19:00:00,Battery,Battery,mV,6522.0
2025-11-22 19:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 18:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 18:00:00,Battery,Battery,mV,6550.0
2025-11-22 17:00:00,Battery,Battery,mV,6626.0
2025-11-22 17:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 16:00:00,Battery,Battery,mV,6742.0
2025-11-22 16:00:00,Solar Panel,Solar Panel,mV,6929.0
2025-11-22 15:00:00,Battery,Battery,mV,6804.0
2025-11-22 15:00:00,Solar Panel,Solar Panel,mV,8820.0
2025-11-22 14:00:00,Battery,Battery,mV,6822.0
2025-11-22 14:00:00,Solar Panel,Solar Panel,mV,11089.0
2025-11-22 13:00:00,Battery,Battery,mV,6822.0
2025-11-22 13:00:00,Solar Panel,Solar Panel,mV,11050.0
2025-11-22 12:00:00,Battery,Battery,mV,6822.0
2025-11-22 12:00:00,Solar Panel,Solar Panel,mV,11058.0
2025-11-22 11:00:00,Battery,Battery,mV,6824.0
2025-11-22 11:00:00,Solar Panel,Solar Panel,mV,11026.0
2025-11-22 10:00:00,Solar Panel,Solar Panel,mV,7827.0
2025-11-22 10:00:00,Battery,Battery,mV,6804.0
2025-11-22 09:00:00,Solar Panel,Solar Panel,mV,7000.0
2025-11-22 09:00:00,Battery,Battery,mV,6731.0
2025-11-22 08:00:00,Battery,Battery,mV,6568.0
2025-11-22 08:00:00,Solar Panel,Solar Panel,mV,6831.0
2025-11-22 07:00:00,Battery,Battery,mV,6495.0
2025-11-22 07:00:00,Solar Panel,Solar Panel,mV,6752.0
2025-11-22 06:00:00,Battery,Battery,mV,6470.0
2025-11-22 06:00:00,Solar Panel,Solar Panel,mV,1193.0
2025-11-22 05:00:00,Battery,Battery,mV,6484.0
2025-11-22 05:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 04:00:00,Battery,Battery,mV,6493.0
2025-11-22 04:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 03:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 03:00:00,Battery,Battery,mV,6497.0
2025-11-22 02:00:00,Battery,Battery,mV,6506.0
2025-11-22 02:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 01:00:00,Battery,Battery,mV,6513.0
2025-11-22 01:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-22 00:00:00,Battery,Battery,mV,6513.0
2025-11-22 00:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-21 23:00:00,Battery,Battery,mV,6515.0
2025-11-21 23:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-21 22:00:00,Battery,Battery,mV,6519.0
2025-11-21 22:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-21 21:00:00,Battery,Battery,mV,6524.0
2025-11-21 21:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-21 20:00:00,Battery,Battery,mV,6528.0
2025-11-21 20:00:00,Solar Panel,Solar Panel,mV,0.0
