societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,164
المتوسطية,أسماك مثلجة,399
أزابسكا,قشريات مجمدة,88320
أزابسكا,رخويات مجمدة,22050
فيشر,قشريات مجمدة,"2445,4"
فيشر,رخويات مثلجة,180
فيشر,رخويات مجمدة,1502
فيشر,أسماك مثلجة,"1935,5"
سليماكس,أسماك مثلجة,"3346,5"
ديدون ماري,قشريات مجمدة,300
ديدون ماري,رخويات مثلجة,20
ديدون ماري,رخويات مجمدة,218
ديدون ماري,رخويات حية,154
ماديترنيان باسكا, نصف مصبرات سمك أزرق,15654
ماريستار,قشريات مثلجة,205
ماريستار,أسماك مثلجة,2686
لابلان,قشريات مجمدة,16506
موليس دوس,رخويات حية,"7891,6"
