date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-10-21,clémentine,0.8,3500,3500,4500,4500
2022-10-21,maltaise,0.0,0,0,0,0
2022-10-21,thomson,0.0,0,0,0,0
2022-10-21,pommes ,4.1,1700,4000,2500,6000
2022-10-20,clémentine,0.7,3000,3500,4000,4500
2022-10-20,maltaise,0.0,0,0,0,0
2022-10-20,thomson,0.0,0,0,0,0
2022-10-20,pommes ,5.3,1700,4000,2500,6000
2022-10-19,clémentine,0.7,3500,3500,4500,4500
2022-10-19,maltaise,0.0,0,0,0,0
2022-10-19,thomson,0.0,0,0,0,0
2022-10-19,pommes ,4.3,1500,4000,2500,6000
2022-10-18,pommes ,3.7,1000,4270,2000,6000
2022-10-18,clémentine,0.0,0,0,0,0
2022-10-18,maltaise,0.0,0,0,0,0
2022-10-18,thomson,0.0,0,0,0,0
2022-10-13,pommes ,5.4,600,4300,1500,5500
2022-10-13,clémentine,0.0,0,0,0,0
2022-10-13,maltaise,0.0,0,0,0,0
2022-10-13,thomson,0.0,0,0,0,0
2022-10-12,pommes ,6.1,400,4000,1000,5500
2022-10-12,clémentine,0.0,0,0,0,0
2022-10-12,maltaise,0.0,0,0,0,0
2022-10-12,thomson,0.0,0,0,0,0
2022-10-11,thomson,0.0,0,0,0,0
2022-10-11,maltaise,0.0,0,0,0,0
2022-10-11,clémentine,0.0,0,0,0,0
2022-10-11,pommes ,7.7,400,4000,1000,6000
2022-10-10,pommes ,9.6,400,4000,1000,6000
2022-10-10,clémentine,0.0,0,0,0,0
2022-10-10,maltaise,0.0,0,0,0,0
2022-10-10,thomson,0.0,0,0,0,0
2022-10-07,pommes ,8.5,1200,5000,2000,6500
2022-10-07,clémentine,0.0,0,0,0,0
2022-10-07,maltaise,0.0,0,0,0,0
2022-10-07,thomson,0.0,0,0,0,0
2022-10-06,thomson,0.0,0,0,0,0
2022-10-06,maltaise,0.0,0,0,0,0
2022-10-06,clémentine,0.0,0,0,0,0
2022-10-06,pommes ,3.7,2000,4600,2500,6000
2022-10-05,pommes ,4.7,1500,4300,2200,6000
2022-10-05,clémentine,0.0,0,0,0,0
2022-10-05,maltaise,0.0,0,0,0,0
2022-10-05,thomson,0.0,0,0,0,0
2022-10-04,pommes ,4.3,1000,4200,2000,6000
2022-10-04,clémentine,0.0,0,0,0,0
2022-10-04,maltaise,0.0,0,0,0,0
2022-10-04,thomson,0.0,0,0,0,0
2022-10-03,pommes ,5.5,700,4000,1500,5000
2022-10-03,clémentine,0.0,0,0,0,0
2022-10-03,maltaise,0.0,0,0,0,0
2022-10-03,thomson,0.0,0,0,0,0
2022-09-30,pommes ,5.5,700,4000,1500,5000
2022-09-30,clémentine,0.0,0,0,0,0
2022-09-30,maltaise,0.0,0,0,0,0
2022-09-30,thomson,0.0,0,0,0,0
2022-09-29,pommes ,2.2,500,3800,1000,5000
2022-09-29,clémentine,0.0,0,0,0,0
2022-09-29,maltaise,0.0,0,0,0,0
2022-09-29,thomson,0.0,0,0,0,0
2022-09-28,pommes ,6.3,530,4500,1000,6000
2022-09-28,clémentine,0.0,0,0,0,0
2022-09-28,maltaise,0.0,0,0,0,0
2022-09-28,thomson,0.0,0,0,0,0
2022-09-27,thomson,0.0,0,0,0,0
2022-09-27,maltaise,0.0,0,0,0,0
2022-09-27,clémentine,0.0,0,0,0,0
2022-09-27,pommes ,5.6,500,4500,1000,6000
2022-09-26,pommes ,7.5,500,4500,1000,6000
2022-09-26,clémentine,0.0,0,0,0,0
2022-09-26,maltaise,0.0,0,0,0,0
2022-09-26,thomson,0.0,0,0,0,0
2022-09-23,pommes ,8.5,600,3800,1000,4800
2022-09-23,clémentine,0.0,0,0,0,0
2022-09-23,maltaise,0.0,0,0,0,0
2022-09-23,thomson,0.0,0,0,0,0
2022-09-22,pommes ,5.6,480,3500,1000,4500
2022-09-22,clémentine,0.0,0,0,0,0
2022-09-22,maltaise,0.0,0,0,0,0
2022-09-22,thomson,0.0,0,0,0,0
2022-09-21,pommes ,4.6,800,3500,1500,4500
2022-09-21,clémentine,0.0,0,0,0,0
2022-09-21,maltaise,0.0,0,0,0,0
2022-09-21,thomson,0.0,0,0,0,0
2022-09-20,pommes ,4.9,550,4000,1500,5500
2022-09-20,clémentine,0.0,0,0,0,0
2022-09-20,maltaise,0.0,0,0,0,0
2022-09-20,thomson,0.0,0,0,0,0
2022-09-19,pommes ,4.6,500,4000,1500,5500
2022-09-19,clémentine,0.0,0,0,0,0
2022-09-19,maltaise,0.0,0,0,0,0
2022-09-19,thomson,0.0,0,0,0,0
2022-09-16,pommes ,6.6,400,3500,1000,5000
2022-09-16,clémentine,0.0,0,0,0,0
2022-09-16,maltaise,0.0,0,0,0,0
2022-09-16,thomson,0.0,0,0,0,0
2022-09-15,pommes ,4.7,1200,2500,2000,4500
2022-09-15,clémentine,0.0,0,0,0,0
2022-09-15,maltaise,0.0,0,0,0,0
2022-09-15,thomson,0.0,0,0,0,0
2022-09-13,pommes ,5.5,1000,3000,2000,4800
2022-09-13,clémentine,0.0,0,0,0,0
2022-09-13,maltaise,0.0,0,0,0,0
2022-09-13,thomson,0.0,0,0,0,0
2022-09-12,pommes ,10.4,500,3000,1000,5000
2022-09-12,clémentine,0.0,0,0,0,0
2022-09-12,maltaise,0.0,0,0,0,0
2022-09-12,thomson,0.0,0,0,0,0
2022-09-09,pommes ,8.0,1500,2800,2500,5000
2022-09-09,clémentine,0.0,0,0,0,0
2022-09-09,maltaise,0.0,0,0,0,0
2022-09-09,thomson,0.0,0,0,0,0
2022-09-08,pommes ,7.5,1000,2800,2000,4500
2022-09-08,clémentine,0.0,0,0,0,0
2022-09-08,maltaise,0.0,0,0,0,0
2022-09-08,thomson,0.0,0,0,0,0
2022-09-07,pommes ,5.5,1000,3500,2000,4000
2022-09-07,clémentine,0.0,0,0,0,0
2022-09-07,maltaise,0.0,0,0,0,0
2022-09-07,thomson,0.0,0,0,0,0
2022-09-06,pommes ,4.6,1300,3500,2500,4500
2022-09-06,clémentine,0.0,0,0,0,0
2022-09-06,maltaise,0.0,0,0,0,0
2022-09-06,thomson,0.0,0,0,0,0
2022-09-05,pommes ,7.0,1500,3500,2500,4500
2022-09-05,clémentine,0.0,0,0,0,0
2022-09-05,maltaise,0.0,0,0,0,0
2022-09-05,thomson,0.0,0,0,0,0
2022-08-12,pommes ,7.5,2000,3300,3000,5500
2022-08-12,clémentine,0.0,0,0,0,0
2022-08-12,maltaise,0.0,0,0,0,0
2022-08-12,thomson,0.0,0,0,0,0
2022-08-11,pommes ,5.0,2000,3500,3000,5500
2022-08-11,clémentine,0.0,0,0,0,0
2022-08-11,maltaise,0.0,0,0,0,0
2022-08-11,thomson,0.0,0,0,0,0
2022-08-10,pommes ,3.5,2200,3200,3500,5500
2022-08-10,clémentine,0.0,0,0,0,0
2022-08-10,maltaise,0.0,0,0,0,0
2022-08-10,thomson,0.0,0,0,0,0
2022-08-09,pommes ,4.0,2000,2800,3000,3500
2022-08-09,clémentine,0.0,0,0,0,0
2022-08-09,maltaise,0.0,0,0,0,0
2022-08-09,thomson,0.0,0,0,0,0
2022-08-08,pommes ,5.9,1800,2800,2500,3500
2022-08-08,clémentine,0.0,0,0,0,0
2022-08-08,maltaise,0.0,0,0,0,0
2022-08-08,thomson,0.0,0,0,0,0
2022-08-05,pommes ,5.3,2000,3000,2700,4000
2022-08-05,clémentine,0.0,0,0,0,0
2022-08-05,maltaise,0.0,0,0,0,0
2022-08-05,thomson,0.0,0,0,0,0
2022-08-04,pommes ,3.5,2200,2800,3000,4000
2022-08-04,clémentine,0.0,0,0,0,0
2022-08-04,maltaise,0.0,0,0,0,0
2022-08-04,thomson,0.0,0,0,0,0
2022-08-03,pommes ,3.2,1700,2500,2500,3500
2022-08-03,clémentine,0.0,0,0,0,0
2022-08-03,maltaise,0.0,0,0,0,0
2022-08-03,thomson,0.0,0,0,0,0
2022-08-02,pommes ,4.2,1500,2500,2500,3500
2022-08-02,clémentine,0.0,0,0,0,0
2022-08-02,maltaise,0.0,0,0,0,0
2022-08-02,thomson,0.0,0,0,0,0
2022-08-01,pommes ,3.6,1500,2800,2500,4000
2022-08-01,clémentine,0.0,0,0,0,0
2022-08-01,maltaise,0.0,0,0,0,0
2022-08-01,thomson,0.0,0,0,0,0
2022-07-29,thomson,0.0,0,0,0,0
2022-07-29,maltaise,0.0,0,0,0,0
2022-07-29,clémentine,0.0,0,0,0,0
2022-07-29,pommes ,7.7,2000,3000,3500,4000
2022-07-28,thomson,0.0,0,0,0,0
2022-07-28,maltaise,0.0,0,0,0,0
2022-07-28,clémentine,0.0,0,0,0,0
2022-07-28,pommes ,4.4,1500,3000,2000,4000
2022-07-27,thomson,0.0,0,0,0,0
2022-07-27,maltaise,0.0,0,0,0,0
2022-07-27,clémentine,0.0,0,0,0,0
2022-07-27,pommes ,7.0,1100,2500,2000,3500
2022-07-26,thomson,0.0,0,0,0,0
2022-07-26,maltaise,0.0,0,0,0,0
2022-07-26,clémentine,0.0,0,0,0,0
2022-07-26,pommes ,7.0,1100,2500,2000,3500
2022-07-22,thomson,0.0,0,0,0,0
2022-07-22,maltaise,0.0,0,0,0,0
2022-07-22,clémentine,0.0,0,0,0,0
2022-07-22,pommes ,6.5,1500,2500,2500,3500
2022-07-20,thomson,0.0,0,0,0,0
2022-07-20,maltaise,0.0,0,0,0,0
2022-07-20,clémentine,0.0,0,0,0,0
2022-07-20,pommes ,6.0,1000,2500,1000,3500
2022-07-19,thomson,0.0,0,0,0,0
2022-07-19,maltaise,0.0,0,0,0,0
2022-07-19,clémentine,0.0,0,0,0,0
2022-07-19,pommes ,4.4,1500,2800,2000,3500
2022-07-18,thomson,0.0,0,0,0,0
2022-07-18,maltaise,0.0,0,0,0,0
2022-07-18,clémentine,0.0,0,0,0,0
2022-07-18,pommes ,6.0,1000,2400,2000,3500
2022-07-15,thomson,0.0,0,0,0,0
2022-07-15,maltaise,0.0,0,0,0,0
2022-07-15,clémentine,0.0,0,0,0,0
2022-07-15,pommes ,4.5,1500,2000,2000,3000
2022-07-14,thomson,0.0,0,0,0,0
2022-07-14,maltaise,0.0,0,0,0,0
2022-07-14,clémentine,0.0,0,0,0,0
2022-07-14,pommes ,3.0,2000,2700,2500,3500
2022-07-13,thomson,0.0,0,0,0,0
2022-07-13,maltaise,0.0,0,0,0,0
2022-07-13,clémentine,0.0,0,0,0,0
2022-07-13,pommes ,4.5,1300,2800,2000,3700
2022-07-12,thomson,0.0,0,0,0,0
2022-07-12,maltaise,0.0,0,0,0,0
2022-07-12,clémentine,0.0,0,0,0,0
2022-07-12,pommes ,2.8,1500,3000,2500,4000
2022-07-11,thomson,0.0,0,0,0,0
2022-07-11,maltaise,0.0,0,0,0,0
2022-07-11,clémentine,0.0,0,0,0,0
2022-07-11,pommes ,1.5,2000,2500,3500,4000
2022-07-08,thomson,0.0,0,0,0,0
2022-07-08,maltaise,0.0,0,0,0,0
2022-07-08,clémentine,0.0,0,0,0,0
2022-07-08,pommes ,7.9,2500,3000,3000,4500
2022-07-07,thomson,0.0,0,0,0,0
2022-07-07,maltaise,0.0,0,0,0,0
2022-07-07,clémentine,0.0,0,0,0,0
2022-07-07,pommes ,7.8,2000,3000,2500,4000
2022-07-06,thomson,0.0,0,0,0,0
2022-07-06,maltaise,0.0,0,0,0,0
2022-07-06,clémentine,0.0,0,0,0,0
2022-07-06,pommes ,5.5,1500,3000,2500,4000
2022-07-05,thomson,0.0,0,0,0,0
2022-07-05,maltaise,0.0,0,0,0,0
2022-07-05,clémentine,0.0,0,0,0,0
2022-07-05,pommes ,2.7,2300,3000,3000,4000
2022-07-01,thomson,0.0,0,0,0,0
2022-07-01,maltaise,0.0,0,0,0,0
2022-07-01,clémentine,0.0,0,0,0,0
2022-07-01,pommes ,5.7,1000,1800,2000,2500
2022-06-30,thomson,0.0,0,0,0,0
2022-06-30,maltaise,0.0,0,0,0,0
2022-06-30,clémentine,0.0,0,0,0,0
2022-06-30,pommes ,3.4,1500,2000,2000,3000
2022-06-29,thomson,0.0,0,0,0,0
2022-06-29,maltaise,0.0,0,0,0,0
2022-06-29,clémentine,0.0,0,0,0,0
2022-06-29,pommes ,3.4,1200,2200,2000,3000
2022-06-28,thomson,0.0,0,0,0,0
2022-06-28,maltaise,0.0,0,0,0,0
2022-06-28,clémentine,0.0,0,0,0,0
2022-06-28,pommes ,4.0,1000,2500,2000,3000
2022-06-27,thomson,0.0,0,0,0,0
2022-06-27,maltaise,0.0,0,0,0,0
2022-06-27,clémentine,0.0,0,0,0,0
2022-06-27,pommes ,3.7,1300,2300,2000,3000
2022-06-24,thomson,0.0,0,0,0,0
2022-06-24,maltaise,0.0,0,0,0,0
