Date,Gouvernorat,Superficies
1980,Monastir,1.6
1980,Gabès,2.9
1980,Tunis,3.9
1980,Gafsa,8.4
1980,Bizerte,11.5
1980,Sfax,13.4
1980,Jendouba,15.3
1980,Béja,15.7
1980,Mahdia,16.0
1980,Sousse,16.4
1980,Nabeul,18.5
1980,Medenine,20.0
1980,Sidi Bouzid,33.4
1980,Siliana,34.5
1980,Zaghouan,41.4
1980,Kairouan,46.0
1980,Kef,46.5
1980,Kasserine,67.6
1981,Tunis,2.6
1981,Monastir,5.0
1981,Gafsa,8.4
1981,Bizerte,10.5
1981,Sousse,12.1
1981,Béja,12.3
1981,Jendouba,16.0
1981,Nabeul,16.4
1981,Sidi Bouzid,22.5
1981,Siliana,25.6
1981,Sfax,26.1
1981,Zaghouan,35.1
1981,Mahdia,37.7
1981,Gabès,40.7
1981,Kef,55.1
1981,Kasserine,60.7
1981,Kairouan,63.6
1981,Medenine,78.5
1982,Gabès,1.1
1982,Sidi Bouzid,1.9
1982,Monastir,4.2
1982,Gafsa,5.1
1982,Kébili,5.1
1982,Tunis,7.0
1982,Sousse,11.6
1982,Sfax,13.4
1982,Bizerte,14.1
1982,Béja,19.3
1982,Jendouba,20.0
1982,Nabeul,22.8
1982,Zaghouan,35.1
1982,Mahdia,41.4
1982,Medenine,41.4
1982,Tatouine,42.4
1982,Siliana,43.5
1982,Kef,54.7
1982,Kasserine,63.7
1982,Kairouan,83.4
1983,Tozeur,0.1
1983,Kébili,5.1
1983,Tunis,5.5
1983,Monastir,10.2
1983,Gafsa,12.8
1983,Bizerte,15.0
1983,Jendouba,17.0
1983,Nabeul,17.5
1983,Béja,18.4
1983,Sousse,20.8
1983,Zaghouan,37.1
1983,Siliana,38.1
1983,Medenine,41.4
1983,Tatouine,42.4
1983,Gabès,49.0
1983,Sidi Bouzid,53.8
1983,Mahdia,55.1
1983,Kasserine,59.0
1983,Sfax,63.0
1983,Kef,68.1
1983,Kairouan,84.2
1984,Gabès,4.7
1984,Monastir,5.5
1984,Tunis,8.8
1984,Gafsa,12.0
1984,Bizerte,15.2
1984,Tatouine,18.9
1984,Jendouba,19.0
1984,Nabeul,19.1
1984,Medenine,19.5
1984,Sousse,21.2
1984,Béja,22.2
1984,Sidi Bouzid,30.0
1984,Sfax,37.0
1984,Mahdia,44.4
1984,Siliana,45.7
1984,Zaghouan,49.0
1984,Kairouan,60.5
1984,Kasserine,70.3
1984,Kef,76.2
1985,Tozeur,0.1
1985,Tunis,1.0
1985,Ben Arous,2.2
1985,Bizerte,12.0
1985,Monastir,12.2
1985,Ariana,15.8
1985,Jendouba,18.0
1985,Gafsa,20.9
1985,Nabeul,21.4
1985,Sousse,25.7
1985,Béja,28.1
1985,Zaghouan,31.0
1985,Siliana,39.6
1985,Mahdia,44.7
1985,Sidi Bouzid,61.0
1985,Medenine,62.7
1985,Gabès,63.0
1985,Tatouine,67.0
1985,Sfax,67.3
1985,Kef,81.3
1985,Kasserine,85.7
1985,Kairouan,93.8
1986,Tunis,0.9
1986,Gabès,1.1
1986,Ben Arous,1.7
1986,Monastir,4.4
1986,Ariana,5.2
1986,Gafsa,12.5
1986,Sousse,12.7
1986,Sidi Bouzid,14.7
1986,Bizerte,16.2
1986,Nabeul,18.0
1986,Jendouba,19.2
1986,Medenine,20.5
1986,Mahdia,21.7
1986,Béja,22.3
1986,Zaghouan,24.2
1986,Sfax,25.0
1986,Siliana,36.7
1986,Kairouan,43.8
1986,Kef,66.4
1986,Kasserine,74.5
1987,Tunis,1.2
1987,Ben Arous,3.0
1987,Monastir,6.3
1987,Ariana,6.7
1987,Bizerte,10.0
1987,Gafsa,18.0
1987,Jendouba,18.5
1987,Béja,24.7
1987,Sousse,25.8
1987,Nabeul,26.5
1987,Zaghouan,31.5
1987,Gabès,35.0
1987,Medenine,41.4
1987,Sidi Bouzid,41.9
1987,Siliana,44.0
1987,Sfax,44.1
1987,Mahdia,51.4
1987,Kasserine,73.7
1987,Kef,76.0
1987,Kairouan,96.9
1988,Tunis,0.9
1988,Gafsa,1.0
1988,Monastir,2.8
1988,Ben Arous,3.0
1988,Ariana,5.0
1988,Bizerte,8.0
1988,Sidi Bouzid,8.5
1988,Sousse,14.0
1988,Gabès,14.3
1988,Mahdia,14.8
1988,Sfax,16.0
1988,Jendouba,18.0
1988,Béja,19.0
1988,Nabeul,23.5
1988,Kairouan,29.6
1988,Zaghouan,32.7
1988,Tatouine,34.0
1988,Medenine,40.0
1988,Siliana,49.9
1988,Kasserine,64.8
1988,Kef,78.0
1989,Gafsa,0.8
1989,Tunis,0.9
1989,Ben Arous,3.1
1989,Monastir,8.5
1989,Bizerte,9.5
1989,Ariana,10.0
1989,Jendouba,15.9
1989,Nabeul,22.0
