Date,nom_ar,nom_fr,unite,valeur
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,846.4
2025-11-25 20:00:00,Température,Température,°C,14.4
2025-11-25 18:00:00,Température,Température,°C,14.4
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,846.6
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,846.8
2025-11-25 16:00:00,Température,Température,°C,14.2
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.9
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,845.6
2025-11-25 14:00:00,Température,Température,°C,13.7
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,847.3
2025-11-25 12:00:00,Température,Température,°C,13.1
2025-11-25 11:00:00,Température,Température,°C,12.9
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,847.5
2025-11-25 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-11-25 10:00:00,Température,Température,°C,12.8
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.2
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,848.3
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.2
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,848.3
2025-11-25 08:00:00,Température,Température,°C,12.8
2025-11-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.3
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,848.7
2025-11-25 06:00:00,Température,Température,°C,12.9
2025-11-25 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.2
2025-11-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,847.6
2025-11-25 04:00:00,Température,Température,°C,13.1
2025-11-25 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,846.0
2025-11-25 02:00:00,Température,Température,°C,13.3
2025-11-25 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.8
2025-11-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,844.3
2025-11-25 00:00:00,Température,Température,°C,13.4
2025-11-24 22:00:00,Température,Température,°C,13.7
2025-11-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,844.3
2025-11-24 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.8
2025-11-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,844.3
2025-11-24 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.8
2025-11-24 20:00:00,Température,Température,°C,14.0
2025-11-24 18:00:00,Température,Température,°C,14.1
2025-11-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,847.2
2025-11-24 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-11-24 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-11-24 17:00:00,L'humidité du sol,L'humidité du sol,mV,846.6
2025-11-24 17:00:00,Température,Température,°C,14.0
2025-11-24 16:00:00,Température,Température,°C,13.8
2025-11-24 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-11-24 16:00:00,L'humidité du sol,L'humidité du sol,mV,847.4
2025-11-24 14:00:00,L'humidité du sol,L'humidité du sol,mV,840.0
2025-11-24 14:00:00,Température,Température,°C,13.2
2025-11-24 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.4
2025-11-24 12:00:00,L'humidité du sol,L'humidité du sol,mV,839.6
2025-11-24 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.3
2025-11-24 12:00:00,Température,Température,°C,12.6
