societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,350
المتوسطية,رخويات مجمدة,"2232,39"
المتوسطية,أسماك مثلجة,4201
المتوسطية,أسماك مجمدة,"268,1"
المتوسطية,تربية مائية,650
أزباسكا,قشريات مجمدة,3704
أزباسكا,رخويات مثلجة,2166
أزباسكا,رخويات مجمدة,1098
ديدون ماري,قشريات مجمدة,560
ديدون ماري,رخويات مثلجة,"441,3"
ديدون ماري,رخويات مجمدة,"14417,3"
ديدون ماري,رخويات حية,"9656,48"
ديدون ماري,أسماك مثلجة,"1347,3"
بن حميدة,قشريات مثلجة,"8856,6"
بن حميدة,رخويات مثلجة,"357,5"
بن حميدة,أسماك مثلجة,"5889,5"
فيشار,قشريات مثلجة,1700
فيشار,أسماك مثلجة,1739
فيشار,تربية مائية,200
كامكسبور,قشريات مثلجة,"76,3"
كامكسبور,رخويات مثلجة,"201,6"
كامكسبور,أسماك مثلجة,"5579,1"
أكيمار,قشريات مجمدة,1934
أكيمار,أسماك مجمدة,630
ماديترنيان باسكا,نصف مصبرات سمك أزرق,17190
أرباكس,تربية مائية,21360
