Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1008.2
2025-11-25 21:00:00,Humidité relative,Humidité relative,%,59.5
2025-11-25 21:00:00,Point de Rosée,Point de Rosée,°C,7.3
2025-11-25 21:00:00,Température,Température,°C,15.2
2025-11-25 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 21:00:00,Direction du vent,Direction du vent,Deg,276.9
2025-11-25 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.96
2025-11-25 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.79
2025-11-25 20:00:00,Point de Rosée,Point de Rosée,°C,8.4
2025-11-25 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1008.2
2025-11-25 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.96
2025-11-25 20:00:00,Vitesse du vent,Vitesse du vent,m/s,1.35
2025-11-25 20:00:00,Humidité relative,Humidité relative,%,63.6
2025-11-25 20:00:00,Température,Température,°C,15.3
2025-11-25 20:00:00,Direction du vent,Direction du vent,Deg,304.7
2025-11-25 19:00:00,Vitesse du vent,Vitesse du vent,m/s,3.42
2025-11-25 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.96
2025-11-25 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1007.6
2025-11-25 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:00,Point de Rosée,Point de Rosée,°C,8.0
2025-11-25 19:00:00,Humidité relative,Humidité relative,%,60.5
2025-11-25 19:00:00,Température,Température,°C,15.6
2025-11-25 19:00:00,Direction du vent,Direction du vent,Deg,324.3
2025-11-25 18:00:00,Point de Rosée,Point de Rosée,°C,-2.4
2025-11-25 18:00:00,Vitesse du vent,Vitesse du vent,m/s,2.34
2025-11-25 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.96
2025-11-25 18:00:00,Humidité relative,Humidité relative,%,22.8
2025-11-25 18:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1004.7
2025-11-25 18:00:00,Direction du vent,Direction du vent,Deg,243.2
2025-11-25 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 18:00:00,Température,Température,°C,19.3
2025-11-25 17:00:00,Direction du vent,Direction du vent,Deg,198.8
2025-11-25 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.96
2025-11-25 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1004.1
2025-11-25 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,3.0
