Date,Gouvernorat,Tete
1993,Tatouine,50
1993,Kébili,100
1993,Medenine,850
1993,Tozeur,1240
1993,Gabès,2860
1993,Gafsa,3160
1993,Tunis,5860
1993,Kasserine,7940
1993,Sidi Bouzid,9350
1993,Mahdia,11570
1993,Sfax,12640
1993,Sousse,13500
1993,Ben Arous,15560
1993,Zaghouan,15750
1993,Monastir,24340
1993,Siliana,33810
1993,Ariana,43070
1993,Kairouan,50090
1993,Kef,54600
1993,Jendouba,66400
1993,Bizerte,76280
1993,Béja,90600
1993,Nabeul,119750
1994,Tatouine,40
1994,Kébili,100
1994,Medenine,870
1994,Tozeur,1150
1994,Gabès,2860
1994,Gafsa,3160
1994,Tunis,4240
1994,Kasserine,7570
1994,Sidi Bouzid,9400
1994,Sousse,12240
1994,Zaghouan,14660
1994,Monastir,15150
1994,Ben Arous,16240
1994,Sfax,21490
1994,Mahdia,26060
1994,Kef,32120
1994,Ariana,42490
1994,Kairouan,52250
1994,Siliana,54000
1994,Jendouba,65000
1994,Nabeul,76530
1994,Béja,82000
1994,Bizerte,122000
1996,Tatouine,110
1996,Kébili,270
1996,Tozeur,1240
1996,Medenine,1500
1996,Gafsa,3560
1996,Gabès,4520
1996,Tunis,5790
1996,Kasserine,11860
1996,Sousse,12390
1996,Ben Arous,14850
1996,Monastir,15230
1996,Zaghouan,20050
1996,Sidi Bouzid,20670
1996,Sfax,23540
1996,Mahdia,26660
1996,Kef,34910
1996,Ariana,36460
1996,Nabeul,41310
1996,Siliana,41950
1996,Kairouan,43960
1996,Béja,79890
1996,Jendouba,89960
1996,Bizerte,129430
1998,Tatouine,70
1998,Kébili,210
1998,Tozeur,1440
1998,Medenine,1500
1998,Gafsa,3960
1998,Gabès,4990
1998,Tunis,5610
1998,Sousse,12850
1998,Monastir,14690
1998,Ben Arous,14880
1998,Kasserine,15950
1998,Sidi Bouzid,19270
1998,Zaghouan,20240
1998,Sfax,21460
1998,Mahdia,31890
1998,Kef,34890
1998,Ariana,39950
1998,Siliana,40380
1998,Kairouan,52340
1998,Jendouba,71940
1998,Nabeul,82510
1998,Béja,90570
1998,Bizerte,141330
1999,Tatouine,80
1999,Kébili,240
1999,Tozeur,1510
1999,Medenine,1810
1999,Tunis,5280
1999,Gabès,5490
1999,Gafsa,8500
1999,Sousse,12550
1999,Kasserine,15510
1999,Ben Arous,15900
1999,Monastir,18690
1999,Zaghouan,21670
1999,Sidi Bouzid,25220
1999,Sfax,28800
1999,Mahdia,36390
1999,Kef,37090
1999,Siliana,38270
1999,Ariana,43780
1999,Kairouan,54900
1999,Jendouba,76550
1999,Nabeul,84620
1999,Béja,88810
1999,Bizerte,127180
2000,Tatouine,120
2000,Kébili,340
2000,Tozeur,1510
2000,Medenine,1870
2000,Tunis,4960
2000,Gabès,5830
2000,Gafsa,7500
2000,Sousse,12940
2000,Ben Arous,15900
2000,Kasserine,16280
2000,Monastir,18830
2000,Zaghouan,22290
2000,Sidi Bouzid,27090
2000,Sfax,30020
2000,Kef,39010
2000,Mahdia,41870
2000,Ariana,45260
2000,Kairouan,45750
2000,Siliana,48670
2000,Jendouba,80700
2000,Nabeul,84220
2000,Béja,97840
2000,Bizerte,117880
2001,Tatouine,210
2001,Kébili,390
2001,Tozeur,1910
2001,Medenine,2120
2001,Tunis,4830
2001,Gabès,6680
2001,Gafsa,8600
2001,Sousse,11770
2001,Kasserine,15680
2001,Ben Arous,15900
2001,Monastir,20650
2001,Ariana,20760
2001,Zaghouan,22790
2001,Manouba,24400
2001,Sidi Bouzid,27630
2001,Sfax,31500
2001,Kef,36310
2001,Kairouan,41380
2001,Mahdia,42220
2001,Siliana,46520
2001,Jendouba,81030
2001,Nabeul,84550
2001,Béja,99840
2001,Bizerte,114910
2002,Tatouine,210
2002,Kébili,620
2002,Tozeur,1920
2002,Medenine,2110
2002,Tunis,4660
2002,Gabès,6180
2002,Gafsa,8390
2002,Sousse,10820
2002,Kasserine,14430
2002,Ben Arous,16300
2002,Monastir,20590
2002,Zaghouan,21940
2002,Ariana,25010
2002,Manouba,25100
2002,Sfax,30700
2002,Kef,34740
2002,Siliana,42470
2002,Kairouan,42550
2002,Mahdia,43910
2002,Jendouba,85290
2002,Nabeul,87970
2002,Béja,92360
2002,Bizerte,106460
2002,Sidi Bouzid,272920
2003,Tatouine,210
2003,Kébili,640
2003,Tozeur,1750
2003,Medenine,2240
2003,Tunis,4940
2003,Gabès,7160
2003,Gafsa,7860
2003,Sousse,8010
2003,Kasserine,11970
2003,Ben Arous,15950
2003,Monastir,18520
2003,Manouba,20000
2003,Zaghouan,20430
2003,Ariana,21430
2003,Kef,24930
2003,Sfax,26610
2003,Sidi Bouzid,27660
2003,Siliana,35150
2003,Kairouan,38170
2003,Mahdia,44010
2003,Béja,84400
2003,Bizerte,84660
2003,Nabeul,86120
2003,Jendouba,86620
2004,Tatouine,290
2004,Kébili,630
2004,Tozeur,1660
2004,Medenine,2250
2004,Tunis,4210
2004,Gabès,7710
2004,Gafsa,8120
2004,Sousse,8340
2004,Kasserine,13830
2004,Ben Arous,15950
2004,Manouba,17200
2004,Monastir,20120
2004,Zaghouan,20510
2004,Ariana,22000
2004,Kef,26170
2004,Sidi Bouzid,27870
2004,Sfax,28570
2004,Siliana,31570
2004,Mahdia,31990
2004,Kairouan,37550
2004,Nabeul,71900
2004,Bizerte,78430
2004,Jendouba,87750
2004,Béja,92200
2005,Tatouine,290
2005,Kébili,640
2005,Tozeur,1600
2005,Medenine,2360
2005,Tunis,4450
2005,Gabès,9440
2005,Sousse,9670
2005,Gafsa,10380
2005,Ben Arous,13770
2005,Kasserine,13820
2005,Manouba,18880
2005,Zaghouan,21010
2005,Ariana,22060
2005,Monastir,23110
2005,Kef,26580
2005,Sidi Bouzid,28470
2005,Sfax,29960
2005,Mahdia,31990
2005,Siliana,33620
2005,Kairouan,37900
2005,Nabeul,73000
2005,Bizerte,88310
2005,Jendouba,89070
2005,Béja,95940
2006,Tatouine,290
2006,Kébili,790
2006,Tozeur,1350
2006,Medenine,2400
2006,Tunis,4520
