Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.36
2025-11-25 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,977.8
2025-11-25 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.9
2025-11-25 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.99
2025-11-25 21:00:00,Point de Rosée,Point de Rosée,°C,4.6
2025-11-25 21:00:00,Humidité relative,Humidité relative,%,53.1
2025-11-25 21:00:00,Température,Température,°C,14.0
2025-11-25 21:00:00,Direction du vent,Direction du vent,Deg,163.4
2025-11-25 20:00:00,Température,Température,°C,13.8
2025-11-25 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.9
2025-11-25 20:00:00,Point de Rosée,Point de Rosée,°C,0.2
2025-11-25 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,977.4
2025-11-25 20:00:00,Vitesse du vent,Vitesse du vent,m/s,3.45
2025-11-25 20:00:00,Humidité relative,Humidité relative,%,39.5
2025-11-25 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.99
2025-11-25 20:00:00,Direction du vent,Direction du vent,Deg,307.9
2025-11-25 19:00:00,Vitesse du vent,Vitesse du vent,m/s,7.34
2025-11-25 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.99
2025-11-25 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.91
2025-11-25 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,976.2
2025-11-25 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:00,Point de Rosée,Point de Rosée,°C,-0.9
2025-11-25 19:00:00,Humidité relative,Humidité relative,%,34.5
