date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-10-21,piment piquant,27.2,700,1300,1200,2000
2022-10-21,oignon ,44.2,500,1000,1000,1500
2022-10-21,pomme de terre,33.0,700,1350,2000,2200
2022-10-21,piment doux,2.5,1300,1800,2000,2500
2022-10-20,piment piquant,25.4,800,1400,1500,2000
2022-10-20,oignon ,41.2,500,1000,900,1500
2022-10-20,pomme de terre,37.3,1350,1350,2000,2200
2022-10-20,piment doux,2.3,1400,1600,2000,2500
2022-10-19,pomme de terre,40.0,1350,1350,2000,2200
2022-10-19,oignon ,58.6,500,1000,1000,1500
2022-10-19,piment piquant,32.5,1000,1500,1500,2200
2022-10-19,piment doux,4.5,1500,1800,2200,2500
2022-10-18,piment piquant,22.4,600,1200,1500,2000
2022-10-18,oignon ,45.2,500,1000,1000,1500
2022-10-18,pomme de terre,35.2,1350,1350,2000,2200
2022-10-18,piment doux,3.5,1200,1400,2000,2500
2022-10-13,piment piquant,21.5,600,1300,1100,2000
2022-10-13,oignon ,48.5,450,1000,800,1500
2022-10-13,pomme de terre,38.2,1350,1350,1800,2000
2022-10-13,piment doux,3.0,1000,1400,1500,2000
2022-10-12,piment piquant,22.8,500,1200,1200,2000
2022-10-12,oignon ,43.8,440,1000,800,1400
2022-10-12,pomme de terre,32.9,1350,1350,1800,2000
2022-10-12,piment doux,2.4,900,1350,1500,2000
2022-10-11,pomme de terre,21.3,1350,1350,1800,2000
2022-10-11,oignon ,51.2,500,1000,800,1400
2022-10-11,piment piquant,32.0,600,1300,1000,2000
2022-10-11,piment doux,3.2,1000,1200,1800,2000
2022-10-10,piment piquant,42.4,500,1500,1000,2000
2022-10-10,oignon ,72.7,400,1000,800,1400
2022-10-10,pomme de terre,43.6,1350,1350,1800,2000
2022-10-10,piment doux,4.6,1200,1400,1800,2000
2022-10-07,piment piquant,45.5,1000,1450,1800,2000
2022-10-07,oignon ,75.6,500,1000,900,1500
2022-10-07,pomme de terre,58.3,1250,1350,1700,1800
2022-10-07,piment doux,8.5,1350,1680,2000,2200
2022-10-06,pomme de terre,35.8,1350,1350,1600,1800
2022-10-06,oignon ,41.2,400,1000,700,1500
2022-10-06,piment piquant,31.5,1200,1500,1800,2200
2022-10-06,piment doux,2.1,1400,1700,2000,2300
2022-10-05,piment piquant,36.5,1000,1600,1400,2500
2022-10-05,oignon ,52.4,700,1000,1000,1500
2022-10-05,pomme de terre,47.3,1300,1350,1500,1800
2022-10-05,piment doux,1.8,1300,1800,1700,2500
2022-10-04,piment piquant,31.4,900,1400,1500,2500
2022-10-04,oignon ,45.3,650,1000,1000,1500
2022-10-04,pomme de terre,34.5,1350,1350,1700,1800
2022-10-04,piment doux,1.2,1200,1500,1800,2500
2022-10-03,piment piquant,31.8,630,1300,1000,2200
2022-10-03,oignon ,78.8,435,1000,800,1500
2022-10-03,pomme de terre,37.5,1000,1350,1500,1800
2022-10-03,piment doux,5.1,750,1450,1500,2300
2022-09-30,piment piquant,31.8,630,1300,1000,2200
2022-09-30,oignon ,78.8,435,1000,800,1500
2022-09-30,pomme de terre,37.5,1000,1350,1500,1800
2022-09-30,piment doux,5.1,750,1450,1500,2300
2022-09-29,piment piquant,22.2,500,1300,1000,2200
2022-09-29,oignon ,64.0,400,1000,800,1500
2022-09-29,pomme de terre,26.0,850,1350,1600,2000
2022-09-29,piment doux,3.7,600,1450,1300,2500
2022-09-28,piment piquant,30.0,650,1600,1200,2200
2022-09-28,oignon ,52.0,400,1000,1000,1500
2022-09-28,pomme de terre,45.0,1000,1350,1700,2000
2022-09-28,piment doux,8.0,830,1500,1500,2500
2022-09-27,piment piquant,26.5,700,1600,1200,2200
2022-09-27,oignon ,42.5,360,1000,800,1500
2022-09-27,pomme de terre,36.6,1000,1350,1700,2000
2022-09-27,piment doux,5.6,900,1500,1500,2500
