Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Niveau du fluid,Niveau du fluid,m,2.21
2025-10-24 07:00:00,Pression relative,Pression relative,hPa,217.0
2025-10-24 06:00:00,Niveau du fluid,Niveau du fluid,m,2.2
2025-10-24 06:00:00,Pression relative,Pression relative,hPa,216.0
2025-10-24 05:00:00,Niveau du fluid,Niveau du fluid,m,2.2
2025-10-24 05:00:00,Pression relative,Pression relative,hPa,216.0
2025-10-24 04:00:00,Niveau du fluid,Niveau du fluid,m,2.2
2025-10-24 04:00:00,Pression relative,Pression relative,hPa,216.0
2025-10-24 03:00:00,Niveau du fluid,Niveau du fluid,m,2.2
2025-10-24 03:00:00,Pression relative,Pression relative,hPa,216.0
2025-10-24 02:00:00,Niveau du fluid,Niveau du fluid,m,2.2
2025-10-24 02:00:00,Pression relative,Pression relative,hPa,216.0
2025-10-24 01:00:00,Niveau du fluid,Niveau du fluid,m,2.21
2025-10-24 01:00:00,Pression relative,Pression relative,hPa,217.0
2025-10-24 00:00:00,Niveau du fluid,Niveau du fluid,m,2.21
2025-10-24 00:00:00,Pression relative,Pression relative,hPa,217.0
