Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.8
2025-10-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,38.5
2025-10-24 07:00:00,Température,Température,°C,18.1
2025-10-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.9
2025-10-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,38.3
2025-10-24 05:00:00,Température,Température,°C,18.3
2025-10-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.9
2025-10-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,38.6
2025-10-24 04:00:00,Température,Température,°C,18.5
2025-10-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.0
2025-10-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,39.4
2025-10-24 03:00:00,Température,Température,°C,18.8
