Date,mille_Unite
2024-05-31,159108.0
2024-04-30,158875.0
2024-03-31,158490.0
2024-02-29,157856.0
2024-01-31,157208.0
2023-12-31,157160.0
2023-11-30,156106.0
2023-10-31,156197.0
2023-09-30,156192.0
2023-08-31,154241.0
2023-07-31,152401.0
2023-06-30,152084.0
2023-05-31,152907.0
2023-04-30,152714.0
2023-03-31,152730.0
2023-02-28,151919.0
2023-01-31,149966.0
2022-12-31,149218.0
2022-11-30,150009.0
2022-10-31,149503.0
2022-09-30,147278.0
2022-08-31,144091.0
2022-07-31,140173.0
2022-06-30,140434.0
2022-05-31,141453.0
2022-04-30,146652.0
2022-03-31,144557.0
2022-02-28,144546.0
2022-01-31,145249.0
2021-07-31,140786.0
2021-06-30,146956.0
2021-05-31,145974.0
2021-04-30,147124.0
2021-03-31,148304.0
2021-02-28,146058.0
2021-01-31,145572.0
