Date,PrixMin_Nord,PrixMax_Nord,PrixMoyen_Nord,PrixMin_Centre,PrixMax_Centre,PrixMoyen_Centre,PrixMin_Sud,PrixMax_Sud,PrixMoyen_Sud,Prix_Moyen
2022-12-23,325.0,330.0,328.4,325.0,328.0,325.8,325.0,330.0,326.5,327.2
2022-12-22,325.0,330.0,327.5,325.0,330.0,327.0,323.0,325.0,324.9,325.9
2022-12-21,325.0,330.0,327.2,328.0,330.0,329.0,323.0,325.0,324.9,325.8
2022-12-20,325.0,326.0,325.4,325.0,330.0,327.0,323.0,325.0,324.9,325.1
2022-12-19,325.0,328.0,325.8,325.0,330.0,327.5,323.0,325.0,324.9,325.2
2022-12-18,325.0,328.0,325.8,325.0,330.0,327.5,323.0,325.0,324.9,325.2
2022-12-17,325.0,328.0,325.8,225.0,330.0,277.5,323.0,325.0,324.9,324.2
2022-12-16,325.0,326.0,325.4,325.0,325.0,325.0,323.0,325.0,324.6,324.9
2022-12-15,325.0,330.0,326.6,325.0,325.0,325.0,323.0,325.0,324.4,325.3
2022-12-14,325.0,330.0,326.5,325.0,325.0,325.0,323.0,325.0,324.4,325.2
2022-12-13,325.0,330.0,326.6,325.0,325.0,325.0,323.0,325.0,324.4,325.3
2022-12-12,325.0,330.0,327.2,325.0,325.0,325.0,323.0,325.0,324.3,325.4
2022-12-11,322.0,328.0,324.2,325.0,325.0,325.0,323.0,325.0,324.3,324.3
2022-12-10,322.0,328.0,324.2,325.0,325.0,325.0,323.0,325.0,324.3,324.3
2022-12-09,320.0,322.0,321.0,320.0,322.0,321.0,320.0,325.0,322.6,321.9
2022-12-08,318.0,322.0,320.0,315.0,315.0,315.0,318.0,322.0,320.0,319.9
2022-12-07,315.0,320.0,318.5,315.0,315.0,315.0,315.0,320.0,318.0,318.1
2022-12-06,315.0,320.0,318.5,315.0,320.0,318.8,315.0,320.0,317.6,318.0
2022-12-05,315.0,320.0,318.1,315.0,320.0,318.8,315.0,320.0,317.9,318.0
2022-12-04,318.0,320.0,319.2,315.0,320.0,318.8,315.0,320.0,317.9,318.4
2022-12-03,318.0,320.0,319.2,315.0,320.0,318.8,315.0,320.0,317.9,318.4
2022-12-02,318.0,320.0,319.0,315.0,320.0,317.5,315.0,320.0,317.6,318.2
2022-12-01,318.0,320.0,319.2,315.0,320.0,317.5,315.0,320.0,317.6,318.3
2022-11-30,318.0,320.0,319.2,320.0,320.0,320.0,315.0,320.0,317.7,318.3
2022-11-29,320.0,320.0,320.0,315.0,320.0,318.8,315.0,320.0,317.7,318.6
2022-11-28,320.0,320.0,320.0,315.0,320.0,318.8,315.0,320.0,318.2,318.9
2022-11-27,320.0,320.0,320.0,315.0,320.0,318.8,315.0,320.0,318.2,318.9
2022-11-26,320.0,320.0,320.0,315.0,320.0,318.8,315.0,320.0,318.2,318.9
2022-11-25,320.0,320.0,320.0,315.0,320.0,318.8,317.0,320.0,318.4,319.0
2022-11-24,320.0,320.0,320.0,315.0,320.0,318.8,316.0,320.0,318.1,318.9
2022-11-23,320.0,320.0,320.0,315.0,320.0,318.8,317.0,320.0,318.6,319.2
2022-11-22,320.0,320.0,320.0,320.0,320.0,320.0,318.0,320.0,319.0,319.4
2022-11-21,320.0,322.0,320.5,320.0,320.0,320.0,317.0,320.0,318.6,319.3
2022-11-20,320.0,320.0,320.0,320.0,320.0,320.0,317.0,320.0,318.6,319.1
2022-11-19,320.0,320.0,320.0,320.0,320.0,320.0,317.0,320.0,318.4,319.0
2022-11-18,320.0,320.0,320.0,320.0,320.0,320.0,315.0,320.0,317.6,318.5
2022-11-17,320.0,320.0,320.0,320.0,320.0,320.0,315.0,318.0,315.9,317.6
2022-11-16,320.0,320.0,320.0,315.0,315.0,315.0,315.0,318.0,316.0,317.5
2022-11-15,320.0,322.0,320.2,315.0,318.0,315.5,315.0,318.0,316.1,317.7
2022-11-14,320.0,322.0,320.2,315.0,315.0,315.0,315.0,318.0,316.0,317.6
2022-11-13,320.0,322.0,320.2,315.0,315.0,315.0,315.0,318.0,316.0,317.6
2022-11-12,320.0,322.0,320.2,315.0,315.0,315.0,315.0,318.0,316.0,317.6
2022-11-11,320.0,322.0,320.2,315.0,315.0,315.0,315.0,318.0,316.1,317.6
2022-11-10,320.0,322.0,320.2,315.0,315.0,315.0,315.0,318.0,316.4,317.8
2022-11-09,320.0,322.0,320.3,315.0,320.0,317.5,315.0,318.0,316.4,317.9
2022-11-08,320.0,325.0,323.3,315.0,315.0,315.0,315.0,318.0,316.8,319.2
2022-11-07,320.0,325.0,322.5,315.0,315.0,315.0,315.0,320.0,317.1,319.1
2022-11-06,320.0,325.0,322.5,315.0,315.0,315.0,315.0,320.0,317.1,319.1
2022-11-05,320.0,325.0,322.5,315.0,315.0,315.0,315.0,320.0,317.1,319.1
2022-11-04,320.0,325.0,322.5,315.0,315.0,315.0,315.0,320.0,317.4,319.3
2022-11-03,320.0,320.0,320.0,315.0,320.0,316.2,315.0,320.0,316.9,318.1
2022-11-02,320.0,320.0,320.0,315.0,315.0,315.0,315.0,320.0,316.9,318.1
2022-11-01,320.0,320.0,320.0,315.0,320.0,316.2,315.0,320.0,317.3,318.3
2022-10-31,320.0,320.0,320.0,315.0,320.0,318.3,315.0,320.0,318.6,319.2
2022-10-30,320.0,325.0,320.6,315.0,320.0,318.3,318.0,320.0,319.7,320.0
2022-10-29,320.0,325.0,320.6,315.0,320.0,317.5,318.0,320.0,319.7,320.0
2022-10-28,320.0,320.0,320.0,330.0,330.0,330.0,318.0,320.0,319.0,319.6
2022-10-27,318.0,320.0,319.0,315.0,320.0,317.5,318.0,320.0,319.6,319.3
