Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:01,Point de Rosée,Point de Rosée,°c,6.0
2025-11-25 21:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 21:00:01,Humidité relative,Humidité relative,%,70.0
2025-11-25 21:00:01,Pression atmosphérique,Pression atmosphérique,hPa,965.9
2025-11-25 21:00:01,Température,Température,°c,11.2
2025-11-25 21:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 21:00:01,Vitesse du vent,Vitesse du vent,m/s,2.4
2025-11-25 21:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 21:00:01,Direction du vent,Direction du vent,Deg,277.2
2025-11-25 20:00:01,Pression atmosphérique,Pression atmosphérique,hPa,965.4
2025-11-25 20:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 20:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:01,Point de Rosée,Point de Rosée,°c,6.8
2025-11-25 20:00:01,Humidité relative,Humidité relative,%,76.7
2025-11-25 20:00:01,Température,Température,°c,10.7
2025-11-25 20:00:01,Direction du vent,Direction du vent,Deg,291.9
2025-11-25 20:00:01,Vitesse du vent,Vitesse du vent,m/s,0.52
2025-11-25 20:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 19:00:01,Point de Rosée,Point de Rosée,°c,6.2
2025-11-25 19:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:01,Température,Température,°c,11.7
2025-11-25 19:00:01,Pression atmosphérique,Pression atmosphérique,hPa,965.2
2025-11-25 19:00:01,Vitesse du vent,Vitesse du vent,m/s,1.44
2025-11-25 19:00:01,Humidité relative,Humidité relative,%,69.2
2025-11-25 19:00:01,Direction du vent,Direction du vent,Deg,320.6
2025-11-25 18:00:01,Vitesse du vent,Vitesse du vent,m/s,5.36
2025-11-25 18:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 18:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:01,Pression atmosphérique,Pression atmosphérique,hPa,964.7
2025-11-25 18:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 18:00:01,Point de Rosée,Point de Rosée,°c,7.2
2025-11-25 18:00:01,Humidité relative,Humidité relative,%,74.6
2025-11-25 18:00:01,Température,Température,°c,11.6
2025-11-25 18:00:01,Direction du vent,Direction du vent,Deg,341.2
2025-11-25 17:00:01,Vitesse du vent,Vitesse du vent,m/s,8.9
2025-11-25 17:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 17:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 17:00:01,Pression atmosphérique,Pression atmosphérique,hPa,962.8
2025-11-25 17:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-11-25 17:00:01,Point de Rosée,Point de Rosée,°c,8.0
2025-11-25 17:00:01,Humidité relative,Humidité relative,%,78.6
2025-11-25 17:00:01,Température,Température,°c,11.6
2025-11-25 17:00:01,Direction du vent,Direction du vent,Deg,332.0
2025-11-25 16:00:01,Température,Température,°c,17.6
2025-11-25 16:00:01,Point de Rosée,Point de Rosée,°c,7.5
2025-11-25 16:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 16:00:01,Vitesse du vent,Vitesse du vent,m/s,13.85
2025-11-25 16:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 16:00:01,Humidité relative,Humidité relative,%,51.5
2025-11-25 16:00:01,Pression atmosphérique,Pression atmosphérique,hPa,961.0
2025-11-25 16:00:01,Direction du vent,Direction du vent,Deg,306.9
2025-11-25 16:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,7.0
2025-11-25 15:00:01,Vitesse du vent,Vitesse du vent,m/s,7.38
2025-11-25 15:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,3.71
2025-11-25 15:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 15:00:01,Pression atmosphérique,Pression atmosphérique,hPa,960.3
2025-11-25 15:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,316.0
2025-11-25 15:00:01,Point de Rosée,Point de Rosée,°c,4.5
2025-11-25 15:00:01,Humidité relative,Humidité relative,%,34.2
2025-11-25 15:00:01,Température,Température,°c,20.9
2025-11-25 15:00:01,Direction du vent,Direction du vent,Deg,233.3
2025-11-25 14:00:01,Température,Température,°c,20.1
2025-11-25 14:00:01,Point de Rosée,Point de Rosée,°c,3.4
