Date,nom_ar,nom_fr,unite,valeur
2025-09-26 23:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,77.6
2025-09-26 23:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,16.7
2025-09-26 22:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,58.9
2025-09-26 22:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,7.4
2025-09-26 21:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,67.2
2025-09-26 21:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,10.5
2025-09-26 20:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,72.0
2025-09-26 20:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,13.2
2025-09-26 19:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,12.4
2025-09-26 19:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,78.0
2025-09-26 18:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,10.4
2025-09-26 18:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,73.0
2025-09-26 17:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,79.2
2025-09-26 17:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.4
2025-09-26 16:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,50.6
2025-09-26 16:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.6
2025-09-26 15:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.4
2025-09-26 15:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,58.0
2025-09-26 14:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.3
2025-09-26 14:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,27.1
2025-09-26 13:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,17.1
2025-09-26 13:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.5
2025-09-26 12:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,31.0
2025-09-26 12:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,13.2
2025-09-26 11:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,100.0
2025-09-26 11:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,16.6
2025-09-26 10:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,16.6
2025-09-26 10:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.0
2025-09-26 09:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,13.7
2025-09-26 09:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.4
2025-09-26 07:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,98.1
2025-09-26 07:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,100.0
2025-09-26 05:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,89.9
2025-09-26 05:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,99.9
2025-09-26 03:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,86.9
2025-09-26 03:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,91.3
2025-09-26 01:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,79.0
2025-09-26 01:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,73.2
