etablissement de tutelle;université de cotutelle;nom d'etablissement;Nombre d'étudiants;année
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;314;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;59;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;76;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;213;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;281;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;519;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;292;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1131;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mograne;313;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Sousse ;Institut Supérieur Agronomique Chott- Mariem;588;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure des Industries Alimentaires de Tunis;305;2017
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;407;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;82;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;99;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;228;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;242;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;389;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;306;2016
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1321;2016
