type_de_permis,annee,nombre
صيد ساحلي,2017,344
صيد بالجر القاعي,2017,47
صيد السمك الأزرق,2017,12
صيد ساحلي ببحيرة تونس,2017,32
صيد الحنشة بولاية تونس,2017,9
الصيد بالكاماتشات بالبحيرة,2017,5
صيد للنزهة,2017,383
صيد بالغطس,2017,153
صيد على الأقدام,2017,14
صيد ساحلي,2018,327
صيد بالجر القاعي,2018,57
صيد السمك الأزرق,2018,19
صيد ساحلي ببحيرة تونس,2018,22
صيد الحنشة بولاية تونس,2018,9
الصيد بالكاماتشات بالبحيرة,2018,5
صيد للنزهة,2018,346
صيد بالغطس,2018,330
صيد على الأقدام,2018,24
صيد ساحلي,2019,309
صيد بالجر القاعي,2019,47
صيد السمك الأزرق,2019,18
صيد ساحلي ببحيرة تونس,2019,24
صيد الحنشة بولاية تونس,2019,9
الصيد بالكاماتشات بالبحيرة,2019,5
صيد للنزهة,2019,413
صيد بالغطس,2019,272
صيد على الأقدام,2019,18
صيد ساحلي,2020,325
صيد بالجر القاعي,2020,32
صيد السمك الأزرق,2020,11
صيد ساحلي ببحيرة تونس,2020,23
صيد الحنشة بولاية تونس,2020,9
الصيد بالكاماتشات بالبحيرة,2020,6
صيد للنزهة,2020,474
صيد بالغطس,2020,266
صيد على الأقدام,2020,20
صيد ساحلي,2021,331
صيد بالجر القاعي,2021,29
صيد السمك الأزرق,2021,12
صيد ساحلي ببحيرة تونس,2021,31
صيد الحنشة بولاية تونس,2021,9
الصيد بالكاماتشات بالبحيرة,2021,5
صيد للنزهة,2021,470
صيد بالغطس,2021,197
صيد على الأقدام,2021,20
