Date,nom_ar,nom_fr,unite,valeur
2025-11-26 08:00:00,Solar Panel,Solar Panel,mV,6787.0
2025-11-26 08:00:00,Battery,Battery,mV,6513.0
2025-11-26 07:00:00,Battery,Battery,mV,6502.0
2025-11-26 07:00:00,Solar Panel,Solar Panel,mV,6768.0
2025-11-26 06:00:00,Solar Panel,Solar Panel,mV,1820.0
2025-11-26 06:00:00,Battery,Battery,mV,6446.0
2025-11-26 05:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 05:00:00,Battery,Battery,mV,6453.0
2025-11-26 04:00:00,Battery,Battery,mV,6466.0
2025-11-26 04:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 03:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 03:00:00,Battery,Battery,mV,6475.0
2025-11-26 02:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 02:00:00,Battery,Battery,mV,6484.0
2025-11-26 01:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-26 01:00:00,Battery,Battery,mV,6488.0
2025-11-26 00:00:00,Battery,Battery,mV,6497.0
2025-11-26 00:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 23:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 23:00:00,Battery,Battery,mV,6502.0
2025-11-25 22:00:00,Battery,Battery,mV,6506.0
2025-11-25 22:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 21:00:00,Battery,Battery,mV,6513.0
2025-11-25 21:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 20:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 20:00:00,Battery,Battery,mV,6517.0
2025-11-25 19:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 19:00:00,Battery,Battery,mV,6519.0
2025-11-25 18:00:00,Solar Panel,Solar Panel,mV,0.0
2025-11-25 18:00:00,Battery,Battery,mV,6515.0
2025-11-25 17:00:00,Battery,Battery,mV,6550.0
