Date,nom_ar,nom_fr,unite,valeur
2025-11-25,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25,Pluie Totale,Pluie Totale,mm,1014.8
2025-11-24,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-24,Pluie Totale,Pluie Totale,mm,1014.8
2025-11-24,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-23,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-23,Pluie Totale,Pluie Totale,mm,1014.8
2025-11-23,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-22,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-22,Pluie Totale,Pluie Totale,mm,1014.8
2025-11-22,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-21,Pluie Totale,Pluie Totale,mm,1014.8
2025-11-21,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-21,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-20,Pluie Totale,Pluie Totale,mm,1014.8
2025-11-20,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-20,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-15,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-15,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-15,Pluie Totale,Pluie Totale,mm,1014.6
2025-11-14,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-14,Pluie Totale,Pluie Totale,mm,1014.6
2025-11-14,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-28,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-28,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-28,Pluie Totale,Pluie Totale,mm,1014.6
