Date,Quantite_tonne
2024-05-31,6709.0
2024-04-30,6848.0
2024-03-31,6459.0
2024-02-29,6390.0
2024-01-31,6834.0
2023-12-31,6473.0
2023-11-30,6342.0
2023-10-31,6501.0
2023-09-30,6529.0
2023-08-31,5898.0
2023-07-31,5950.0
2023-06-30,6258.0
2023-05-31,6570.0
2023-04-30,6515.0
2023-03-31,6355.0
2023-02-28,6487.0
2023-01-31,6321.0
2022-12-31,6265.0
2022-11-30,6154.0
2022-10-31,6224.0
2022-09-30,6342.0
2022-08-31,5815.0
2022-07-31,5718.0
2022-06-30,6411.0
2022-05-31,6362.0
2022-04-30,6605.0
2022-03-31,6688.0
2022-02-28,6452.0
2022-01-31,6376.0
2021-07-31,5898.0
2021-06-30,6390.0
2021-05-31,6057.0
2021-04-30,6224.0
2021-03-31,6251.0
2021-02-28,5919.0
2021-01-31,6182.0
