date,parameter,value,unite
2025-05-16 01:00:00,Humidité relative,86.7,%
2025-05-16 02:00:00,Humidité relative,83.2,%
2025-05-16 03:00:00,Humidité relative,83.5,%
2025-05-16 04:00:00,Humidité relative,83.0,%
2025-05-16 05:00:00,Humidité relative,75.9,%
2025-05-16 06:00:00,Humidité relative,74.2,%
2025-05-16 07:00:00,Humidité relative,70.5,%
2025-05-16 08:00:00,Humidité relative,70.3,%
2025-05-16 09:00:00,Humidité relative,64.5,%
2025-05-16 10:00:00,Humidité relative,61.1,%
2025-05-16 11:00:00,Humidité relative,62.6,%
2025-05-16 12:00:00,Humidité relative,65.6,%
2025-05-16 13:00:00,Humidité relative,64.9,%
2025-05-16 14:00:00,Humidité relative,71.5,%
2025-05-16 15:00:00,Humidité relative,60.2,%
2025-05-16 16:00:00,Humidité relative,60.0,%
2025-05-16 17:00:00,Humidité relative,65.0,%
2025-05-16 18:00:00,Humidité relative,60.8,%
2025-05-16 19:00:00,Humidité relative,71.2,%
2025-05-16 20:00:00,Humidité relative,73.0,%
2025-05-16 21:00:00,Humidité relative,78.8,%
2025-05-16 22:00:00,Humidité relative,83.9,%
2025-05-16 23:00:00,Humidité relative,87.4,%
2025-05-17 00:00:00,Humidité relative,87.2,%
2025-05-17 01:00:00,Humidité relative,90.0,%
2025-05-17 02:00:00,Humidité relative,91.9,%
2025-05-17 03:00:00,Humidité relative,91.7,%
2025-05-17 04:00:00,Humidité relative,89.6,%
2025-05-17 05:00:00,Humidité relative,87.2,%
2025-05-17 06:00:00,Humidité relative,86.5,%
2025-05-17 07:00:00,Humidité relative,73.0,%
2025-05-17 08:00:00,Humidité relative,63.9,%
2025-05-17 09:00:00,Humidité relative,54.6,%
2025-05-17 10:00:00,Humidité relative,48.4,%
2025-05-17 11:00:00,Humidité relative,34.2,%
2025-05-17 12:00:00,Humidité relative,32.8,%
2025-05-17 13:00:00,Humidité relative,33.9,%
2025-05-17 14:00:00,Humidité relative,29.8,%
2025-05-17 15:00:00,Humidité relative,31.5,%
2025-05-16 21:00:00,L'humidité du sol,434.1,mV
2025-05-16 22:00:00,L'humidité du sol,429.5,mV
2025-05-16 23:00:00,L'humidité du sol,429.7,mV
2025-05-17 03:00:00,L'humidité du sol,427.0,mV
2025-05-17 04:00:00,L'humidité du sol,427.2,mV
2025-05-17 05:00:00,L'humidité du sol,427.2,mV
2025-05-17 06:00:00,L'humidité du sol,430.3,mV
2025-05-17 07:00:00,L'humidité du sol,438.1,mV
2025-05-17 08:00:00,L'humidité du sol,442.6,mV
2025-05-17 09:00:00,L'humidité du sol,446.8,mV
2025-05-17 10:00:00,L'humidité du sol,449.1,mV
2025-05-17 11:00:00,L'humidité du sol,452.6,mV
2025-05-17 12:00:00,L'humidité du sol,457.7,mV
2025-05-17 13:00:00,L'humidité du sol,459.8,mV
2025-05-17 14:00:00,L'humidité du sol,463.4,mV
2025-05-17 15:00:00,L'humidité du sol,463.4,mV
2025-05-16 01:00:00,Point de Rosée,10.3,°C
2025-05-16 02:00:00,Point de Rosée,9.6,°C
2025-05-16 03:00:00,Point de Rosée,9.5,°C
2025-05-16 04:00:00,Point de Rosée,9.0,°C
2025-05-16 05:00:00,Point de Rosée,7.7,°C
2025-05-16 06:00:00,Point de Rosée,7.4,°C
2025-05-16 07:00:00,Point de Rosée,7.2,°C
2025-05-16 08:00:00,Point de Rosée,7.9,°C
2025-05-16 09:00:00,Point de Rosée,8.0,°C
2025-05-16 10:00:00,Point de Rosée,8.5,°C
2025-05-16 11:00:00,Point de Rosée,9.1,°C
2025-05-16 12:00:00,Point de Rosée,9.2,°C
2025-05-16 13:00:00,Point de Rosée,9.0,°C
2025-05-16 14:00:00,Point de Rosée,9.9,°C
2025-05-16 15:00:00,Point de Rosée,9.9,°C
2025-05-16 16:00:00,Point de Rosée,8.4,°C
