Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,L'humidité du sol,L'humidité du sol,mV,804.8
2025-11-25 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 21:00:00,Température,Température,°C,12.1
2025-11-25 20:00:00,Température,Température,°C,12.1
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,804.7
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 19:00:00,L'humidité du sol,L'humidité du sol,mV,804.5
2025-11-25 19:00:00,Température,Température,°C,12.0
2025-11-25 18:00:00,Température,Température,°C,11.9
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,804.2
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,804.2
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 16:00:00,Température,Température,°C,11.8
2025-11-25 15:00:00,Température,Température,°C,11.7
2025-11-25 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 15:00:00,L'humidité du sol,L'humidité du sol,mV,804.4
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,804.3
2025-11-25 14:00:00,Température,Température,°C,11.6
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,804.4
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 12:00:00,Température,Température,°C,11.6
2025-11-25 10:00:00,Température,Température,°C,11.6
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,804.6
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,804.5
2025-11-25 08:00:00,Température,Température,°C,11.6
2025-11-25 07:00:00,Température,Température,°C,11.6
2025-11-25 07:00:00,L'humidité du sol,L'humidité du sol,mV,804.8
2025-11-25 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 06:00:00,Température,Température,°C,11.7
2025-11-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.1
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,804.5
2025-11-25 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 05:00:00,L'humidité du sol,L'humidité du sol,mV,804.8
2025-11-25 05:00:00,Température,Température,°C,11.7
2025-11-25 04:00:00,Température,Température,°C,11.7
2025-11-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,804.7
2025-11-25 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 03:00:00,L'humidité du sol,L'humidité du sol,mV,804.9
2025-11-25 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.2
2025-11-25 03:00:00,Température,Température,°C,11.7
2025-11-25 02:00:00,Température,Température,°C,11.7
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,804.9
