_id,saep,dateSituation,cause,dateResolution,etat
4,Missra,2020-07-07,,,F
37,Esskhaibia,2020-07-07,,,F
38,Ettoualeb 2,2020-07-07,,,F
39,Essoudene,2020-07-07,Baisse de débit en période de pointe au niveau du piquage Sonede+travaux de réhabilitation en cours,,P
40,Chamess,2020-07-07,,,F
41,Echwardia,2020-07-07,,,F
42,Ouled Hamrouni,2020-07-07,,,F
43,Ouled Abed ennebi,2020-07-07,,,F
44,El Boussra,2020-07-07,,,F
45,Ennbaeitte,2020-07-07,Casses fréquente sur un tronçon du  réseau de distribution n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,,F
46,Ouled Amara,2020-07-07,,,F
47,El Bkour,2020-07-07,,,F
48,El Maata,2020-07-07,,,F
49,Ouled Lahouel,2020-07-07,,,F
50,El Arayguia,2020-07-07,,,F
51,Allaya,2020-07-07,,,F
52,Bouslim,2020-07-07,Baisse de débit en période de pointe au niveau du piquage Sonede,,P
53,Mharza,2020-07-07,Baisse de débit en période de pointe au niveau du piquage Sonede,,P
54,Kraaid,2020-07-07,,,F
55,Bir Maleh,2020-07-07,"Casses fréquentes sur un tronçon du réseau de distribution n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,",,P
56,Ouled Ali,2020-07-07,Casses fréquente sur un tronçon de la conduite d'adduction  n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,,P
57,Ouled Mlik,2020-07-07,,,F
58,Tebne Soliman,2020-07-07,,,F
59,Boucharay Soliman,2020-07-07,,,F
60,Bir drassen Bni Khalled,2020-07-07,,,F
61,Bouafif Bni khaled,2020-07-07,,,F
62,Rouihine et aitha Menzel  Bouzelfa,2020-07-07,,,F
63,Bouchrik  Menzel Bouzelfa,2020-07-07,,,F
64,Takelsa Janoubia,2020-07-07,,,F
65,Takelsa oued abid,2020-07-07,,,F
66,Jbal Trif Grombalia,2020-07-07,Chute de debit,juil-20,P
67,Bni ayech Grombalia,2020-07-07,Manque des ressources an eau,juin-20,P
68,Bouzekri et touelbia Grombalia,2020-07-07,,,F
69,Henchir Jbir Grombalia,2020-07-07,,,F
70,Bourbyi Bou arghoub,2020-07-07,,,F
71,Kharrouba Bou arghoub,2020-07-07,,,F
72,Bousham Bou Arghoub,2020-07-07,,,F
73,Arghoub essid Bou Arghoub,2020-07-07,,,F
74,El maktaa  Bou arghoub,2020-07-07,,,F
75,Hamman JDIDI Hammamet,2020-07-07,,,F
76,Sidi hammed et besbassia Hamammet,2020-07-07,,,F
77,Beni ouael Hammamet,2020-07-07,,,F
78,Menzel Mousa Hammamet,2020-07-07,,,F
79,Mziraa Hammamet,2020-07-07,,,F
80,Latrach Hammamet,2020-07-07,,,F
81,Gosbet korba,2020-07-07,,,F
82,Gobbet lagha Korba,2020-07-07,,,F
83,Boulidin Korba,2020-07-07,,,F
84,Boulazhar Korba,2020-07-07,,,F
85,Henchir tirif Korba,2020-07-07,,,F
86,Awled Ben thamer Korba,2020-07-07,,,F
87,El ouidienne Menzel Tmime,2020-07-07,,,F
88,Soudene Menzel Tmime,2020-07-07,,,F
89,Nakhla Menzel Tmime,2020-07-07,,,F
90,Garsouline Menzel Tmime,2020-07-07,,,F
91,Menzel Yahya Menzel Tmime,2020-07-07,,,F
92,Irgh Esses Menzel Tmime,2020-07-07,,,F
93,Dhbaa Menzel Tmime,2020-07-07,,,F
94,Menzel Ibrahim Klibia,2020-07-07,,,F
95,El Hzaizia Hawaria,2020-07-07,,,F
96,El koudwa Hawaria,2020-07-07,,,F
97,Ksira w Zwabi Hawaria,2020-07-07,,,F
98,Nawalet Mida,2020-07-07,,,F
99,Tamazrat  Hammam El Ghzaz,2020-07-07,,,F
100,El Halfa Bni Khiar,2020-07-07,,,F
101,Ghardaya Bni Khiar,2020-07-07,,,F
102,Bou Jarboua,2020-07-07,"réhab,SR",fin juillet,P
103,Markez Mosbeh,2020-07-07,pression faible,appel d'offre en cours pour création SR,P
104,OM Saleh,2020-07-07,pression faible,appel d'offre en cours pour création SR,P
105,Mhedhba_ Chnaina_ Kasr Rih,2020-07-07,pression faible,appel d'offre en cours pour création SR,P
106,Sidi Hssen Belhaj Hlelefa,2020-07-07,transfert à la SONEDE,fin juillet,P
107,Bousaid Hadhara,2020-07-07,,,F
108,Sbih,2020-07-07,manque de ressources + dettes,après réechelonnement des dettes,P
109,Naouel (3GDA),2020-07-07,dettes SONEDE,après réechelonnement des dettes,A
110,Intlaka Aouled Amor,2020-07-07,,,F
111,Intlika Aouled Amor nouveau,2020-07-07,,,F
112,Intlika Aouled Amor Ancien,2020-07-07,,,F
113,Mghadhia,2020-07-07,,,F
114,Mghadhia Chouket,2020-07-07,,,F
115,Ethet Chlaya,2020-07-07,"Réhab,SAEP",2021,A
116,Ghaib,2020-07-07,,,F
117,Satour et swaktia - Jerwala,2020-07-07,,,F
118,Bou said Hadhara,2020-07-07,,,F
119,Bousaid Knitra,2020-07-07,,,F
120,Bousaid Knitra ,2020-07-07,,,F
121,Toleb Ras Souinia,2020-07-07,,,F
122,Ras souina _Toleb,2020-07-07,,,F
123,Aouled Fatnassi,2020-07-07,,,F
124,Sidi Ghrib,2020-07-07,"Réhab,SAEP",AOUT 2020,A
125,Tarfaoui,2020-07-07,,,F
8,Cebelet Ben Ammar,2020-07-07,irrigation ,,P
126,Gragour,2020-07-07,dettes SONEDE + panne technique (bouchage),,P
127,Gargour,2020-07-07,dettes SONEDE + panne technique (bouchage),,P
128,Sawa3ed,2020-07-07,,,F
129,Bouladhieb,2020-07-07,,,F
130,Bou ladhieb,2020-07-07,,,F
131,Frajnia ,2020-07-07,,,F
132,Frajnia,2020-07-07,,,F
133,Frajnia (Ben sahloun),2020-07-07,,,F
134,Bou Ladhieb (aouled saada),2020-07-07,,,F
135,Rbai ouled aliya,2020-07-07,"Réhab,SAEP",2021,A
136,Oudrane Nord,2020-07-07,manque de ressources,aout 2020,P
137,Chaaleb,2020-07-07,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
138, Chaaleb,2020-07-07,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2021,P
139,L'abrage,2020-07-07,,,F
140,Ltaifa 1,2020-07-07,,,F
141,Ltaifa 2,2020-07-07,,,F
142,ltafia2,2020-07-07,,,F
143,Bir Abbes,2020-07-07,,,F
144,Sidi abd kafi,2020-07-07,,,F
145,Sidi Abd Kafi ,2020-07-07,,,F
146,Sidi Issa,2020-07-07,,,F
147,Sidi issa_choucha,2020-07-07,,,F
148,Attcha,2020-07-07,,,F
149,Kraima,2020-07-07,,,F
150,Attacha,2020-07-07,,,F
151,Raghayia,2020-07-07,,,F
152,Msadga,2020-07-07,,,F
153,Raghaya,2020-07-07,,,F
154,Zelyana,2020-07-07,,,F
155,Om choucha1,2020-07-07,,,F
156,Om choucha 2,2020-07-07,,,F
157,Om choucha,2020-07-07,,,F
158,choket ,2020-07-07,,,F
159,Jerwala_Satour,2020-07-07,,,F
160,Jerwala_Satour(aouled Bahri),2020-07-07,,,F
161,Jerwala,2020-07-07,,,F
162,Melha SAEP Sbih,2020-07-07,manque de ressources + dettes,après réechelonnement des dettes,P
163,Chfafra AEP Sbih,2020-07-07,manque de ressources + dettes,après réechelonnement des dettes,P
164,Zobra AEP Sbih,2020-07-07,manque de ressources + dettes,après réechelonnement des dettes,P
165,Zaboussa Khawala,2020-07-07,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
166,Atil,2020-07-07,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
167,Frichet,2020-07-07,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
168,Nawel -ouled gmar,2020-07-07,dettes SONEDE,après réechelonnement des dettes,A
169,SIDI ACHOUR ,2020-07-07,,,F
170,BORJ EL KHALSI,2020-07-07,,,F
171,BIR EJJDID,2020-07-07,,,F
172,MASAADINE,2020-07-07,,,F
173,EL AOUILIA,2020-07-07,,,F
174,BIR ETTOUIL ,2020-07-07,,,F
175,DRIJA ,2020-07-07,,,F
176,FIDH ALA AMRINE ,2020-07-07,,,F
177,AL ALOUINE ,2020-07-07,,,F
178,NFAIDH ,2020-07-07,1-Baisse de débit en période de pointe au niveau du piquage Sonede.                                         2-Panne au niveau du transformateur de la station de reprise 50 m3 existante le 27/06/2020.,1-Démarrage des travaux  GC de la bache dereprise le 06/07/2020 (Délai d'exécution 120 jours).                          2-Réparation et montage  du transformateur depuis le 06/07/2020.,P
179,HALFAOUI,2020-07-07,,,F
180,MAHFOURA,2020-07-07,,,F
181,ZOUITINA,2020-07-07,,,F
182,KHRIBA,2020-07-07,,,F
183,ERRABTA,2020-07-07,,,F
184,TIRRASSET,2020-07-07,,,F
185,BOOLI ,2020-07-07,,,F
186,BEN GHNIA ,2020-07-07,,,F
187,HINCHIR EZOUYA/SIDIALI BEN OUN,2020-07-07,,,F
188,SIDI SAID,2020-07-07,,,F
189,HENNA ,2020-07-07,,,F
190,GANTOURIA ,2020-07-07,,,F
191,MANZEL SHAL ,2020-07-07,,,F
192,MANZEL AMOR (chaouat),2020-07-07,,,F
193,HKAIMIA ,2020-07-07,,,F
194,GUECHBA SIDI SALEM ,2020-07-07,,,F
195,HENNA ET DHNIBA ,2020-07-07,,,F
196,SIDI ALI HATTAB ,2020-07-07,,,F
197,BOUHAMED,2020-07-07,,,F
198,AIN KARMA,2020-07-07,,,F
199,MAAFRINE ,2020-07-07,,,F
200,FAZANINE,2020-07-07,,,F
201,JNAIDIA,2020-07-07,,,F
202,MELLEHA,2020-07-07,,,F
203,GAFFAYA,2020-07-07,,,F
204,AIN HAWARIA,2020-07-07,,,F
205,MAGTAA ET NADHOUR,2020-07-07,,,F
206,BOUALI,2020-07-07,,,F
207,TYAYRA,2020-07-07,,,F
208,BEJA KADIMA,2020-07-07,,,F
209,BOUKHARROUBA,2020-07-07,,,F
