Date,Gouvernorat,Production
2000,Monastir,1980.0
2000,Sousse,8620.0
2000,Jendouba,22660.0
2000,Nabeul,28440.0
2001,Monastir,2850.0
2001,Sousse,9730.0
2001,Bizerte,11030.0
2001,Jendouba,36800.0
2001,Nabeul,45000.0
2002,Monastir,3090.0
2002,Bizerte,4570.0
2002,Sousse,7180.0
2002,Jendouba,24160.0
2002,Nabeul,40000.0
2003,Monastir,3340.0
2003,Bizerte,5190.0
2003,Sousse,14320.0
2003,Jendouba,37990.0
2003,Nabeul,41000.0
2004,Monastir,1950.0
2004,Bizerte,3740.0
2004,Sousse,8070.0
2004,Jendouba,25700.0
2004,Nabeul,37500.0
2005,Monastir,4130.0
2005,Bizerte,6000.0
2005,Sousse,10500.0
2005,Jendouba,20600.0
2005,Nabeul,40000.0
2006,Monastir,4090.0
2006,Bizerte,7000.0
2006,Sousse,10400.0
2006,Jendouba,24580.0
2006,Nabeul,38000.0
2007,Tataouine,3470.0
2007,Monastir,3510.0
2007,Bizerte,7420.0
2007,Sousse,11420.0
2007,Kairouan,20030.0
2007,Jendouba,23290.0
2007,Nabeul,41130.0
2008,Tataouine,3270.0
2008,Manouba,3420.0
2008,Bizerte,3550.0
2008,Monastir,6750.0
2008,Gabes,7400.0
2008,Sfax,7670.0
2008,Béja,10000.0
2008,Sousse,10620.0
2008,Kairouan,16000.0
2008,Jendouba,24790.0
2008,Gafsa,27020.0
2008,Sidi bouzid,31060.0
2008,Nabeul,37950.0
2009,Tataouine,1530.0
2009,Manouba,2800.0
2009,Sfax,3780.0
2009,Gabes,5050.0
2009,Monastir,5500.0
2009,Bizerte,7690.0
2009,Béja,11030.0
2009,Kairouan,11140.0
2009,Gafsa,11700.0
2009,Sousse,11940.0
2009,Sidi bouzid,18640.0
2009,Jendouba,22660.0
2009,Nabeul,34820.0
2010,Tataouine,1730.0
2010,Manouba,2330.0
2010,Gabes,5110.0
2010,Monastir,6680.0
2010,Sfax,6750.0
2010,Bizerte,7790.0
2010,Béja,10150.0
2010,Kairouan,11700.0
2010,Sousse,14030.0
2010,Gafsa,19000.0
2010,Jendouba,25430.0
2010,Sidi bouzid,26960.0
2010,Nabeul,38980.0
2011,Tataouine,880.0
2011,Manouba,2300.0
2011,Bizerte,3010.0
2011,Gabes,4240.0
2011,Sfax,6040.0
2011,Monastir,7230.0
2011,Kairouan,9960.0
2011,Béja,11500.0
2011,Sousse,12320.0
2011,Gafsa,19600.0
2011,Sidi bouzid,27900.0
2011,Jendouba,29940.0
2011,Nabeul,38650.0
2012,Tataouine,870.0
2012,Manouba,1950.0
2012,Gabes,3160.0
2012,Sfax,4090.0
2012,Monastir,5050.0
2012,Bizerte,6600.0
2012,Sousse,7170.0
2012,Béja,7990.0
2012,Kairouan,8190.0
2012,Jendouba,13000.0
2012,Gafsa,18200.0
2012,Sidi bouzid,20600.0
2012,Nabeul,36000.0
2013,Tataouine,1140.0
2013,Manouba,1960.0
2013,Gabes,2810.0
2013,Bizerte,5000.0
2013,Béja,6160.0
2013,Sfax,7430.0
2013,Monastir,9840.0
2013,Jendouba,13200.0
2013,Kairouan,13690.0
2013,Sousse,13830.0
2013,Gafsa,14930.0
2013,Sidi bouzid,23000.0
2013,Nabeul,39000.0
2014,Tataouine,1630.0
2014,Manouba,2100.0
2014,Gabes,3000.0
2014,Sfax,4460.0
2014,Bizerte,6530.0
2014,Béja,8280.0
2014,Monastir,12180.0
2014,Kairouan,15990.0
2014,Gafsa,18150.0
2014,Sousse,18330.0
2014,Jendouba,23440.0
2014,Sidi bouzid,31000.0
2014,Nabeul,38000.0
2015,Tataouine,530.0
2015,Manouba,2100.0
2015,Gabes,2880.0
2015,Sfax,3450.0
2015,Béja,5130.0
2015,Bizerte,9820.0
2015,Kairouan,12500.0
2015,Monastir,12990.0
2015,Sousse,14980.0
2015,Gafsa,16620.0
2015,Jendouba,18180.0
2015,Sidi bouzid,23130.0
2015,Nabeul,32000.0
2016,Tataouine,680.0
2016,Gabes,2940.0
2016,Manouba,3150.0
2016,Sfax,3570.0
2016,Bizerte,4550.0
2016,Béja,8140.0
2016,Monastir,10620.0
2016,Sousse,12420.0
2016,Kairouan,17470.0
2016,Gafsa,20230.0
2016,Sidi bouzid,24100.0
2016,Jendouba,34500.0
2016,Nabeul,43000.0
