ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2010,هبيرة,المهدية,2402000,436125
2010,الوردانين,المنستير,353503,43960
2010,ماطر,بنزرت,5441326,688726
2011,مدنين الجنوبية,مدنين,1448806,267280
2010,سليمان,نابل,3230381,253154
2010,بنزرت الجنوبية,بنزرت,2346548,339302
2010,قرقنة,صفاقس,185750,17813
2011,المهدية,المهدية,37383600,1925118
2011,السند,قفصة,3025440,631874
2010,ساقية الزيت,صفاقس,265000,8846
2011,الدهماني,الكاف,2014800,332693
2011,بني خلاد,نابل,2067316,233083
2010,حيدرة,القصرين,180029,46851
2011,سليانة الجنوبية,سليانة,177160,39531
2011,سيدي عمر بوحجلة,القيروان,1512000,248703
2010,بئر الحفي,سيدي بوزيد,1915207,410381
2010,المحرس,صفاقس,3423432,506875
2011,الحامة,قابس,28624660,3772186
2011,الشابة,المهدية,6720500,371353
2011,البقا لطة,المنستير,708300,80792
2011,سيدي بوعلي,سوسة,114500,6766
2011,سبيبة,القصرين,4465437,821897
2011,الروحية,سليانة,2059000,363073
2010,قبلاط,باجة,492303,116613
2010,شربان,المهدية,464500,78475
2011,مجاز الباب,باجة,4866567,722801
2011,صفاقس الجنوبية,صفاقس,859500,59207
2011,قرمبا لية,نابل,2356114,190105
2011,قفصة الشما لية,قفصة,10683405,1943329
2011,بئر الحفي,سيدي بوزيد,1842531,387362
2011,القصور,الكاف,2555500,375574
2010,المزونة,سيدي بوزيد,1666958,320788
2010,جلمة,سيدي بوزيد,1166725,272694
2011,المحرس,صفاقس,5878964,483481
2011,غارالدماء,جندوبة,131280,12768
2010,تيبار,باجة,391759,119449
2010,ساقية الدائر,صفاقس,333775,29827
2010,سيدي عيش,قفصة,4508027,853325
2011,قصيبة المديوني,المنستير,302900,21383
2011,كسرى,سليانة,213000,37787
2011,توزر,توزر,697702,112281
2012,بئر الحفي,سيدي بوزيد,2782816,632114
2012,عقارب,صفاقس,23466727,1262948
2012,بوسا لم,جندوبة,10177647,1094040
2012,دقاش,توزر,16561,5063
2012,الكريب,سليانة,2241000,234632
2013,الشابة,المهدية,7300000,496088
2012,جومين,بنزرت,1335203,229594
2012,جندوبة,جندوبة,2865721,366883
2012,منزل تميم,نابل,646082,69835
2011,مطماطة الجديدة,قابس,444437,98793
2012,السرس,الكاف,2627208,412189
2012,سيدي مخلوف,مدنين,385429,72236
2013,سليانة الشما لية,سليانة,1820000,398395
2012,مارث,قابس,1310065,331972
2011,منوبة,منــوبة,552520,101181
2012,ماجل با لعباس,القصرين,1259473,263262
2011,الغريبة,صفاقس,287205,72815
2012,السند,قفصة,3017553,598729
2012,قابس المدينة,قابس,260791,33063
2013,جرجيس,مدنين,5269325,840090
2013,حاجب العيون,القيروان,2400000,441761
2012,قفصة الشما لية,قفصة,9465230,1879661
2013,القيروان الجنوبية,القيروان,2105600,393078
2013,ماجل با لعباس,القصرين,1582499,340718
2012,حلق الوادي,تــونس,1212500,129835
