Date,Gouvernorat,Tete
1993,Tunis,11100
1993,Tozeur,54100
1993,Ben Arous,62030
1993,Mahdia,77390
1993,Tatouine,99080
1993,Ariana,101520
1993,Kébili,134700
1993,Bizerte,175000
1993,Jendouba,208400
1993,Sousse,214890
1993,Monastir,257910
1993,Medenine,274950
1993,Gafsa,275110
1993,Nabeul,285150
1993,Zaghouan,328120
1993,Gabès,374680
1993,Sfax,374900
1993,Béja,385000
1993,Kef,490000
1993,Kairouan,692590
1993,Kasserine,719860
1993,Sidi Bouzid,738150
1993,Siliana,775200
1994,Tunis,9400
1994,Tozeur,52000
1994,Ben Arous,57700
1994,Kébili,64000
1994,Ariana,66100
1994,Tatouine,99100
1994,Monastir,109600
1994,Nabeul,184600
1994,Jendouba,211000
1994,Sousse,215000
1994,Zaghouan,224000
1994,Mahdia,244200
1994,Gabès,262900
1994,Bizerte,272800
1994,Medenine,274000
1994,Gafsa,275100
1994,Béja,322800
1994,Sfax,380800
1994,Kasserine,470300
1994,Siliana,492000
1994,Kairouan,565300
1994,Kef,579100
1994,Sidi Bouzid,705300
1996,Tunis,9970
1996,Ben Arous,48450
1996,Tozeur,56850
1996,Kébili,83300
1996,Ariana,93080
1996,Monastir,121780
1996,Nabeul,178600
1996,Sousse,181900
1996,Jendouba,197020
1996,Bizerte,255260
1996,Tatouine,280000
1996,Zaghouan,283240
1996,Medenine,289410
1996,Mahdia,308600
1996,Béja,320580
1996,Sfax,330000
1996,Gabès,344580
1996,Gafsa,345620
1996,Kasserine,465720
1996,Siliana,507800
1996,Kairouan,561650
1996,Kef,619780
1996,Sidi Bouzid,934490
1998,Tunis,9460
1998,Ben Arous,53410
1998,Tozeur,55600
1998,Kébili,65000
1998,Ariana,102480
1998,Monastir,135200
1998,Nabeul,181310
1998,Sousse,184880
1998,Jendouba,189500
1998,Zaghouan,239250
1998,Tatouine,242170
1998,Mahdia,254650
1998,Béja,300600
1998,Bizerte,302230
1998,Medenine,306510
1998,Sfax,330900
1998,Gafsa,341520
1998,Gabès,368810
1998,Kasserine,505930
1998,Siliana,506220
1998,Kef,591210
1998,Sidi Bouzid,627830
1998,Kairouan,649440
1999,Tunis,9150
1999,Ben Arous,42630
1999,Tozeur,55000
1999,Ariana,87670
1999,Monastir,128520
1999,Kébili,133650
1999,Nabeul,178790
1999,Mahdia,182230
1999,Jendouba,188830
1999,Sousse,197100
1999,Tatouine,246840
1999,Bizerte,295280
1999,Gabès,298000
1999,Medenine,309710
1999,Béja,323660
1999,Zaghouan,326590
1999,Gafsa,341520
1999,Sfax,350770
1999,Siliana,507280
1999,Kasserine,535300
1999,Kairouan,589460
1999,Kef,623590
1999,Sidi Bouzid,624680
2000,Tunis,8580
2000,Ben Arous,42630
2000,Tozeur,60000
2000,Ariana,93380
2000,Monastir,119900
2000,Kébili,150680
2000,Mahdia,177000
2000,Jendouba,183770
2000,Nabeul,185700
2000,Sousse,203300
2000,Tatouine,264290
2000,Bizerte,287460
2000,Medenine,304270
2000,Gabès,314100
2000,Sfax,368000
2000,Béja,368490
2000,Zaghouan,386510
2000,Gafsa,391520
2000,Kairouan,572910
2000,Siliana,583770
2000,Kasserine,593270
2000,Sidi Bouzid,613080
2000,Kef,653640
2001,Tunis,8390
2001,Ariana,21000
2001,Ben Arous,41330
2001,Manouba,48280
2001,Tozeur,65000
2001,Monastir,114880
2001,Kébili,150680
2001,Mahdia,173050
