Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:01,Point de Rosée,Point de Rosée,°c,8.3
2025-11-25 21:00:01,Vitesse du vent,Vitesse du vent,m/s,2.48
2025-11-25 21:00:01,Température,Température,°c,11.3
2025-11-25 21:00:01,Direction du vent,Direction du vent,Deg,276.3
2025-11-25 21:00:01,Humidité relative,Humidité relative,%,82.1
2025-11-25 21:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.85
2025-11-25 21:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 21:00:01,Pression atmosphérique,Pression atmosphérique,hPa,982.4
2025-11-25 21:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:01,Pression atmosphérique,Pression atmosphérique,hPa,981.6
2025-11-25 20:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.85
2025-11-25 20:00:01,Température,Température,°c,11.5
2025-11-25 20:00:01,Point de Rosée,Point de Rosée,°c,9.0
2025-11-25 20:00:01,Direction du vent,Direction du vent,Deg,246.6
2025-11-25 20:00:01,Vitesse du vent,Vitesse du vent,m/s,3.74
2025-11-25 20:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 20:00:01,Humidité relative,Humidité relative,%,85.0
2025-11-25 20:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:01,Point de Rosée,Point de Rosée,°c,8.7
2025-11-25 19:00:01,Humidité relative,Humidité relative,%,80.1
2025-11-25 19:00:01,Température,Température,°c,12.0
2025-11-25 19:00:01,Direction du vent,Direction du vent,Deg,265.5
2025-11-25 19:00:01,Vitesse du vent,Vitesse du vent,m/s,4.54
2025-11-25 19:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.85
2025-11-25 19:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:01,Pression atmosphérique,Pression atmosphérique,hPa,981.3
2025-11-25 19:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 18:00:01,Pression atmosphérique,Pression atmosphérique,hPa,981.1
2025-11-25 18:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.85
2025-11-25 18:00:01,Humidité relative,Humidité relative,%,80.3
2025-11-25 18:00:01,Point de Rosée,Point de Rosée,°c,8.7
2025-11-25 18:00:01,Température,Température,°c,12.0
2025-11-25 18:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:01,Direction du vent,Direction du vent,Deg,304.5
2025-11-25 18:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 18:00:01,Vitesse du vent,Vitesse du vent,m/s,4.21
2025-11-25 17:00:01,Humidité relative,Humidité relative,%,78.5
2025-11-25 17:00:01,Température,Température,°c,12.2
2025-11-25 17:00:01,Direction du vent,Direction du vent,Deg,269.8
2025-11-25 17:00:01,Vitesse du vent,Vitesse du vent,m/s,4.14
2025-11-25 17:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.85
2025-11-25 17:00:01,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 17:00:01,Pression atmosphérique,Pression atmosphérique,hPa,980.5
2025-11-25 17:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,11.0
2025-11-25 17:00:01,Point de Rosée,Point de Rosée,°c,8.6
2025-11-25 16:00:01,Direction du vent,Direction du vent,Deg,319.2
2025-11-25 16:00:01,Pression atmosphérique,Pression atmosphérique,hPa,979.2
2025-11-25 16:00:01,Température,Température,°c,12.8
2025-11-25 16:00:01,Rayonnement solaire,Rayonnement solaire,W/m²,45.0
2025-11-25 16:00:01,Humidité relative,Humidité relative,%,79.3
2025-11-25 16:00:01,Point de Rosée,Point de Rosée,°c,9.3
2025-11-25 16:00:01,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.85
