Date,Annee,Mois,Cout_millime_kg
2018-12-31,2018,12,5165.0
2018-11-30,2018,11,5165.0
2018-10-31,2018,10,5160.0
2018-09-30,2018,9,5142.0
2018-08-31,2018,8,5015.0
2018-07-31,2018,7,4912.0
2018-06-30,2018,6,4784.0
2018-05-31,2018,5,4730.0
2018-04-30,2018,4,4687.0
2018-03-31,2018,3,4590.0
2018-02-28,2018,2,4590.0
2018-01-31,2018,1,4503.0
2017-12-31,2017,12,4472.0
2017-11-30,2017,11,4451.0
2017-10-31,2017,10,4451.0
2017-09-30,2017,9,4440.0
2017-08-31,2017,8,4379.0
2017-07-31,2017,7,4379.0
2017-06-30,2017,6,4379.0
2017-05-31,2017,5,4379.0
2017-04-30,2017,4,4410.0
2017-03-31,2017,3,4382.0
2017-02-28,2017,2,4326.0
2017-01-31,2017,1,4326.0
