Date,Gouvernorat,Production
1980,Monastir,0.0
1980,Mahdia,0.0
1980,Gafsa,0.0
1980,Gabès,0.0
1980,Medenine,0.0
1980,Sousse,0.6
1980,Sfax,2.5
1980,Sidi Bouzid,2.9
1980,Kasserine,8.9
1980,Kairouan,14.6
1980,Tunis,23.5
1980,Nabeul,48.1
1980,Kef,72.9
1980,Jendouba,82.4
1980,Zaghouan,177.5
1980,Bizerte,267.3
1980,Béja,292.9
1980,Siliana,293.0
1981,Gafsa,0.0
1981,Sidi Bouzid,0.9
1981,Sousse,1.6
1981,Monastir,1.6
1981,Sfax,1.8
1981,Gabès,2.6
1981,Mahdia,4.6
1981,Kasserine,8.9
1981,Nabeul,25.7
1981,Tunis,31.3
1981,Kairouan,38.2
1981,Kef,56.5
1981,Jendouba,180.9
1981,Bizerte,229.7
1981,Zaghouan,256.8
1981,Béja,370.8
1981,Siliana,378.5
1982,Sousse,0.0
1982,Kasserine,0.0
1982,Sidi Bouzid,0.0
1982,Gafsa,0.0
1982,Gabès,0.0
1982,Monastir,1.0
1982,Sfax,1.0
1982,Mahdia,3.0
1982,Tunis,27.6
1982,Nabeul,27.7
1982,Kairouan,78.3
1982,Kef,79.0
1982,Jendouba,175.0
1982,Bizerte,184.0
1982,Siliana,229.0
1982,Béja,390.1
1982,Zaghouan,438.9
1983,Gafsa,0.0
1983,Kasserine,2.0
1983,Monastir,3.1
1983,Sousse,4.3
1983,Gabès,4.8
1983,Mahdia,5.4
1983,Sfax,11.5
1983,Tunis,14.5
1983,Kef,15.1
1983,Sidi Bouzid,16.4
1983,Nabeul,26.0
1983,Kairouan,83.9
1983,Bizerte,111.6
1983,Jendouba,147.0
1983,Zaghouan,166.9
1983,Siliana,168.7
1983,Béja,307.2
1984,Sousse,0.0
1984,Gafsa,0.0
1984,Gabès,0.0
1984,Medenine,0.0
1984,Monastir,0.8
1984,Kasserine,1.5
1984,Sfax,7.5
1984,Mahdia,8.8
1984,Tunis,9.0
1984,Sidi Bouzid,9.0
1984,Kairouan,25.7
1984,Nabeul,35.2
1984,Zaghouan,82.3
1984,Kef,88.5
1984,Siliana,161.2
1984,Jendouba,174.5
1984,Bizerte,267.4
1984,Béja,399.0
1985,Monastir,1.8
1985,Tunis,1.9
1985,Kasserine,4.6
1985,Sousse,11.8
1985,Gafsa,20.3
1985,Mahdia,27.0
1985,Ben Arous,33.0
1985,Nabeul,37.7
1985,Gabès,49.4
1985,Sfax,74.0
1985,Sidi Bouzid,109.8
1985,Kairouan,124.2
1985,Ariana,145.5
1985,Kef,264.4
1985,Zaghouan,273.1
1985,Jendouba,285.0
1985,Bizerte,408.0
1985,Siliana,457.7
1985,Béja,782.6
1986,Sousse,0.0
1986,Kasserine,0.0
1986,Gafsa,0.0
1986,Gabès,0.0
1986,Mahdia,0.7
1986,Monastir,0.9
1986,Sfax,0.9
1986,Tunis,1.2
1986,Sidi Bouzid,5.2
1986,Nabeul,7.6
1986,Ben Arous,10.9
1986,Kairouan,27.7
1986,Ariana,38.2
1986,Zaghouan,54.2
1986,Kef,70.8
1986,Siliana,126.6
1986,Jendouba,172.5
1986,Béja,209.3
1986,Bizerte,233.3
1987,Monastir,1.0
1987,Tunis,3.4
1987,Kasserine,4.2
1987,Gabès,4.5
1987,Gafsa,4.8
1987,Sfax,10.6
1987,Mahdia,13.3
1987,Sousse,16.8
1987,Nabeul,29.4
1987,Ben Arous,31.8
1987,Sidi Bouzid,33.9
1987,Ariana,110.5
1987,Kairouan,154.5
1987,Bizerte,219.4
1987,Kef,226.8
1987,Zaghouan,317.1
1987,Jendouba,420.0
1987,Siliana,424.5
1987,Béja,921.0
1988,Tunis,0.0
1988,Ben Arous,0.0
1988,Monastir,0.0
1988,Mahdia,0.0
1988,Sfax,0.0
1988,Gafsa,0.0
1988,Gabès,0.0
1988,Kasserine,0.6
1988,Nabeul,1.6
1988,Zaghouan,1.6
1988,Sousse,1.8
1988,Kef,9.0
1988,Ariana,10.2
1988,Sidi Bouzid,11.4
1988,Kairouan,15.9
1988,Bizerte,26.4
1988,Siliana,44.4
1988,Jendouba,156.0
1988,Béja,259.6
1989,Tunis,0.8
1989,Kasserine,1.2
1989,Monastir,1.6
1989,Ben Arous,2.0
1989,Gafsa,3.0
1989,Sousse,3.3
1989,Sidi Bouzid,8.5
1989,Nabeul,8.9
1989,Zaghouan,11.5
1989,Gabès,13.6
1989,Mahdia,15.0
1989,Sfax,33.2
1989,Kef,44.5
1989,Ariana,58.5
1989,Siliana,60.6
1989,Kairouan,70.1
1989,Jendouba,97.8
1989,Bizerte,152.0
1989,Béja,283.8
1990,Kasserine,0.0
1990,Monastir,1.2
1990,Tunis,5.4
1990,Gabès,15.0
1990,Sousse,17.2
1990,Nabeul,17.4
1990,Sfax,18.6
1990,Mahdia,29.7
1990,Gafsa,35.1
1990,Jendouba,48.0
1990,Ben Arous,79.2
1990,Sidi Bouzid,98.0
1990,Ariana,130.3
