Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,L'humidité du sol,L'humidité du sol,mV,752.6
2025-11-25 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.3
2025-11-25 21:00:00,Température,Température,°C,11.7
2025-11-25 20:00:00,Température,Température,°C,11.7
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,752.9
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.3
2025-11-25 19:00:00,Température,Température,°C,11.7
2025-11-25 19:00:00,L'humidité du sol,L'humidité du sol,mV,753.0
2025-11-25 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.3
2025-11-25 18:00:00,Température,Température,°C,11.6
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.3
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,752.4
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.3
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,751.9
2025-11-25 16:00:00,Température,Température,°C,11.4
2025-11-25 15:00:00,Température,Température,°C,11.3
2025-11-25 15:00:00,L'humidité du sol,L'humidité du sol,mV,751.6
2025-11-25 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.3
2025-11-25 14:00:00,Température,Température,°C,11.1
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.2
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,751.2
2025-11-25 12:00:00,Température,Température,°C,10.8
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,750.6
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.2
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,750.4
2025-11-25 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.2
2025-11-25 11:00:00,Température,Température,°C,10.8
2025-11-25 10:00:00,Température,Température,°C,10.7
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,750.4
