date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-10-21,Nazali,,,,14000,22000
2022-10-21,Gazel,,,,11800,11800
2022-10-21,saurel,,,,4000,4000
2022-10-21,sardine,,,,3800,5800
2022-10-20,Nazali,,,,13500,19500
2022-10-20,Gazel,,,,11800,11800
2022-10-20,saurel,,,,4000,4500
2022-10-20,sardine,,,,3500,4800
2022-10-19,Nazali,,,,13800,19500
2022-10-19,Gazel,,,,11800,11800
2022-10-19,saurel,,,,4000,5000
2022-10-19,sardine,,,,3500,5800
2022-10-18,Nazali,,,,13800,19500
2022-10-18,Gazel,,,,11800,11800
2022-10-18,saurel,,,,4000,5000
2022-10-18,sardine,,,,3500,5800
2022-10-13,Nazali,,,,13000,22300
2022-10-13,Gazel,,,,11800,11800
2022-10-13,saurel,,,,4800,5000
2022-10-13,sardine,,,,3500,6800
2022-10-12,Nazali,,,,13000,22300
2022-10-12,Gazel,,,,11800,11800
2022-10-12,saurel,,,,4500,5000
2022-10-12,sardine,,,,3000,6800
2022-10-11,sardine,,,,3500,6800
2022-10-11,saurel,,,,5000,5000
2022-10-11,Gazel,,,,11800,11800
2022-10-11,Nazali,,,,13000,22300
2022-10-10,Nazali,,,,13500,22200
2022-10-10,Gazel,,,,11800,11800
2022-10-10,saurel,,,,5000,5800
2022-10-10,sardine,,,,3000,6800
2022-10-07,Gazel,,,,11800,11800
2022-10-07,saurel,,,,0,0
2022-10-07,sardine,,,,3000,6800
2022-10-07,Nazali,,,,13500,22200
2022-10-06,sardine,,,,3000,6800
2022-10-06,saurel,,,,0,0
2022-10-06,Gazel,,,,11800,11800
2022-10-06,Nazali,,,,13500,22200
2022-10-05,Gazel,,,,11800,11800
2022-10-05,saurel,,,,0,0
2022-10-05,sardine,,,,3400,6800
2022-10-05,Nazali,,,,15000,22200
2022-10-04,Gazel,,,,11800,15800
2022-10-04,saurel,,,,0,0
2022-10-04,sardine,,,,3800,6800
2022-10-04,Nazali,,,,17500,22200
2022-10-03,Nazali,,,,22200,22200
2022-10-03,Gazel,,,,11800,14800
2022-10-03,saurel,,,,0,0
2022-10-03,sardine,,,,3400,6800
2022-09-30,Gazel,,,,11800,14800
2022-09-30,saurel,,,,0,0
2022-09-30,sardine,,,,3400,6800
2022-09-30,Nazali,,,,22200,22200
2022-09-29,Gazel,,,,11800,14800
2022-09-29,saurel,,,,0,0
2022-09-29,sardine,,,,4000,6800
2022-09-29,Nazali,,,,0,0
2022-09-28,Gazel,,,,11700,15000
2022-09-28,saurel,,,,0,0
2022-09-28,sardine,,,,4300,6800
2022-09-28,Nazali,,,,0,0
2022-09-27,Gazel,,,,11800,15000
2022-09-27,saurel,,,,0,0
2022-09-27,sardine,,,,4800,6800
2022-09-27,Nazali,,,,0,0
2022-09-26,sardine,,,,4500,6800
2022-09-26,saurel,,,,0,0
2022-09-26,Gazel,,,,11500,11800
2022-09-26,Nazali,,,,0,0
2022-09-23,Gazel,,,,11800,11800
2022-09-23,saurel,,,,0,0
2022-09-23,sardine,,,,3800,7000
2022-09-23,Nazali,,,,0,0
2022-09-22,Gazel,,,,11800,11800
2022-09-22,saurel,,,,0,0
2022-09-22,sardine,,,,3800,6800
2022-09-22,Nazali,,,,0,0
2022-09-21,Gazel,,,,11800,11800
2022-09-21,saurel,,,,0,0
2022-09-21,sardine,,,,3500,6800
2022-09-21,Nazali,,,,0,0
2022-09-20,Gazel,,,,11800,11800
2022-09-20,saurel,,,,0,0
2022-09-20,sardine,,,,3500,6800
2022-09-20,Nazali,,,,0,0
2022-09-19,Gazel,,,,11800,11800
2022-09-19,saurel,,,,0,0
2022-09-19,sardine,,,,3800,7000
2022-09-19,Nazali,,,,0,0
2022-09-16,Gazel,,,,11800,11800
2022-09-16,saurel,,,,0,0
2022-09-16,sardine,,,,3800,6800
2022-09-16,Nazali,,,,0,0
2022-09-15,Gazel,,,,11800,11800
2022-09-15,saurel,,,,0,0
2022-09-15,sardine,,,,3500,6800
2022-09-15,Nazali,,,,0,0
2022-09-13,Gazel,,,,11800,11800
2022-09-13,saurel,,,,0,0
2022-09-13,sardine,,,,3800,7000
2022-09-13,Nazali,,,,0,0
2022-09-12,Gazel,,,,11800,11800
2022-09-12,saurel,,,,0,0
2022-09-12,sardine,,,,3500,7000
2022-09-12,Nazali,,,,0,0
2022-09-09,Gazel,,,,11800,11800
2022-09-09,saurel,,,,0,0
2022-09-09,sardine,,,,4500,7000
2022-09-09,Nazali,,,,0,0
2022-09-08,Gazel,,,,11800,11800
2022-09-08,saurel,,,,0,0
2022-09-08,sardine,,,,3800,5800
2022-09-08,Nazali,,,,13500,24500
2022-09-07,Gazel,,,,11800,11800
2022-09-07,saurel,,,,0,0
2022-09-07,sardine,,,,3800,5800
2022-09-07,Nazali,,,,13500,24500
2022-09-06,Nazali,,,,13500,25000
2022-09-06,Gazel,,,,10000,11800
2022-09-06,saurel,,,,4000,10000
2022-09-06,sardine,,,,3000,5800
2022-09-05,Nazali,,,,13800,24500
2022-09-05,Gazel,,,,9800,11800
2022-09-05,saurel,,,,4000,10000
2022-09-05,sardine,,,,3000,5800
2022-08-12,Nazali,,,,13500,24500
2022-08-12,Gazel,,,,9800,11800
2022-08-12,saurel,,,,4000,10000
2022-08-12,sardine,,,,3000,5800
2022-08-11,Nazali,,,,13500,24500
2022-08-11,Gazel,,,,9800,11800
2022-08-11,saurel,,,,4000,10000
2022-08-11,sardine,,,,3000,5800
2022-08-10,Nazali,,,,13500,24500
2022-08-10,Gazel,,,,9800,11800
2022-08-10,saurel,,,,4000,10000
2022-08-10,sardine,,,,3500,5800
2022-08-09,Nazali,,,,12000,25000
2022-08-09,Gazel,,,,9800,11800
2022-08-09,saurel,,,,5000,5000
2022-08-09,sardine,,,,3000,5800
2022-08-08,Nazali,,,,10000,25000
2022-08-08,Gazel,,,,9800,11800
2022-08-08,saurel,,,,5000,6000
2022-08-08,sardine,,,,3000,5800
2022-08-05,Nazali,,,,13200,25000
2022-08-05,Gazel,,,,9800,9800
2022-08-05,saurel,,,,4000,6000
2022-08-05,sardine,,,,3800,5800
2022-08-04,Nazali,,,,13500,25000
2022-08-04,Gazel,,,,9800,9800
2022-08-04,saurel,,,,5000,6000
