mois,station,nombre_jours_pluvieux,precipitations_en_millimetres
Septembre,Manoubia,4,85
Septembre,CRDA Bouchoucha,6,"127,5"
Septembre,Tunis Carthage,5,"44,4"
Septembre,Pepiniere Gammarth,5,67
Septembre,Sidi Hassine,6,124
Septembre,SMVDA El Attar,6,"102,5"
Septembre,SMVDA Borj Chakir,7,146
Septembre,El Hrayria,6,"113,5"
Septembre,Pepiniere El Agba,6,"101,2"
Octobre,Manoubia,3,"7,5"
Octobre,CRDA Bouchoucha,3,"5,4"
Octobre,Tunis Carthage,3,"10,6"
Octobre,Pepiniere Gammarth,2,"7,5"
Octobre,Sidi Hassine,3,"6,5"
Octobre,SMVDA El Attar,0,0
Octobre,SMVDA Borj Chakir,4,8
Octobre,El Hrayria,3,8
Octobre,Pepiniere El Agba,3,"7,5"
Novembre,Manoubia,8,"162,5"
Novembre,CRDA Bouchoucha,8,"144,1"
Novembre,Tunis Carthage,7,"124,2"
Novembre,Pepiniere Gammarth,8,"129,5"
Novembre,Sidi Hassine,8,"166,5"
Novembre,SMVDA El Attar,7,"111,5"
Novembre,SMVDA Borj Chakir,8,"120,1"
Novembre,El Hrayria,8,"130,3"
Novembre,Pepiniere El Agba,7,"115,5"
Decembre,Manoubia,12,"89,4"
Decembre,CRDA Bouchoucha,12,93
Decembre,Tunis Carthage,12,"96,8"
Decembre,Pepiniere Gammarth,11,70
Decembre,Sidi Hassine,12,"79,7"
Decembre,SMVDA El Attar,5,50
Decembre,SMVDA Borj Chakir,10,76
Decembre,El Hrayria,11,"87,1"
Decembre,Pepiniere El Agba,12,"81,5"
Janvier,Manoubia,4,"13,3"
Janvier,CRDA Bouchoucha,6,17
Janvier,Tunis Carthage,6,"13,4"
Janvier,Pepiniere Gammarth,5,13
Janvier,Sidi Hassine,5,14
Janvier,SMVDA El Attar,5,50
Janvier,SMVDA Borj Chakir,6,18
Janvier,El Hrayria,4,15
Janvier,Pepiniere El Agba,6,19
Fevrier,Manoubia,6,"25,7"
Fevrier,CRDA Bouchoucha,6,19
Fevrier,Tunis Carthage,6,30
Fevrier,Pepiniere Gammarth,4,20
Fevrier,Sidi Hassine,5,15
Fevrier,SMVDA El Attar,1,"3,5"
Fevrier,SMVDA Borj Chakir,5,15
Fevrier,El Hrayria,5,15
Fevrier,Pepiniere El Agba,6,23
Mars,Manoubia,7,50
Mars,CRDA Bouchoucha,7,"49,4"
Mars,Tunis Carthage,7,"52,4"
Mars,Pepiniere Gammarth,5,"39,5"
Mars,Sidi Hassine,7,"60,4"
Mars,SMVDA El Attar,2,"32,5"
Mars,SMVDA Borj Chakir,8,62
Mars,El Hrayria,6,"52,5"
Mars,Pepiniere El Agba,7,53
Avril,Manoubia,6,"35,2"
Avril,CRDA Bouchoucha,9,"51,5"
Avril,Tunis Carthage,8,"52,6"
Avril,Pepiniere Gammarth,9,83
Avril,Sidi Hassine,6,33
Avril,SMVDA El Attar,0,0
Avril,SMVDA Borj Chakir,7,"37,5"
Avril,El Hrayria,7,33
Avril,Pepiniere El Agba,8,29
Mai,Manoubia,3,11
Mai,CRDA Bouchoucha,5,22
Mai,Tunis Carthage,5,16
Mai,Pepiniere Gammarth,5,12
Mai,Sidi Hassine,4,15
Mai,SMVDA El Attar,0,0
Mai,SMVDA Borj Chakir,2,"11,5"
Mai,El Hrayria,4,14
Mai,Pepiniere El Agba,4,16
Juin,Manoubia,2,"2,3"
Juin,CRDA Bouchoucha,2,"2,5"
Juin,Tunis Carthage,1,"2,2"
Juin,Pepiniere Gammarth,1,"1,5"
Juin,Sidi Hassine,0,0
Juin,SMVDA El Attar,0,0
Juin,SMVDA Borj Chakir,2,"5,5"
Juin,El Hrayria,2,"1,5"
Juin,Pepiniere El Agba,1,1
Juillet,Manoubia,0,0
Juillet,CRDA Bouchoucha,0,0
Juillet,Tunis Carthage,0,0
Juillet,Pepiniere Gammarth,0,0
Juillet,Sidi Hassine,0,0
Juillet,SMVDA El Attar,0,0
Juillet,SMVDA Borj Chakir,0,0
Juillet,El Hrayria,0,0
Juillet,Pepiniere El Agba,0,0
Aout,Manoubia,0,0
Aout,CRDA Bouchoucha,0,0
Aout,Tunis Carthage,0,0
Aout,Pepiniere Gammarth,0,0
Aout,Sidi Hassine,0,0
Aout,SMVDA El Attar,0,0
Aout,SMVDA Borj Chakir,0,0
Aout,El Hrayria,0,0
Aout,Pepiniere El Agba,0,0
