Gouvernorats,Annee,superficie_emblavees_1000_ha
"Tunis,1980 ,""6,6 """
Ariana,1980 ,
Manouba,1980 ,
Ben Arous,1980 ,
"Nabeul,1980 ,""12,9 """
Bizerte,1980 ,50 
"Béja,1980 ,""66,5 """
"Jendouba,1980 ,""51,9 """
Kef,1980 ,161 
"Siliana,1980 ,""100,7 """
"Zaghouan,1980 ,""57,3 """
"Sousse,1980 ,""12,4 """
"Monastir,1980 ,""0,2 """
"Mahdia,1980 ,""3,7 """
"Sfax,1980 ,""1,1 """
"Kairouan,1980 ,""48,9 """
"Kasserine,1980 ,""122,5 """
"Sidi Bouzid,1980 ,""58,6 """
"Gafsa,1980 ,""54,6 """
"Gabès,1980 ,""7,7 """
"Medenine,1980 ,""0,9 """
Tozeur,1980 ,
Kébili,1980 ,
Tataouine,1980 ,
"Tunis,1981 ,""3,9 """
Ariana,1981 ,
Manouba,1981 ,
Ben Arous,1981 ,
"Nabeul,1981 ,""12,5 """
"Bizerte,1981 ,""59,2 """
"Béja,1981 ,""82,7 """
"Jendouba,1981 ,""60,3 """
"Kef,1981 ,""128,3 """
"Siliana,1981 ,""109,9 """
"Zaghouan,1981 ,""46,1 """
"Sousse,1981 ,""13,3 """
"Monastir,1981 ,""3,8 """
"Mahdia,1981 ,""14,3 """
"Sfax,1981 ,""13,7 """
"Kairouan,1981 ,""45,8 """
"Kasserine,1981 ,""108,8 """
"Sidi Bouzid,1981 ,""33,3 """
"Gafsa,1981 ,""51,6 """
Gabès,1981 ,20 
"Medenine,1981 ,""14,2 """
Tozeur,1981 ,
Kébili,1981 ,
Tataouine,1981 ,
"Tunis,1982 ,""4,3 """
Ariana,1982 ,
Manouba,1982 ,
Ben Arous,1982 ,
"Nabeul,1982 ,""9,9 """
"Bizerte,1982 ,""53,2 """
"Béja,1982 ,""68,6 """
Jendouba,1982 ,56 
"Kef,1982 ,""155,8 """
"Siliana,1982 ,""96,3 """
"Zaghouan,1982 ,""42,6 """
"Sousse,1982 ,""9,5 """
"Monastir,1982 ,""3,1 """
"Mahdia,1982 ,""11,9 """
"Sfax,1982 ,""4,6 """
"Kairouan,1982 ,""60,5 """
"Kasserine,1982 ,""78,5 """
"Sidi Bouzid,1982 ,""4,7 """
"Gafsa,1982 ,""5,7 """
"Gabès,1982 ,""0,4 """
Medenine,1982 ,
Tozeur,1982 ,
Kébili,1982 ,
Tataouine,1982 ,
"Tunis,1983 ,""3,9 """
Ariana,1983 ,
Manouba,1983 ,
Ben Arous,1983 ,
"Nabeul,1983 ,""14,4 """
"Bizerte,1983 ,""48,5 """
"Béja,1983 ,""77,5 """
Jendouba,1983 ,49 
"Kef,1983 ,""150,1 """
"Siliana,1983 ,""96,6 """
"Zaghouan,1983 ,""40,6 """
"Sousse,1983 ,""29,6 """
"Monastir,1983 ,""9,1 """
"Mahdia,1983 ,""27,4 """
"Sfax,1983 ,""25,5 """
"Kairouan,1983 ,""84,8 """
"Kasserine,1983 ,""102,3 """
"Sidi Bouzid,1983 ,""115,8 """
Gafsa,1983 ,32 
"Gabès,1983 ,""21,1 """
"Medenine,1983 ,""3,6 """
Tozeur,1983 ,
"Kébili,1983 ,""10,8 """
"Tataouine,1983 ,""12,8 """
"Tunis,1984 ,""5,6 """
Ariana,1984 ,
Manouba,1984 ,
Ben Arous,1984 ,
"Nabeul,1984 ,""12,7 """
Bizerte,1984 ,69 
"Béja,1984 ,""80,8 """
Jendouba,1984 ,50 
"Kef,1984 ,""128,6 """
"Siliana,1984 ,""92,8 """
Zaghouan,1984 ,57 
"Sousse,1984 ,""31,7 """
"Monastir,1984 ,""2,2 """
"Mahdia,1984 ,""21,4 """
"Sfax,1984 ,""12,8 """
"Kairouan,1984 ,""74,4 """
"Kasserine,1984 ,""79,6 """
Sidi Bouzid,1984 ,40 
Gafsa,1984 ,26 
"Gabès,1984 ,""1,5 """
"Medenine,1984 ,""1,3 """
Tozeur,1984 ,
Kébili,1984 ,
"Tataouine,1984 ,""0,4 """
"Tunis,1985 ,""0,6 """
"Ariana,1985 ,""18,6 """
Manouba,1985 ,
"Ben Arous,1985 ,""2,2 """
"Nabeul,1985 ,""11,6 """
Bizerte,1985 ,57 
"Béja,1985 ,""71,1 """
Jendouba,1985 ,50 
"Kef,1985 ,""129,2 """
"Siliana,1985 ,""86,9 """
Zaghouan,1985 ,30 
"Sousse,1985 ,""29,2 """
"Monastir,1985 ,""7,6 """
"Mahdia,1985 ,""24,8 """
Sfax,1985 ,36 
"Kairouan,1985 ,""85,5 """
"Kasserine,1985 ,""95,5 """
"Sidi Bouzid,1985 ,""63,6 """
"Gafsa,1985 ,""59,2 """
"Gabès,1985 ,""15,2 """
"Medenine,1985 ,""4,9 """
"Tozeur,1985 ,""0,3 """
Kébili,1985 ,
Tataouine,1985 ,4 
"Tunis,1986 ,""0,8 """
"Ariana,1986 ,""21,2 """
Manouba,1986 ,
"Ben Arous,1986 ,""5,6 """
"Nabeul,1986 ,""12,2 """
"Bizerte,1986 ,""61,5 """
"Béja,1986 ,""84,4 """
Jendouba,1986 ,50 
"Kef,1986 ,""126,3 """
"Siliana,1986 ,""97,5 """
"Zaghouan,1986 ,""26,2 """
"Sousse,1986 ,""11,6 """
"Monastir,1986 ,""1,5 """
"Mahdia,1986 ,""6,8 """
"Sfax,1986 ,""17,6 """
"Kairouan,1986 ,""44,6 """
Kasserine,1986 ,93 
"Sidi Bouzid,1986 ,""24,7 """
Gafsa,1986 ,36 
"Gabès,1986 ,""1,2 """
"Medenine,1986 ,""0,7 """
Tozeur,1986 ,
Kébili,1986 ,
Tataouine,1986 ,
"Tunis,1987 ,""0,6 """
"Ariana,1987 ,""23,3 """
Manouba,1987 ,
"Ben Arous,1987 ,""5,9 """
"Nabeul,1987 ,""10,5 """
Bizerte,1987 ,56 
"Béja,1987 ,""77,9 """
"Jendouba,1987 ,""47,8 """
"Kef,1987 ,""139,8 """
"Siliana,1987 ,""91,9 """
"Zaghouan,1987 ,""34,6 """
"Sousse,1987 ,""33,1 """
"Monastir,1987 ,""3,4 """
Mahdia,1987 ,22 
"Sfax,1987 ,""18,1 """
"Kairouan,1987 ,""72,7 """
"Kasserine,1987 ,""69,5 """
"Sidi Bouzid,1987 ,""56,5 """
Gafsa,1987 ,69 
Gabès,1987 ,21 
Medenine,1987 ,13 
"Tozeur,1987 ,""0,2 """
Kébili,1987 ,
Tataouine,1987 ,
"Tunis,1988 ,""0,9 """
"Ariana,1988 ,""20,7 """
Manouba,1988 ,
"Ben Arous,1988 ,""6,9 """
"Nabeul,1988 ,""9,4 """
"Bizerte,1988 ,""61,5 """
"Béja,1988 ,""81,6 """
Jendouba,1988 ,48 
Kef,1988 ,100 
"Siliana,1988 ,""87,8 """
"Zaghouan,1988 ,""29,9 """
"Sousse,1988 ,""14,5 """
Monastir,1988 ,1 
"Mahdia,1988 ,""4,6 """
"Sfax,1988 ,""2,7 """
Kairouan,1988 ,28 
"Kasserine,1988 ,""52,7 """
"Sidi Bouzid,1988 ,""7,9 """
"Gafsa,1988 ,""6,5 """
"Gabès,1988 ,""6,1 """
"Medenine,1988 ,""10,4 """
Tozeur,1988 ,
Kébili,1988 ,
Tataouine,1988 ,7 
"Tunis,1989 ,""1,1 """
"Ariana,1989 ,""21,5 """
Manouba,1989 ,
"Ben Arous,1989 ,""6,9 """
"Nabeul,1989 ,""14,6 """
"Bizerte,1989 ,""64,5 """
Béja,1989 ,79 
Jendouba,1989 ,49 
Kef,1989 ,110 
Siliana,1989 ,98 
"Zaghouan,1989 ,""40,2 """
Sousse,1989 ,36 
"Monastir,1989 ,""4,3 """
Mahdia,1989 ,23 
"Sfax,1989 ,""13,8 """
Kairouan,1989 ,68 
Kasserine,1989 ,69 
"Sidi Bouzid,1989 ,""85,7 """
"Gafsa,1989 ,""8,5 """
Gabès,1989 ,15 
Medenine,1989 ,12 
Tozeur,1989 ,
Kébili,1989 ,
Tataouine,1989 ,5 
"Tunis,1990 ,""0,7 """
"Ariana,1990 ,""25,5 """
Manouba,1990 ,
"Ben Arous,1990 ,""7,8 """
"Nabeul,1990 ,""14,1 """
"Bizerte,1990 ,""60,4 """
"Béja,1990 ,""80,1 """
"Jendouba,1990 ,""54,1 """
"Kef,1990 ,""106,5 """
"Siliana,1990 ,""93,7 """
"Zaghouan,1990 ,""47,5 """
"Sousse,1990 ,""35,9 """
"Monastir,1990 ,""3,5 """
Mahdia,1990 ,24 
"Sfax,1990 ,""7,3 """
"Kairouan,1990 ,""71,3 """
Kasserine,1990 ,83 
"Sidi Bouzid,1990 ,""40,4 """
Gafsa,1990 ,23 
Gabès,1990 ,9 
Medenine,1990 ,6 
Tozeur,1990 ,
Kébili,1990 ,
Tataouine,1990 ,1 
Tunis,1991 ,1 
"Ariana,1991 ,""30,6 """
Manouba,1991 ,
"Ben Arous,1991 ,""6,5 """
"Nabeul,1991 ,""13,7 """
Bizerte,1991 ,65 
"Béja,1991 ,""80,9 """
"Jendouba,1991 ,""55,7 """
Kef,1991 ,105 
Siliana,1991 ,98 
"Zaghouan,1991 ,""43,1 """
"Sousse,1991 ,""35,1 """
Monastir,1991 ,3 
"Mahdia,1991 ,""15,8 """
"Sfax,1991 ,""4,8 """
"Kairouan,1991 ,""77,4 """
"Kasserine,1991 ,""91,4 """
"Sidi Bouzid,1991 ,""62,9 """
"Gafsa,1991 ,""81,5 """
Gabès,1991 ,16 
"Medenine,1991 ,""4,8 """
"Tozeur,1991 ,""0,3 """
Kébili,1991 ,
Tataouine,1991 ,1 
"Tunis,1992 ,""0,8 """
"Ariana,1992 ,""29,2 """
Manouba,1992 ,
"Ben Arous,1992 ,""8,2 """
"Nabeul,1992 ,""17,3 """
Bizerte,1992 ,59 
"Béja,1992 ,""82,1 """
Jendouba,1992 ,60 
"Kef,1992 ,""114,6 """
"Siliana,1992 ,""85,5 """
"Zaghouan,1992 ,""45,8 """
"Sousse,1992 ,""31,9 """
"Monastir,1992 ,""2,7 """
"Mahdia,1992 ,""18,5 """
"Sfax,1992 ,""8,1 """
"Kairouan,1992 ,""93,5 """
Kasserine,1992 ,87 
"Sidi Bouzid,1992 ,""58,4 """
"Gafsa,1992 ,""31,9 """
"Gabès,1992 ,""0,8 """
"Medenine,1992 ,""0,2 """
"Tozeur,1992 ,""0,2 """
Kébili,1992 ,
"Tataouine,1992 ,""0,2 """
"Tunis,1993 ,""0,6 """
"Ariana,1993 ,""33,7 """
Manouba,1993 ,
"Ben Arous,1993 ,""5,7 """
Nabeul,1993 ,20 
Bizerte,1993 ,64 
Béja,1993 ,81 
"Jendouba,1993 ,""63,6 """
"Kef,1993 ,""106,1 """
Siliana,1993 ,92 
"Zaghouan,1993 ,""39,4 """
"Sousse,1993 ,""37,4 """
"Monastir,1993 ,""3,2 """
"Mahdia,1993 ,""22,2 """
"Sfax,1993 ,""12,3 """
"Kairouan,1993 ,""92,7 """
Kasserine,1993 ,102 
"Sidi Bouzid,1993 ,""67,8 """
Gafsa,1993 ,49 
"Gabès,1993 ,""13,3 """
"Medenine,1993 ,""2,4 """
Tozeur,1993 , 
Kébili,1993 ,
"Tataouine,1993 ,""0,6 """
"Tunis,1994 ,""0,8 """
Ariana,1994 ,37 
Manouba,1994 ,
"Ben Arous,1994 ,""6,7 """
"Nabeul,1994 ,""17,8 """
"Bizerte,1994 ,""70,3 """
"Béja,1994 ,""85,1 """
Jendouba,1994 ,64 
"Kef,1994 ,""108,1 """
Siliana,1994 ,88 
"Zaghouan,1994 ,""36,9 """
"Sousse,1994 ,""31,2 """
"Monastir,1994 ,""1,7 """
"Mahdia,1994 ,""18,4 """
"Sfax,1994 ,""6,9 """
"Kairouan,1994 ,""88,8 """
Kasserine,1994 ,80 
"Sidi Bouzid,1994 ,""45,6 """
Gafsa,1994 ,9 
"Gabès,1994 ,""2,7 """
"Medenine,1994 ,""5,2 """
Tozeur,1994 , 
Kébili,1994 ,
"Tataouine,1994 ,""5,4 """
"Tunis,1995 ,""0,4 """
"Ariana,1995 ,""37,6 """
Manouba,1995 ,
Ben Arous,1995 ,6 
"Nabeul,1995 ,""18,8 """
Bizerte,1995 ,72 
"Béja,1995 ,""86,7 """
"Jendouba,1995 ,""60,8 """
"Kef,1995 ,""120,8 """
"Siliana,1995 ,""93,1 """
"Zaghouan,1995 ,""49,9 """
Sousse,1995 ,20 
"Monastir,1995 ,""0,5 """
Mahdia,1995 ,3 
"Sfax,1995 ,""0,4 """
"Kairouan,1995 ,""40,4 """
"Kasserine,1995 ,""89,2 """
"Sidi Bouzid,1995 ,""26,9 """
"Gafsa,1995 ,""30,1 """
Gabès,1995 ,7 
Medenine,1995 ,5 
Tozeur,1995 , 
Kébili,1995 ,2 
"Tataouine,1995 ,""3,8 """
"Tunis,1996 ,""1,4 """
"Ariana,1996 ,""34,8 """
Manouba,1996 ,
"Ben Arous,1996 ,""7,4 """
"Nabeul,1996 ,""16,8 """
"Bizerte,1996 ,""67,6 """
"Béja,1996 ,""92,6 """
"Jendouba,1996 ,""65,8 """
"Kef,1996 ,""126,3 """
Siliana,1996 ,103 
Zaghouan,1996 ,54 
Sousse,1996 ,40 
Monastir,1996 ,4 
Mahdia,1996 ,16 
"Sfax,1996 ,""26,5 """
"Kairouan,1996 ,""91,1 """
"Kasserine,1996 ,""109,6 """
"Sidi Bouzid,1996 ,""120,8 """
"Gafsa,1996 ,""85,3 """
Gabès,1996 ,24 
Medenine,1996 ,10 
Tozeur,1996 ,1 
"Kébili,1996 ,""6,5 """
"Tataouine,1996 ,""4,3 """
Tunis,1997 ,1 
"Ariana,1997 ,""30,67 """
Manouba,1997 ,
"Ben Arous,1997 ,""6,5 """
"Nabeul,1997 ,""19,53 """
"Bizerte,1997 ,""66,69 """
"Béja,1997 ,""87,1 """
